"team_abbrev","gp_onice","cf_5v5","ca_5v5","gf_5v5","ga_5v5","pp_goals","pp_shots","pk_goals_against","pk_shots_against","xg_for","xg_against","toi_5v5_sec","toi_pp_sec","toi_pk_sec","cf_pct_5v5","gf_per60_5v5","ga_per60_5v5","pp_goals_per60","pk_ga_per60"
"BOS",89,4328,3677,202,157,43,742,46,117,0,0,257665,25395,24855,54.1,2.82,2.19,6.1,6.66
"PHI",93,3929,3905,185,173,79,1003,69,165,0,0,254002,32981,31456,50.2,2.62,2.45,8.62,7.9
"TOR",82,3665,3829,153,180,49,645,55,87,0,0,237573,22322,22271,48.9,2.32,2.73,7.9,8.89
"MTL",82,3304,3585,139,144,43,760,36,131,0,0,225760,28105,27581,48,2.22,2.3,5.51,4.7
"VAN",87,3909,3488,161,137,60,872,42,115,0,0,241793,27152,28092,52.8,2.4,2.04,7.96,5.38
"PIT",88,4113,3450,201,170,64,1003,46,116,0,0,246826,28479,27334,54.4,2.93,2.48,8.09,6.06
"CAR",82,3625,3877,136,162,48,751,49,109,0,0,233496,25525,20557,48.3,2.1,2.5,6.77,8.58
"TBL",82,3279,3658,171,182,37,608,58,77,0,0,233648,23546,23867,47.3,2.63,2.8,5.66,8.75
"DET",87,3863,3165,183,134,50,887,48,86,0,0,243081,28092,26889,55,2.71,1.98,6.41,6.43
"OTT",89,4204,3767,165,162,54,816,62,142,0,0,249272,26715,30656,52.7,2.38,2.34,7.28,7.28
"CBJ",82,3122,3440,130,162,47,888,63,102,0,0,227566,29295,21599,47.6,2.06,2.56,5.78,10.5
"NSH",92,3661,4176,173,164,53,623,43,65,0,0,266424,24554,24384,46.7,2.34,2.22,7.77,6.35
"BUF",82,3442,3596,152,146,41,706,47,74,0,0,234860,23261,23310,48.9,2.33,2.24,6.35,7.26
"ANA",82,3349,3538,138,156,45,766,50,88,0,0,232003,24606,25500,48.6,2.14,2.42,6.58,7.06
"DAL",82,3587,3611,145,150,32,549,51,110,0,0,232406,21187,26563,49.8,2.25,2.32,5.44,6.91
"CHI",88,4072,3525,175,177,42,743,54,85,0,0,253743,27290,24148,53.6,2.48,2.51,5.54,8.05
"LAK",102,4649,3935,151,140,61,1036,44,106,0,0,284754,34360,33578,54.2,1.91,1.77,6.39,4.72
"NYR",102,4088,4444,174,155,57,875,46,135,0,0,290422,31745,30145,47.9,2.16,1.92,6.46,5.49
"NJD",106,4028,3879,178,176,58,821,48,168,0,0,306125,32189,30919,50.9,2.09,2.07,6.49,5.59
"WSH",96,4089,4427,170,167,48,739,53,94,0,0,280681,26497,28438,48,2.18,2.14,6.52,6.71
"NYI",82,3491,3837,130,174,45,618,45,85,0,0,238009,21598,21751,47.6,1.97,2.63,7.5,7.45
"FLA",89,3668,3790,129,155,62,807,52,86,0,0,257048,27600,23221,49.2,1.81,2.17,8.09,8.06
"STL",91,3931,3541,147,114,51,851,40,103,0,0,254749,26856,28888,52.6,2.08,1.61,6.84,4.98
"MIN",82,3091,3891,103,144,38,639,51,78,0,0,232757,22811,25567,44.3,1.59,2.23,6,7.18
"COL",82,3746,3559,136,145,38,567,46,117,0,0,236478,19887,25543,51.3,2.07,2.21,6.88,6.48
"CGY",82,3283,3643,135,147,43,612,41,77,0,0,234846,22959,22785,47.4,2.07,2.25,6.74,6.48
"SJS",87,4164,3867,144,139,58,945,58,60,0,0,251642,26730,21405,51.8,2.06,1.99,7.81,9.75
"PHX",98,4370,4619,186,163,41,696,39,117,0,0,285982,26971,27523,48.6,2.34,2.05,5.47,5.1
"WPG",82,3654,3606,154,154,45,651,56,106,0,0,233963,22113,26622,50.3,2.37,2.37,7.33,7.57
"EDM",82,3269,3648,138,155,53,573,47,69,0,0,231084,22368,27742,47.3,2.15,2.41,8.53,6.1
