"team_abbrev","gp_onice","cf_5v5","ca_5v5","gf_5v5","ga_5v5","pp_goals","pp_shots","pk_goals_against","pk_shots_against","xg_for","xg_against","toi_5v5_sec","toi_pp_sec","toi_pk_sec","cf_pct_5v5","gf_per60_5v5","ga_per60_5v5","pp_goals_per60","pk_ga_per60"
"TBL",105,4563,4527,224,185,74,902,63,123,227.683410490135,211.074047542046,306023,31316,29890,50.2,2.64,2.18,8.51,7.59
"PIT",89,4337,3987,200,171,54,745,39,88,207.926119164767,175.551643372251,269023,24109,20618,52.1,2.68,2.29,8.06,6.81
"VGK",82,4147,3740,184,166,37,568,46,78,189.214077177065,171.79808893532,248834,19405,18302,52.6,2.66,2.4,6.86,9.05
"SEA",82,3538,3453,152,188,31,589,56,82,151.162014933041,157.385168215711,245379,20597,19632,50.6,2.23,2.76,5.42,10.27
"TOR",89,4372,3823,221,194,65,741,49,157,210.759599249301,171.03052130487,264903,22159,23670,53.3,3,2.64,10.56,7.45
"MTL",82,3423,3878,154,196,34,588,66,124,153.943109831613,186.347065618465,239839,22788,24245,46.9,2.31,2.94,5.37,9.8
"WSH",88,3908,3895,189,176,54,708,42,102,175.806050511717,171.587827148556,259409,25510,22027,50.1,2.62,2.44,7.62,6.86
"NYR",102,4249,4880,196,186,70,769,50,124,188.617749461366,228.16817265944,308442,24143,26799,46.5,2.29,2.17,10.44,6.72
"COL",102,5163,4422,255,195,85,1007,58,132,213.098082235054,186.574539390538,299054,29888,26815,53.9,3.07,2.35,10.24,7.79
"CHI",82,3351,3935,143,192,46,618,53,75,144.039777546073,167.689183015638,243892,24190,20365,46,2.11,2.83,6.85,9.37
"EDM",98,4761,4421,227,216,73,824,62,158,221.202612473775,210.095281887741,288486,24933,29156,51.9,2.83,2.7,10.54,7.66
"VAN",82,3749,3771,156,143,58,683,57,85,164.303031062271,171.159143002587,243027,22192,21159,49.9,2.31,2.12,9.41,9.7
"BUF",82,3423,3639,158,200,46,535,50,86,153.516254173359,178.059159407625,246761,20622,20288,48.5,2.31,2.92,8.03,8.87
"OTT",82,3555,3866,147,175,47,626,49,118,156.922244156362,180.727760244306,240688,21195,23636,47.9,2.2,2.62,7.98,7.46
"DET",82,3330,3887,159,203,37,542,56,96,158.705744693376,190.751548827146,244579,21111,20086,46.1,2.34,2.99,6.31,10.04
"FLA",92,4821,3729,238,177,65,760,60,136,238.933992376114,182.252883415698,268802,24621,26938,56.4,3.19,2.37,9.5,8.02
"DAL",89,3906,4210,155,169,54,678,46,95,183.529017453606,179.280807572854,263448,23852,21917,48.1,2.12,2.31,8.15,7.56
"CAR",96,4792,3809,217,163,56,789,45,165,223.874279139302,185.203331424214,276505,25427,29931,55.7,2.83,2.12,7.93,5.41
"NYI",82,3400,3984,159,160,46,529,33,99,165.780159194692,185.925596078843,246364,18822,19465,46,2.32,2.34,8.8,6.1
"CBJ",82,3633,3971,177,214,39,572,50,136,160.516704635287,200.683541039325,243446,20937,21882,47.8,2.62,3.16,6.71,8.23
"ARI",82,3182,4043,157,221,27,427,64,87,140.938471091853,189.543276656244,244988,18329,23020,44,2.31,3.25,5.3,10.01
"NSH",86,3667,3791,171,168,66,700,64,84,160.399262350518,165.582424798442,247528,24314,26806,49.2,2.49,2.44,9.77,8.6
"ANA",82,3550,3878,154,186,47,562,41,80,159.359786212342,172.601297466579,245946,20172,21042,47.8,2.25,2.72,8.39,7.01
"WPG",82,3701,3792,156,162,51,664,57,104,179.509928110696,179.075879109674,242860,22339,20283,49.4,2.31,2.4,8.22,10.12
"LAK",89,4378,3810,167,168,41,821,59,110,199.646089211834,183.010331949801,263196,26178,22938,53.5,2.28,2.3,5.64,9.26
"NJD",82,3869,3783,182,216,34,529,40,90,186.804836393043,176.71924495764,246916,20881,18310,50.6,2.65,3.15,5.86,7.86
"PHI",82,3499,4010,159,189,27,641,55,94,153.597627743613,183.615041147772,241632,22972,21229,46.6,2.37,2.82,4.23,9.33
"MIN",88,3894,3713,218,161,55,753,70,93,174.4069327834,151.508644371468,250605,25990,26194,51.2,3.13,2.31,7.62,9.62
"BOS",89,4172,3514,182,160,56,781,52,114,186.073217715078,145.308437847343,255126,25148,27194,54.3,2.57,2.26,8.02,6.88
"STL",94,3800,4379,222,197,76,718,42,115,188.857562512538,204.724425513661,278090,24682,23608,46.5,2.87,2.55,11.09,6.4
"CGY",94,4918,3844,221,166,58,861,45,141,222.023587227741,176.543948820603,276539,26383,26794,56.1,2.88,2.16,7.91,6.05
"SJS",82,3451,4118,142,179,41,579,31,108,154.305899992745,175.878968561272,245658,20144,21110,45.6,2.08,2.62,7.33,5.29
