"player_id","season","off_rapm_raw","def_rapm_raw","toi_5v5_sec","own_cf_per60","own_ca_per60","off_rapm_per60","def_rapm_per60"
"8473503",2023,0.000464870593054518,5.08819710902537e-05,126286,54.4193338929097,56.4718179370635,0.0252979480204288,0.00287339740768774
"8474578",2023,0.000852946157270633,-0.00206281427268523,102630,61.9818766442561,53.8088278281204,0.0528672035041406,-0.110997618040309
"8476449",2023,0.00186478844123154,0.000412702710443594,40850,52.0832313341493,66.8004895960832,0.0971242077739101,0.0275687431152627
"8476881",2023,0.00203080808201516,-0.000636512147752405,72100,61.5644937586685,56.0721220527046,0.125025671490276,-0.035690586836802
"8478414",2023,0.00214696486117852,-1.2550688144497e-05,82510,64.7048842564538,53.4044358259605,0.138919112845229,-0.000670262419584435
"8479316",2023,-0.0020377285627396,0.00158063082920975,21561,47.4189508835397,66.620286628635,-0.0966269506305351,0.105302078896011
"8471709",2023,0.000853469486826366,0.00236476896864076,67738,53.3585284478432,58.6731229147598,0.0455398758921908,0.138748380362069
"8474053",2023,0.0019176152043219,-0.000409609362506635,68924,48.6797051825199,53.6416922987639,0.0933489427999077,-0.0219721393862737
"8478067",2023,-0.00141970121058636,0.00101603401699379,40019,50.3760713661011,60.7211574502112,-0.0715189695030384,0.0616947615206504
"8478099",2023,-0.00144894455783025,5.20522288902442e-05,53666,64.8008049789438,54.3360787090523,-0.0938927737172599,0.00282831400596191
"8479983",2023,0.00199814512155273,-0.000329908130566623,76742,52.3989471215241,61.8748534049152,0.104700700565373,-0.0204130172158994
"8474151",2023,0.00108805637939546,-0.001072389755038,74704,52.768258727779,65.0085671449989,0.0574148405383499,-0.0697145213959966
"8475218",2023,0.00196678647010536,0.000241135467063385,90346,63.3962765368694,52.1594757930622,0.124686938947773,0.0125774995571414
"8475793",2023,-0.000698347373968371,-0.000622410301958952,40225,58.08328154133,54.413921690491,-0.0405623071358534,-0.0338677854301493
"8475799",2023,-0.000803560276252864,0.0015080357537829,65463,62.9668667797076,54.1680032995738,-0.0505976728642791,0.0816872856867876
"8477424",2023,-0.000313160164316452,-0.000575299438545999,180565,54.90765098441,60.230941766123,-0.0171948890045082,-0.0346508269811473
"8480748",2023,0.000711077290191463,-0.00119182180965066,22150,57.372460496614,61.9232505643341,0.040796253741549,-0.0738014805470358
"8474697",2023,0.00026933105589679,5.86467252101067e-05,2019,60.6240713224369,65.9732540861813,0.0163279451420342,0.00386911530360882
"8476925",2023,-0.000879362951116131,0.000575247840222893,59764,50.7194966869687,62.3452245498963,-0.0446008462857777,0.0358639557705391
"8478508",2023,-0.000243398660690431,0.000240345689729599,55656,53.9456662354463,60.4786545924968,-0.0131303029117606,0.0145357839519518
"8479371",2023,-0.0011223206507513,0.000924034299092894,70395,55.3846153846154,59.4246750479437,-0.0621592975800722,0.0549104379567497
"8479661",2023,-0.000121059248695751,8.55845038961979e-05,55963,55.51525114808,57.3807694369494,-0.00672063459514247,0.00491090468544343
"8478904",2023,-0.000209430088689209,0.000215024695256355,47655,54.466477809254,60.2077431539188,-0.0114069192781809,0.0129461516237443
"8479981",2023,0.000362764214824463,0.000457641682892547,18189,54.8243443839683,54.0326571004453,0.0198883102437162,0.0247275961266037
"8481477",2023,-0.000717340820921147,-9.65586592565342e-05,51299,51.229068792764,60.4924072594008,-0.0367487022628272,-0.00584106574016797
"8476988",2023,-0.000378298663009019,0.00152370048928423,72888,48.5512018439249,59.713533091867,-0.0183668547450378,0.0909855395889681
"8480160",2023,-0.000201542441447219,-0.0015337054399219,33858,54.2264752791069,62.9452418926103,-0.0109289362188285,-0.0965394599078962
"8475168",2023,0.000102627312824733,-0.000572053001495656,61900,57.5185783521809,60.1938610662359,0.0059029771337832,-0.0344340788945527
"8476887",2023,8.72944270374322e-05,-0.000100308832932344,40733,57.3588981906562,58.3310829057521,0.00500711215305174,-0.00585112284995581
"8479996",2023,0.000893789918147886,0.00182833202671738,51691,54.740670522915,57.0389429494496,0.0489266594260366,0.104286126164584
"8480009",2023,-0.00129992714898881,0.000783154632859293,55949,58.1672594684445,54.9500437898801,-0.0756131997653075,0.0430343813698656
