season,game_type,player_id,player_name,last_name,team_abbrev,position,shoots,gp,goals,assists,points,points_per_game,plus_minus,pim,shots,shooting_pct,toi_per_game,ev_goals,ev_points,pp_goals,pp_points,sh_goals,sh_points,ot_goals,gw_goals,fo_win_pct
2016,2,8475855,Jesper Fast,Fast,NYR,R,R,79,10,20,30,0.37974,9,18,75,0.13333,896.2911,10,30,0,0,0,0,0,3,0.16666
2016,2,8471284,Andrej Sekera,Sekera,EDM,D,L,81,6,24,30,0.37037,-15,12,155,0.0387,1310.3209,4,15,2,14,0,1,2,2,NA
2016,2,8477406,Mattias Janmark,Janmark,DAL,C,L,73,15,14,29,0.39726,12,16,108,0.13888,850.3698,14,27,0,1,1,1,1,3,0.36153
2016,2,8474037,James van Riemsdyk,van Riemsdyk,TOR,L,L,40,14,15,29,0.725,3,6,129,0.10852,1065.775,9,20,5,9,0,0,0,0,0.5
2016,2,8475204,Brandon Pirri,Pirri,"FLA,ANA",C,L,61,14,15,29,0.4754,-4,30,128,0.10937,870.9836,11,19,3,10,0,0,0,3,0.46153
2016,2,8474625,Jimmy Hayes,Hayes,BOS,R,R,75,13,16,29,0.38666,-12,60,127,0.10236,829.5866,10,24,3,5,0,0,0,0,0.375
2016,2,8474849,Antoine Roussel,Roussel,DAL,L,L,80,13,16,29,0.3625,11,123,111,0.11711,831.425,13,27,0,1,0,1,0,6,0.42857
2016,2,8471976,David Desharnais,Desharnais,MTL,C,L,65,11,18,29,0.44615,-6,20,90,0.12222,960.1692,8,24,3,5,0,0,1,4,0.48692
2016,2,8474716,Jared Spurgeon,Spurgeon,MIN,D,R,77,11,18,29,0.37662,11,14,122,0.09016,1360.7142,6,13,5,13,0,3,0,2,NA
2016,2,8474009,Nick Bonino,Bonino,PIT,C,L,63,9,20,29,0.46031,13,31,97,0.09278,950.3333,6,26,2,2,1,1,0,0,0.50435
2016,2,8477501,Valeri Nichushkin,Nichushkin,DAL,R,L,79,9,20,29,0.36708,2,12,139,0.06474,835.8987,8,27,1,2,0,0,0,1,0
2016,2,8475200,Dmitry Orlov,Orlov,WSH,D,L,82,8,21,29,0.35365,8,26,90,0.08888,961.5853,8,27,0,2,0,0,0,3,NA
2016,2,8475231,Casey Cizikas,Cizikas,NYI,C,L,80,8,21,29,0.3625,4,31,84,0.09523,760.9125,7,26,0,0,1,3,0,4,0.48905
2016,2,8476466,Sven Baertschi,Baertschi,VAN,L,L,69,15,13,28,0.40579,-14,14,108,0.13888,807.4927,13,21,2,7,0,0,0,1,0
2016,2,8475715,Oscar Lindberg,Lindberg,NYR,L,L,68,13,15,28,0.41176,12,43,114,0.11403,730.6029,12,25,1,3,0,0,0,2,0.48375
2016,2,8473574,Shawn Matthias,Matthias,"TOR,COL",L,L,71,12,16,28,0.39436,-17,20,101,0.11881,810.7746,12,27,0,0,0,1,0,2,0.375
2016,2,8470606,Dustin Brown,Brown,LAK,R,R,82,11,17,28,0.34146,-5,30,218,0.05045,970.4024,9,24,2,3,0,1,0,0,0.47058
2016,2,8467389,Brad Richards,Richards,DET,C,L,68,10,18,28,0.41176,4,8,164,0.06097,887.6617,6,14,4,14,0,0,0,1,0.496
2016,2,8471339,Ryan Callahan,Callahan,TBL,R,R,73,10,18,28,0.38356,-5,45,156,0.0641,1034.2739,8,24,2,4,0,0,0,1,0.58333
2016,2,8476854,Hampus Lindholm,Lindholm,ANA,D,L,80,10,18,28,0.35,7,40,149,0.06711,1320.1125,5,12,4,15,1,1,0,1,NA
2016,2,8476458,Ryan Strome,Strome,NYI,C,R,71,8,20,28,0.39436,-9,28,132,0.0606,939.4647,7,24,1,4,0,0,0,0,0.41052
2016,2,8470110,Trevor Daley,Daley,"CHI,PIT",D,L,82,6,22,28,0.34146,9,34,130,0.04615,1106.4756,5,19,1,9,0,0,0,0,0
2016,2,8475764,Cam Fowler,Fowler,ANA,D,L,69,5,23,28,0.40579,-8,27,113,0.04424,1366.8405,2,11,3,17,0,0,0,0,NA
2016,2,8474668,Dale Weise,Weise,"MTL,CHI",R,R,71,14,13,27,0.38028,4,24,136,0.10294,804.8873,11,21,3,6,0,0,0,1,0.45714
2016,2,8468085,Radim Vrbata,Vrbata,VAN,R,R,63,13,14,27,0.42857,-30,12,199,0.06532,962.8095,8,18,5,9,0,0,0,0,0.28571
2016,2,8474034,Patrick Maroon,Maroon,"ANA,EDM",L,L,72,12,15,27,0.375,-7,88,104,0.11538,740.3055,7,19,5,8,0,0,0,1,0.32075
2016,2,8473446,Erik Johnson,Johnson,COL,D,R,73,11,16,27,0.36986,-19,50,175,0.06285,1406.5479,6,18,3,6,2,3,0,0,0
2016,2,8474574,Tyler Myers,Myers,WPG,D,R,73,9,18,27,0.36986,6,72,140,0.06428,1357.0958,9,24,0,2,0,1,0,0,0
2016,2,8475180,Peter Holland,Holland,TOR,C,L,65,9,18,27,0.41538,-16,28,138,0.06521,879.9538,4,16,5,11,0,0,0,1,0.46451
2016,2,8476888,Mikhail Grigorenko,Grigorenko,COL,C,L,74,6,21,27,0.36486,2,8,84,0.07142,796,5,23,1,4,0,0,0,0,0.43266
2016,2,8477956,David Pastrnak,Pastrnak,BOS,R,R,51,15,11,26,0.5098,3,20,108,0.13888,836.7058,15,25,0,1,0,0,0,2,0
2016,2,8471794,Darren Helm,Helm,DET,C,L,77,13,13,26,0.33766,-2,32,165,0.07878,904.0909,13,26,0,0,0,0,1,3,0.50649
2016,2,8474189,Lars Eller,Eller,MTL,C,L,79,13,13,26,0.32911,-13,28,149,0.08724,915.4303,11,24,1,1,1,1,0,2,0.50611
2016,2,8476177,Matt Read,Read,PHI,R,R,79,11,15,26,0.32911,-5,27,127,0.08661,915.1898,9,19,2,7,0,0,1,2,0.48
2016,2,8476856,Mathew Dumba,Dumba,MIN,D,R,81,10,16,26,0.32098,1,38,152,0.06578,1010.432,4,14,6,12,0,0,0,3,NA
2016,2,8476879,Cody Ceci,Ceci,OTT,D,R,75,10,16,26,0.34666,9,18,116,0.0862,1158.0133,10,24,0,2,0,0,0,2,NA
2016,2,8470630,Kevin Klein,Klein,NYR,D,R,69,9,17,26,0.37681,16,19,69,0.13043,1223.0724,9,25,0,1,0,0,1,4,NA
2016,2,8468509,Niklas Kronwall,Kronwall,DET,D,L,64,3,23,26,0.40625,-21,30,61,0.04918,1320.5625,3,12,0,14,0,0,1,2,NA
2016,2,8470039,Tomas Fleischmann,Fleischmann,"MTL,CHI",L,L,76,14,11,25,0.32894,-8,32,123,0.11382,912.8157,13,23,0,1,1,1,0,3,0.55813
2016,2,8475758,Devante Smith-Pelly,Smith-Pelly,"MTL,NJD",R,R,64,14,11,25,0.39062,-3,30,94,0.14893,737.5468,14,24,0,1,0,0,0,5,0.4
2016,2,8475772,Riley Sheahan,Sheahan,DET,C,L,81,14,11,25,0.30864,-8,12,128,0.10937,913.8518,10,20,3,4,1,1,0,2,0.4578
2016,2,8473914,Mark Letestu,Letestu,EDM,C,R,82,10,15,25,0.30487,-21,10,107,0.09345,946.939,5,10,3,12,2,3,0,0,0.5129
2016,2,8470187,Johnny Boychuk,Boychuk,NYI,D,R,70,9,16,25,0.35714,17,31,165,0.05454,1282.0142,8,20,1,5,0,0,0,1,NA
2016,2,8471362,Mikhail Grabovski,Grabovski,NYI,C,L,58,9,16,25,0.43103,3,33,83,0.10843,846.1896,8,22,1,3,0,0,1,2,0.47732
2016,2,8475792,Brett Connolly,Connolly,BOS,R,R,71,9,16,25,0.35211,-1,20,95,0.09473,777.6619,7,20,2,5,0,0,0,2,0.45161
2016,2,8475233,David Savard,Savard,CBJ,D,R,65,4,21,25,0.38461,-7,45,122,0.03278,1390.3538,3,19,1,5,0,1,0,0,NA
2016,2,8476850,Ryan Murray,Murray,CBJ,D,L,82,4,21,25,0.30487,-10,40,90,0.04444,1370.7682,3,14,1,11,0,0,0,0,NA
2016,2,8477018,Ben Hutton,Hutton,VAN,D,L,75,1,24,25,0.33333,-21,14,104,0.00961,1192.4,1,18,0,7,0,0,0,0,NA
2016,2,8474685,Matt Calvert,Calvert,CBJ,L,L,73,11,13,24,0.32876,1,51,114,0.09649,907.6849,10,23,1,1,0,0,0,1,0.5
2016,2,8467096,Dan Boyle,Boyle,NYR,D,R,74,10,14,24,0.32432,0,30,95,0.10526,1128.8648,7,14,3,10,0,0,0,0,NA
2016,2,8475807,Joakim Nordstrom,Nordstrom,CAR,C,L,71,10,14,24,0.33802,1,12,81,0.12345,937.5492,9,23,0,0,1,1,0,1,0.6
2016,2,8476921,Jordan Martinook,Martinook,ARI,L,L,81,9,15,24,0.29629,-9,18,109,0.08256,911.4444,8,21,0,1,1,2,0,2,0.54545
2016,2,8468504,Brad Boyes,Boyes,TOR,R,R,60,8,16,24,0.4,-6,12,85,0.09411,718.2166,6,19,2,5,0,0,0,1,0.64285
