season,game_type,player_id,player_name,last_name,team_abbrev,shoots_catches,gp,gs,wins,losses,ot_losses,ties,goals_against,gaa,saves,shots_against,sv_pct,shutouts,toi_sec,goals,assists,points,pim
2023,2,8470880,Brian Elliott,Elliott,TBL,L,22,22,12,8,2,NA,75,3.39691,614,689,0.89114,2,79484,0,1,1,0
2023,2,8473503,James Reimer,Reimer,SJS,L,43,41,12,21,8,NA,147,3.47517,1188,1335,0.88988,3,152280,0,0,0,2
2023,2,8481611,Pyotr Kochetkov,Kochetkov,CAR,L,24,23,12,7,5,NA,57,2.43601,570,627,0.90909,4,84236,0,0,0,0
2023,2,8467950,Craig Anderson,Anderson,BUF,L,26,24,11,11,2,NA,76,3.06033,747,823,0.90765,1,89402,0,1,1,2
2023,2,8473575,Semyon Varlamov,Varlamov,NYI,L,23,22,11,9,2,NA,60,2.69716,629,689,0.91291,2,80084,0,0,0,0
2023,2,8476341,Anton Forsberg,Forsberg,OTT,L,28,25,11,11,2,NA,80,3.2614899999999998,737,817,0.90208,2,88303,0,0,0,2
2023,2,8477484,Spencer Martin,Martin,VAN,L,29,27,11,15,1,NA,107,3.98712,723,830,0.87108,0,96611,0,0,0,0
2023,2,8470860,Jaroslav Halak,Halak,NYR,L,25,24,10,9,5,NA,66,2.72364,614,680,0.90294,1,87236,0,1,1,0
2023,2,8475852,Petr Mrazek,Mrazek,CHI,L,39,38,10,22,3,NA,132,3.65791,1116,1248,0.89423,0,129910,0,2,2,4
2023,2,8478406,Mackenzie Blackwood,Blackwood,NJD,L,22,20,10,6,2,NA,60,3.19843,503,563,0.89342,0,67533,0,0,0,2
2023,2,8480420,Collin Delia,Delia,VAN,L,20,18,10,6,2,NA,62,3.2756,464,526,0.88212,0,68140,0,1,1,0
2023,2,8471774,Alex Stalock,Stalock,CHI,L,27,24,9,15,2,NA,74,3.00948,730,804,0.90796,2,88520,0,0,0,16
2023,2,8475809,Scott Wedgewood,Wedgewood,DAL,L,21,18,9,8,3,NA,51,2.71573,552,603,0.91542,1,67606,0,0,0,0
2023,2,8477480,Eric Comrie,Comrie,BUF,L,19,19,9,9,1,NA,68,3.66911,526,594,0.88552,1,66719,0,1,1,2
2023,2,8478039,Kaapo Kahkonen,Kahkonen,SJS,L,37,37,9,20,7,NA,135,3.84569,1014,1149,0.8825,1,126375,0,0,0,0
2023,2,8479312,Alex Lyon,Lyon,FLA,L,15,14,9,4,2,NA,43,2.88854,446,488,0.91393,1,53591,0,0,0,0
2023,2,8479496,David Rittich,Rittich,WPG,L,21,18,9,8,1,NA,50,2.67455,456,506,0.90118,0,67301,0,0,0,2
2023,2,8480947,Kevin Lankinen,Lankinen,NSH,L,19,18,9,8,1,NA,49,2.7498,534,583,0.91595,0,64150,0,0,0,2
2023,2,8481033,Akira Schmid,Schmid,NJD,L,18,14,9,5,2,NA,32,2.13013,376,408,0.92156,1,54081,0,0,0,0
