"player_id","season","shots_taken","actual_goals","expected_goals","gax_pooled","toi_total_sec","gax_per60"
"8448208",2014,277,18,24.8914090865292,-6.89140908652917,84692,-0.292932894624108
"8457981",2014,183,11,17.2943697078153,-6.29436970781535,61221,-0.370130036231608
"8458537",2014,178,9,13.717566571373,-4.71756657137303,58583,-0.28990047721938
"8459670",2014,196,6,6.96693950274494,-0.966939502744935,80180,-0.0434145947852553
"8460496",2014,163,9,13.4745659669861,-4.47456596698612,57940,-0.278019286868312
"8460621",2014,193,15,13.255889267195,1.74411073280499,64768,0.0969429137552178
"8462038",2014,234,23,18.012924898183,4.98707510181703,71646,0.250585801950441
"8462042",2014,313,27,23.9624926878023,3.0375073121977,88973,0.122902749417371
"8464975",2014,170,15,13.6860804844764,1.31391951552359,59983,0.0788575138936854
"8464989",2014,163,10,13.3300803939346,-3.33008039393462,65419,-0.183253938735912
"8465009",2014,246,19,12.5664224438369,6.43357755616307,109101,0.212288422674284
"8466138",2014,178,12,14.4017309230403,-2.4017309230403,90041,-0.0960254919752679
"8466139",2014,377,29,32.1442355467007,-3.14423554670066,93106,-0.121573775783756
"8466140",2014,213,18,16.6127746324637,1.3872253675363,75006,0.0665814911224527
"8466148",2014,353,23,29.3404643477406,-6.34046434774063,85768,-0.266132726096753
"8466251",2014,194,15,14.5099906396936,0.490009360306432,64699,0.0272652389851954
"8466285",2014,161,7,6.83884217648301,0.161157823516987,113282,0.00512145058050841
"8466378",2014,323,34,25.9711094197701,8.02889058022993,111345,0.259589618652187
"8467096",2014,213,10,11.1088652055478,-1.10886520554777,95221,-0.0419226298817696
"8467329",2014,182,19,14.471653445391,4.52834655460901,62147,0.262314312784084
"8467330",2014,189,13,12.8818141533993,0.118185846600683,80843,0.00526290523313657
"8467370",2014,207,19,16.0090627861209,2.99093721387908,76519,0.140715037702593
"8467389",2014,442,25,27.8856171721127,-2.8856171721127,108856,-0.0954308611340276
"8467396",2014,196,16,16.9808627697639,-0.980862769763917,65332,-0.0540486434082854
"8467400",2014,152,4,5.56015259120614,-1.56015259120614,94072,-0.0597047934384523
"8467407",2014,288,13,18.9034229288809,-5.9034229288809,88296,-0.240694057986446
"8467496",2014,216,6,9.02464716840768,-3.02464716840768,124053,-0.0877748204901748
"8467514",2014,157,18,11.8018062346382,6.1981937653618,52373,0.426049635409514
"8467545",2014,212,16,16.784462000709,-0.784462000709027,72727,-0.0388310146514018
"8467875",2014,276,16,20.4420571915107,-4.44205719151068,77076,-0.207475814643189
"8468083",2014,199,15,11.8814358473755,3.11856415262446,49400,0.227263784401782
"8468085",2014,347,17,21.0462038504775,-4.04620385047747,76529,-0.19033743890184
"8468208",2014,169,21,16.3762311525061,4.62376884749392,66995,0.248459852988702
"8468309",2014,159,8,7.1726226489991,0.827377351000904,98397,0.0302708259764348
"8468482",2014,167,12,14.06691891019,-2.06691891019,72200,-0.103059668652133
"8468483",2014,235,23,19.0632112016901,3.93678879830986,63490,0.223223179617507
"8468486",2014,305,19,21.587463509466,-2.58746350946604,79198,-0.11761494777744
"8468504",2014,243,20,19.0258931831922,0.974106816807762,71797,0.0488430511094885
"8468505",2014,153,8,11.3078934469959,-3.30789344699588,80949,-0.147110111418117
"8468508",2014,408,25,29.4292431211797,-4.42924312117974,98530,-0.161831678029505
"8468509",2014,170,8,7.27527069835924,0.724729301640765,100060,0.0260746100930117
"8468526",2014,196,10,11.5923176256474,-1.59231762564741,84792,-0.0676047675763124
"8468535",2014,176,19,15.0473668643972,3.95263313560281,77797,0.182905244266104
"8469455",2014,281,22,18.2423556125723,3.75764438742771,71451,0.189325828816109
"8469459",2014,242,11,15.24200596218,-4.24200596217997,82343,-0.185458648140679
"8469462",2014,158,8,13.5047679005656,-5.50476790056564,62002,-0.319621374182064
"8469465",2014,183,5,6.28573234088253,-1.28573234088253,93241,-0.0496416429164972
"8469466",2014,166,13,12.4533096250962,0.546690374903845,65773,0.0299223898811646
"8469469",2014,166,16,12.9026857400895,3.09731425991049,64841,0.171964209923933
"8469473",2014,156,9,9.57169602625072,-0.571696026250722,66726,-0.030844134138156
"8469485",2014,172,9,15.3414394268766,-6.3414394268766,60067,-0.380061963087149
"8469500",2014,236,26,16.8256087246118,9.17439127538819,66518,0.496524378234425
"8469506",2014,345,29,23.1432588329772,5.85674116702285,95981,0.219671270368951
"8469521",2014,300,19,18.3978440742358,0.60215592576424,94512,0.0229363608086938
"8469544",2014,485,35,31.4002381594037,3.59976184059633,103875,0.124757089060378
"8469555",2014,211,3,6.67130327195628,-3.67130327195628,93261,-0.141717242781469
"8469598",2014,215,3,7.30632688372861,-4.30632688372861,87042,-0.178106853948933
"8469623",2014,167,9,7.81616368866526,1.18383631133474,94080,0.0452998588520948
"8469638",2014,254,26,16.5529878441012,9.44701215589885,82615,0.411659429416399
"8469664",2014,199,8,12.4819901452865,-4.48199014528654,58779,-0.274505597628942
"8469707",2014,153,11,11.8961093334947,-0.89610933349468,58465,-0.0551782023532173
"8470039",2014,244,8,17.1977388132364,-9.19773881323636,72407,-0.45730191456145
"8470041",2014,409,25,28.2820002468652,-3.28200024686521,80809,-0.146211447842626
"8470047",2014,161,23,11.7422981437994,11.2577018562006,81845,0.495176573795859
"8470105",2014,193,12,13.5853713947581,-1.58537139475811,63323,-0.0901305532133539
"8470110",2014,167,7,7.0418827184476,-0.0418827184475976,76631,-0.00196758213270545
"8470120",2014,309,18,20.3728072011145,-2.37280720111448,69248,-0.123355272701192
"8470144",2014,196,20,16.6793058457552,3.32069415424485,72928,0.163921936091507
"8470151",2014,213,3,7.54839410498971,-4.54839410498971,105027,-0.155904850923695
"8470176",2014,251,15,19.2827941147261,-4.28279411472613,54381,-0.283519222026334
"8470180",2014,153,13,10.2493818211369,2.75061817886308,60540,0.163565005680659
