"game_id","event_idx","situation_code","for_team_id","against_team_id","for_players","against_players","for_team_abbrev","against_team_abbrev"
"2010020001",121,"1551","8","10","8469521;8470603;8470672;8470678;8471678;8471679","8462044;8469460;8469464;8469474;8470283;8474125","MTL","TOR"
"2010020001",123,"1551","8","10","8469521;8470603;8470672;8470678;8471679;8474189","8462044;8469460;8469464;8469474;8470283;8474125","MTL","TOR"
"2010020001",124,"1551","8","10","8469521;8470603;8470672;8470678;8471679;8474189","8462044;8469460;8469464;8469474;8470283;8474125","MTL","TOR"
"2010020001",127,"1551","8","10","8467439;8468463;8470654;8471310;8471679;8474056","8462044;8467400;8470602;8470667;8471362;8473579","MTL","TOR"
"2010020001",130,"1551","8","10","8467439;8468635;8471310;8471679;8471768;8474056","8462044;8467400;8470602;8470667;8471362;8473579","MTL","TOR"
"2010020001",131,"1551","10","8","8462044;8465200;8468778;8470602;8470667;8471362","8467439;8468635;8471310;8471679;8471768;8474056","TOR","MTL"
"2010020001",136,"1541","8","10","8467351;8467407;8467439;8469521;8471679;8474056","8462044;8469464;8470283;8474125;8474568","MTL","TOR"
"2010020001",140,"1541","8","10","8470324;8470603;8470678;8471678;8471679;8474189","8462044;8467400;8467937;8469460;8471371","MTL","TOR"
"2010020001",141,"1551","8","10","8468635;8470672;8470678;8471678;8471679;8474189","8462044;8465200;8467937;8470602;8473579;8474568","MTL","TOR"
"2010020001",143,"1551","10","8","8462044;8465200;8470667;8471362;8473579;8474568","8459628;8470654;8470672;8471310;8471679;8471768","TOR","MTL"
"2010020001",149,"1541","8","10","8467351;8467407;8467439;8469521;8471679;8474056","8462044;8469464;8470283;8474125;8474568","MTL","TOR"
"2010020001",150,"1541","8","10","8467351;8467407;8467439;8469521;8471679;8474056","8462044;8469464;8470283;8474125;8474568","MTL","TOR"
"2010020001",151,"1541","8","10","8467351;8467407;8467439;8469521;8471679;8474056","8462044;8469464;8470283;8474125;8474568","MTL","TOR"
"2010020001",152,"1541","8","10","8467351;8467407;8467439;8469521;8471679;8474056","8462044;8469464;8470283;8474125;8474568","MTL","TOR"
"2010020001",154,"1541","8","10","8467351;8467407;8467439;8469521;8471679;8474056","8462044;8469464;8470283;8474125;8474568","MTL","TOR"
"2010020001",155,"1541","8","10","8467351;8467407;8467439;8469521;8471679;8474056","8462044;8469464;8470283;8474125;8474568","MTL","TOR"
"2010020001",156,"1541","8","10","8467351;8467407;8467439;8469521;8471679;8474056","8462044;8469464;8470283;8474125;8474568","MTL","TOR"
"2010020001",159,"1551","8","10","8467407;8470603;8470672;8470678;8471679;8474189","8462044;8470667;8471346;8471362;8474125;8474568","MTL","TOR"
"2010020001",160,"1551","10","8","8462044;8470667;8471346;8471362;8474125;8474568","8467351;8467407;8468463;8470672;8470678;8471679","TOR","MTL"
"2010020001",162,"1551","10","8","8462044;8467400;8470602;8470667;8471362;8473579","8459628;8467351;8468463;8468635;8470672;8471679","TOR","MTL"
"2010020001",164,"1551","10","8","8462044;8467400;8470602;8470667;8471362;8473579","8459628;8467351;8468463;8468635;8470672;8471679","TOR","MTL"
"2010020001",166,"1551","8","10","8467351;8467439;8468635;8471679;8471768;8474056","8462044;8467400;8470602;8470667;8473579;8475098","MTL","TOR"
"2010020001",167,"1551","8","10","8467351;8467439;8468635;8471679;8471768;8474056","8462044;8467400;8470602;8470667;8473579;8475098","MTL","TOR"
"2010020001",168,"1551","8","10","8467439;8470654;8471310;8471679;8471768;8474056","8462044;8467400;8469460;8471346;8473548;8475098","MTL","TOR"
"2010020001",170,"1551","10","8","8462044;8469460;8471346;8473548;8474125;8475098","8459628;8470324;8470654;8471310;8471679;8471768","TOR","MTL"
"2010020001",171,"1551","10","8","8462044;8469460;8471346;8473548;8474125;8475098","8459628;8470324;8470654;8471310;8471679;8471768","TOR","MTL"
