"player_id","team_abbrev","gp_onice","cf_5v5","ca_5v5","gf_5v5","ga_5v5","ev_goals","ev_assists","pp_goals","pp_assists","pk_ga","pp_shots","pk_shots_against","pp_gf_onice","pk_ga_onice","xg_for_5v5","xg_against_5v5","pen_taken","pen_drawn","toi_5v5_sec","toi_pp_sec","toi_pk_sec","cf_pct_5v5","gf_per60_5v5","ga_per60_5v5","ev_points_per60","pp_points_per60","pk_ga_per60","pk_save_pct","pp_gf_onice_per60","pk_ga_onice_per60","xg_for_per60_5v5","xg_against_per60_5v5","toi_all_tracked_sec","pen_taken_per60","pen_drawn_per60","penalty_diff_per60"
"8459628","MTL",82,1137,1194,38,50,2,4,0,0,0,4,468,0,18,49.3901558339712,50.4130203289096,15,8,77039,1681,13822,48.8,1.78,2.34,0.28,0,0,1,0,4.69,2.308,2.356,92542,0.58,0.31,-0.27
"8462044","TOR",33,1254,1228,44,53,0,0,0,0,1,297,237,14,20,47.2685440602945,52.3717701908317,2,4,73931,9552,9175,50.5,2.14,2.58,0,0,0.39,0.9958,5.28,7.85,2.302,2.55,92658,0.08,0.16,0.08
"8465200","TOR",107,1621,1614,73,51,4,24,0,28,4,732,40,41,1,65.3311160209705,67.0729537531151,11,7,101534,19468,3153,50.1,2.59,1.81,0.99,5.18,4.57,0.9,7.58,1.14,2.316,2.378,124155,0.32,0.2,-0.12
"8467351","MTL",87,1350,1200,33,48,4,16,3,15,4,379,119,27,5,58.6162108200951,56.4479982948978,19,21,72539,12922,5972,52.9,1.64,2.38,0.99,5.01,2.41,0.9664,7.52,3.01,2.909,2.801,91433,0.75,0.83,0.08
"8467400","TOR",87,1325,1445,56,68,3,12,1,2,2,181,394,11,33,55.4565981096239,60.4291064873687,16,12,89474,9589,13445,47.8,2.25,2.74,0.6,1.13,0.54,0.9949,4.13,8.84,2.231,2.431,112508,0.51,0.38,-0.13
"8467407","MTL",89,1383,1145,45,45,19,13,8,5,3,447,249,28,12,59.6708753424464,50.6559817147208,12,21,74391,12984,10511,54.7,2.18,2.18,1.55,3.6,1.03,0.988,7.76,4.11,2.888,2.451,97886,0.44,0.77,0.33
"8467439","MTL",66,964,931,36,33,1,9,0,3,1,153,216,7,16,37.418507127848,41.0513332613627,17,9,57693,5616,8733,50.9,2.25,2.06,0.62,1.92,0.41,0.9954,4.49,6.6,2.335,2.562,72042,0.85,0.45,-0.4
"8467831","MTL",76,666,726,33,28,11,14,0,0,0,8,261,0,13,27.3896425185958,30.3133155633113,11,17,46920,1364,8530,47.8,2.53,2.15,1.92,0,0,1,0,5.49,2.102,2.326,56814,0.7,1.08,0.38
"8467937","TOR",8,29,32,1,1,0,1,0,0,0,1,18,0,2,0.792203609831631,1.13400858239038,2,0,2504,57,767,47.5,1.44,1.44,1.44,0,0,1,0,9.39,1.139,1.63,3328,2.16,0,-2.16
"8468463","MTL",66,695,595,29,21,10,10,3,5,1,151,6,16,1,27.8202991219005,24.1083985271398,5,8,39414,5645,579,53.9,2.65,1.92,1.83,5.1,6.22,0.8333,10.2,6.22,2.541,2.202,45638,0.39,0.63,0.24
"8468635","MTL",86,767,915,26,32,5,11,0,0,0,1,332,0,15,33.7033814382739,38.895552288217,14,21,57006,1124,8944,45.6,1.64,2.02,1.01,0,0,1,0,6.04,2.128,2.456,67074,0.75,1.13,0.38
"8468778","TOR",46,149,228,5,6,2,0,0,0,0,2,1,0,0,3.70113037293777,9.56650521035772,14,4,13603,190,147,39.5,1.32,1.59,0.53,0,0,1,0,0,0.979,2.532,13940,3.62,1.03,-2.59
"8469460","TOR",75,779,921,33,43,1,9,0,0,0,6,174,1,16,31.9518629019731,38.5136991090258,18,9,52261,639,7048,45.8,2.27,2.96,0.69,0,0,1,5.63,8.17,2.201,2.653,59948,1.08,0.54,-0.54
