season,game_type,player_id,team_abbrev,zone,sog,goals,sh_pct
2024,2,8476453,TBL,Behind the Net,3,0,0
2024,2,8476453,TBL,Beyond Red Line,1,0,0
2024,2,8476453,TBL,Center Point,13,3,0.2308
2024,2,8476453,TBL,Crease,4,2,0.5
2024,2,8476453,TBL,High Slot,23,5,0.2174
2024,2,8476453,TBL,L Circle,29,0,0
2024,2,8476453,TBL,L Corner,0,0,0
2024,2,8476453,TBL,L Net Side,6,1,0.1667
2024,2,8476453,TBL,L Point,9,1,0.1111
2024,2,8476453,TBL,Low Slot,60,12,0.2
2024,2,8476453,TBL,Offensive Neutral Zone,10,0,0
2024,2,8476453,TBL,Outside L,8,0,0
2024,2,8476453,TBL,Outside R,51,8,0.1569
2024,2,8476453,TBL,R Circle,48,9,0.1875
2024,2,8476453,TBL,R Corner,3,0,0
2024,2,8476453,TBL,R Net Side,14,3,0.2143
2024,2,8476453,TBL,R Point,24,0,0
2024,2,8477492,COL,Behind the Net,1,0,0
2024,2,8477492,COL,Beyond Red Line,6,2,0.3333
2024,2,8477492,COL,Center Point,28,2,0.0714
2024,2,8477492,COL,Crease,8,3,0.375
2024,2,8477492,COL,High Slot,33,6,0.1818
2024,2,8477492,COL,L Circle,77,8,0.1039
2024,2,8477492,COL,L Corner,0,0,0
2024,2,8477492,COL,L Net Side,13,2,0.1538
2024,2,8477492,COL,L Point,16,1,0.0625
2024,2,8477492,COL,Low Slot,78,18,0.2308
2024,2,8477492,COL,Offensive Neutral Zone,5,0,0
2024,2,8477492,COL,Outside L,42,3,0.0714
2024,2,8477492,COL,Outside R,22,1,0.0455
2024,2,8477492,COL,R Circle,54,5,0.0926
2024,2,8477492,COL,R Corner,0,0,0
2024,2,8477492,COL,R Net Side,13,0,0
2024,2,8477492,COL,R Point,9,0,0
2024,2,8478402,EDM,Behind the Net,9,0,0
2024,2,8478402,EDM,Beyond Red Line,3,0,0
2024,2,8478402,EDM,Center Point,6,0,0
2024,2,8478402,EDM,Crease,8,3,0.375
2024,2,8478402,EDM,High Slot,28,4,0.1429
2024,2,8478402,EDM,L Circle,35,2,0.0571
2024,2,8478402,EDM,L Corner,3,0,0
2024,2,8478402,EDM,L Net Side,21,3,0.1429
2024,2,8478402,EDM,L Point,3,0,0
2024,2,8478402,EDM,Low Slot,77,16,0.2078
