season,game_type,player_id,first_name,last_name,position,team_abbrev,gp,goals,assists,points,top_shot_speed_mph,avg_shot_speed_mph,shot_attempts_over100,shot_attempts_90_100,shot_attempts_80_90,shot_attempts_70_80,max_skate_speed_mph,bursts_over22,bursts_20_22,bursts_18_20,dist_total_mi,dist_per60_mi,dist_max_game_mi,oz_pct,nz_pct,dz_pct,oz_league_avg,dz_league_avg,oz_starts_pct,nz_starts_pct,dz_starts_pct
2024,2,8476453,Nikita,Kucherov,R,TBL,81,44,100,144,92.25,60.9874,0,5,102,124,23.227,12,147,571,284.9763,9.7419,4.6982,0.45675354,0.18415546,0.35909101,0.42436392,0.3977511,0.433,0.3158,0.2512
2024,2,8477492,Nathan,MacKinnon,C,COL,82,51,89,140,88.82,57.9452,0,0,62,159,24.05,117,596,788,300.2236,9.6289,4.8615,0.47409928,0.17408395,0.35181677,0.42436392,0.3977511,0.4601,0.3043,0.2356
2024,2,8478402,Connor,McDavid,C,EDM,76,32,100,132,87.05,47.9325,0,0,16,72,24.191,66,390,751,277.6815,10.2636,4.7316,0.49650614,0.17101499,0.33247887,0.42436392,0.3977511,0.4413,0.2924,0.2663
2024,2,8478550,Artemi,Panarin,L,NYR,82,49,71,120,88.45,61.2579,0,0,49,205,22.049,1,54,458,259.8235,9.4496,4.277,0.48168005,0.17633008,0.34198987,0.42436392,0.3977511,0.5201,0.3512,0.1286
2024,2,8477956,David,Pastrnak,R,BOS,82,47,63,110,95.87,58.2223,0,9,91,141,22.512,3,138,599,263.4032,9.6707,4.2144,0.45549501,0.18087503,0.36362996,0.42436392,0.3977511,0.4302,0.2663,0.3035
2024,2,8479318,Auston,Matthews,C,TOR,81,69,38,107,91.43,55.2039,0,1,57,134,22.466,1,115,644,281.5109,9.9457,4.4413,0.45622468,0.17946093,0.3643144,0.42436392,0.3977511,0.3637,0.3806,0.2557
2024,2,8477934,Leon,Draisaitl,C,EDM,81,41,65,106,87.46,55.3747,0,0,21,98,23.299,12,209,651,249.5192,8.9309,3.8114,0.47786052,0.17164584,0.35049365,0.42436392,0.3977511,0.3897,0.3007,0.3095
2024,2,8478420,Mikko,Rantanen,R,COL,80,42,62,104,95.82,54.2434,0,5,34,108,22.32,1,98,454,267.7781,8.7679,4.4295,0.46538321,0.17289843,0.36171837,0.42436392,0.3977511,0.4584,0.2877,0.254
2024,2,8476468,J.T.,Miller,C,VAN,81,37,66,103,97.52,58.1265,0,20,70,57,22.983,21,208,574,234.2909,8.9045,3.5554,0.46248309,0.16439116,0.37312575,0.42436392,0.3977511,0.3294,0.3367,0.3339
2024,2,8477939,William,Nylander,R,TOR,82,40,58,98,96.51,60.187,0,10,91,118,22.355,3,137,523,248.5024,9.131,3.9148,0.44171928,0.17824984,0.38003088,0.42436392,0.3977511,0.3704,0.3492,0.2804
