season,game_type,player_id,team_abbrev,game_date,dist_all_mi,toi_all_sec,dist_even_mi,toi_even_sec,dist_pp_mi,toi_pp_sec,home
2024,2,8477934,EDM,2024-04-15,2.4355,936,2.4355,936,NA,NA,1
2024,2,8477934,EDM,2024-04-13,3.4596,1337,3.0404,1145,0.4193,192,1
2024,2,8477934,EDM,2024-04-12,3.2887,1253,3.0269,1152,0.2618,101,1
2024,2,8477934,EDM,2024-04-10,3.0912,1151,2.5363,926,0.5549,225,1
2024,2,8477934,EDM,2024-04-06,3.1812,1357,2.4398,929,0.7286,415,0
2024,2,8477934,EDM,2024-04-05,3.0219,1186,2.2775,862,0.7444,324,1
2024,2,8477934,EDM,2024-04-03,2.8091,1145,2.1043,790,0.7014,351,0
2024,2,8477934,EDM,2024-04-01,3.3234,1241,2.9387,1073,0.3705,157,0
2024,2,8477934,EDM,2024-03-30,2.6713,1081,2.2465,873,0.4155,198,1
2024,2,8478420,COL,2024-04-18,2.8912,1155,2.3546,884,0.5366,271,1
2024,2,8478420,COL,2024-04-14,3.0855,1217,2.8713,1097,0.2142,120,0
2024,2,8478420,COL,2024-04-13,2.4856,971,2.3069,866,0.1787,105,1
2024,2,8478420,COL,2024-04-05,1.2511,555,1.0842,431,0.157,119,0
2024,2,8478420,COL,2024-04-04,3.2005,1254,3.0063,1138,0.1439,90,0
2024,2,8478420,COL,2024-04-01,3.8695,1684,3.2119,1247,0.6576,437,0
2024,2,8478420,COL,2024-03-30,3.0595,1359,2.076,834,0.9834,525,1
2024,2,8478420,COL,2024-03-28,4.276,1661,3.9121,1470,0.3639,191,1
2024,2,8478420,COL,2024-03-26,3.6951,1548,3.1686,1260,0.5087,282,1
2024,2,8478420,COL,2024-03-24,3.575,1437,3.0799,1241,0.4951,196,1
2024,2,8476468,VAN,2024-04-16,2.7384,1034,2.377,853,0.15,153,1
2024,2,8476468,VAN,2024-04-13,2.5941,1056,2.1865,826,0.3132,195,0
2024,2,8476468,VAN,2024-04-10,2.9173,1235,2.4319,955,0.4761,275,1
2024,2,8476468,VAN,2024-04-08,2.923,1202,2.3966,895,0.392,246,1
2024,2,8476468,VAN,2024-04-06,2.672,1094,2.1119,772,0.501,295,0
2024,2,8476468,VAN,2024-04-03,2.6102,1078,2.1626,828,0.3555,204,0
2024,2,8476468,VAN,2024-04-02,2.6277,1162,1.8663,705,0.3324,230,0
2024,2,8476468,VAN,2024-03-31,2.5719,1140,1.7921,723,0.5645,312,1
2024,2,8476468,VAN,2024-03-28,3.049,1236,2.2188,827,0.5478,283,1
2024,2,8476468,VAN,2024-03-25,3.1563,1260,3.0013,1163,0.1549,97,1
2024,2,8477939,TOR,2024-04-17,2.6663,1049,2.1493,771,0.5171,278,0
2024,2,8477939,TOR,2024-04-16,2.6413,1035,1.9542,727,0.6871,308,0
2024,2,8477939,TOR,2024-04-13,3.3269,1297,2.6442,958,0.5299,265,1
2024,2,8477939,TOR,2024-04-11,3.5594,1345,2.9043,1057,0.4738,207,1
2024,2,8477939,TOR,2024-04-09,3.0677,1173,2.2924,816,0.687,306,0
2024,2,8477939,TOR,2024-04-08,2.7326,990,2.3603,850,0.1657,61,1
2024,2,8477939,TOR,2024-04-06,3.2843,1234,3.0804,1162,0.1906,72,0
2024,2,8477939,TOR,2024-04-03,3.2694,1264,2.4757,907,0.617,289,1
2024,2,8477939,TOR,2024-04-01,2.8527,1210,2.2116,890,0.4226,230,1
2024,2,8477939,TOR,2024-03-30,2.827,1089,1.7939,637,0.5902,242,0
2024,2,8478864,MIN,2024-04-18,3.7594,1384,3.0589,1085,0.7005,299,1
2024,2,8478864,MIN,2024-04-15,3.9782,1465,3.4968,1270,0.4814,195,0
2024,2,8478864,MIN,2024-04-13,3.8781,1465,3.6439,1371,0.2342,94,0
2024,2,8478864,MIN,2024-04-12,3.0741,1163,2.6691,1011,0.405,152,0
2024,2,8478864,MIN,2024-04-09,4.1542,1545,3.1684,1131,0.9858,414,0
2024,2,8478864,MIN,2024-04-07,3.7116,1441,3.4318,1308,0.2798,133,0
2024,2,8478864,MIN,2024-04-06,3.6911,1457,2.9825,1116,0.7086,341,1
2024,2,8478864,MIN,2024-04-04,3.7353,1485,3.162,1158,0.5733,327,1
2024,2,8478864,MIN,2024-04-02,3.5557,1383,2.8434,1071,0.7122,312,1
2024,2,8478864,MIN,2024-03-30,3.8006,1360,3.2418,1145,0.5588,215,1
2024,2,8471675,PIT,2024-04-17,3.094,1187,2.8614,1056,0.2326,131,0
2024,2,8471675,PIT,2024-04-15,3.0855,1253,2.3832,911,0.6985,340,1
2024,2,8471675,PIT,2024-04-13,3.2131,1188,2.9571,1072,0.2213,104,1
2024,2,8471675,PIT,2024-04-11,3.2509,1175,2.9676,1049,0.2795,122,1
2024,2,8471675,PIT,2024-04-08,3.2577,1275,2.4991,911,0.7586,364,0
2024,2,8471675,PIT,2024-04-06,3.1349,1113,2.7393,943,0.3856,160,1
2024,2,8471675,PIT,2024-04-04,3.3747,1130,3.0699,1002,0.3035,127,0
2024,2,8471675,PIT,2024-04-02,2.6747,969,2.3392,822,0.3355,147,0
2024,2,8471675,PIT,2024-04-01,3.2343,1179,2.8071,983,0.3952,182,0
2024,2,8471675,PIT,2024-03-30,3.9447,1351,3.6715,1234,0.2732,117,0
2024,2,8476887,NSH,2024-04-15,3.2491,1165,3.0526,1069,0.1965,96,0
2024,2,8476887,NSH,2024-04-13,2.6717,942,2.5688,878,0.0868,61,1
2024,2,8476887,NSH,2024-04-12,2.4466,890,2.147,731,0.2866,154,0
2024,2,8476887,NSH,2024-04-09,3.5009,1406,2.9071,1058,0.5938,348,1
2024,2,8476887,NSH,2024-04-07,3.4574,1263,3.0674,1052,0.3899,211,0
2024,2,8476887,NSH,2024-04-06,3.1157,1246,2.6449,994,0.4707,252,0
2024,2,8476887,NSH,2024-04-04,3.2866,1254,2.8857,1085,0.3137,169,1
2024,2,8476887,NSH,2024-04-02,2.9778,1127,2.4267,856,0.5511,271,1
2024,2,8476887,NSH,2024-03-30,3.004,1167,2.3088,853,0.6952,314,0
2024,2,8476887,NSH,2024-03-28,2.8259,1086,2.6251,973,0.2007,113,0
2024,2,8477933,FLA,2024-04-16,3.5664,1299,1.9861,722,1.2418,452,1
2024,2,8477933,FLA,2024-04-13,3.3811,1289,2.238,808,1.0424,443,1
2024,2,8477933,FLA,2024-04-11,3.1591,1142,2.4933,886,0.4667,180,1
2024,2,8477933,FLA,2024-04-09,3.5765,1338,2.1585,788,0.9731,390,1
2024,2,8477933,FLA,2024-04-06,3.5491,1325,2.3441,854,0.6611,277,0
2024,2,8477933,FLA,2024-04-04,2.6351,942,1.969,684,0.2453,104,0
2024,2,8477933,FLA,2024-04-02,2.9701,1168,1.9919,776,0.6839,266,0
2024,2,8477933,FLA,2024-04-01,3.6146,1360,2.3571,893,0.9109,325,0
2024,2,8477933,FLA,2024-03-30,3.4818,1326,2.6836,966,0.1254,87,1
2024,2,8477933,FLA,2024-03-28,3.0717,1153,2.3241,866,0.2557,120,1
2024,2,8480800,VAN,2024-04-18,3.5592,1358,2.9689,1101,0.5844,253,0
2024,2,8480800,VAN,2024-04-16,3.7878,1482,3.3825,1326,0.1857,153,1
2024,2,8480800,VAN,2024-04-13,3.2796,1315,2.7965,1110,0.4739,195,0
2024,2,8480800,VAN,2024-04-10,3.9219,1663,3.1873,1330,0.6928,311,1
2024,2,8480800,VAN,2024-04-08,3.3854,1339,2.8077,1093,0.5776,246,1
2024,2,8480800,VAN,2024-04-06,3.9471,1536,3.2255,1230,0.7216,306,0
2024,2,8480800,VAN,2024-04-03,3.7188,1494,3.0669,1227,0.6519,267,0
2024,2,8480800,VAN,2024-04-02,3.5456,1462,2.9598,1195,0.5044,238,0
2024,2,8480800,VAN,2024-03-31,3.456,1366,2.6555,1030,0.7845,328,1
2024,2,8480800,VAN,2024-03-28,3.7262,1542,3.0133,1225,0.7129,317,1
2024,2,8478010,TBL,2024-04-17,3.0028,1169,2.1156,785,0.8872,384,1
2024,2,8478010,TBL,2024-04-15,3.9538,1391,3.4126,1209,0.5412,182,1
2024,2,8478010,TBL,2024-04-13,3.3272,1200,3.1769,1145,0.1504,55,0
2024,2,8478010,TBL,2024-04-11,3.6006,1290,2.8599,980,0.7407,310,1
2024,2,8478010,TBL,2024-04-09,2.704,1008,2.2982,828,0.4058,180,1
2024,2,8478010,TBL,2024-04-06,3.5772,1369,2.8129,1007,0.7642,362,0
2024,2,8478010,TBL,2024-04-04,3.1598,1180,2.2355,791,0.9243,389,0
2024,2,8478010,TBL,2024-04-03,2.7017,950,1.9516,670,0.7437,276,0
2024,2,8478010,TBL,2024-04-01,3.2048,1266,2.595,975,0.6098,291,1
2024,2,8478010,TBL,2024-03-30,3.1858,1113,2.967,1028,0.2188,85,1
2024,2,8480069,COL,2024-04-18,3.1826,1260,2.4743,996,0.7083,264,1
2024,2,8480069,COL,2024-04-14,3.374,1480,2.8215,1190,0.27,109,0
2024,2,8480069,COL,2024-04-13,3.9464,1529,3.6638,1394,0.2153,85,1
2024,2,8480069,COL,2024-04-09,3.1481,1333,2.1633,872,0.6007,248,1
2024,2,8480069,COL,2024-04-07,3.7958,1569,3.3286,1332,0.3322,173,1
2024,2,8480069,COL,2024-04-05,3.0649,1292,2.2016,899,0.5587,232,0
2024,2,8480069,COL,2024-04-04,3.1029,1400,2.6278,1154,0.2003,90,0
2024,2,8480069,COL,2024-04-01,3.6789,1540,2.5325,1007,0.9418,429,0
2024,2,8480069,COL,2024-03-30,3.1383,1302,2.1691,893,0.9098,382,1
2024,2,8480069,COL,2024-03-28,3.9103,1602,3.3745,1334,0.3603,169,1
2024,2,8478427,CAR,2024-04-14,3.1632,1146,2.5491,897,0.2363,111,0
2024,2,8478427,CAR,2024-04-12,3.3381,1203,2.8218,1005,0.3041,109,0
2024,2,8478427,CAR,2024-04-09,3.4558,1177,2.5869,863,0.4817,158,0
2024,2,8478427,CAR,2024-04-07,2.8743,1106,2.4216,903,0.3056,140,1
2024,2,8478427,CAR,2024-04-05,3.5402,1305,2.7256,980,0.3813,163,1
2024,2,8478427,CAR,2024-04-04,3.0957,1151,2.3814,828,0.3098,166,1
2024,2,8478427,CAR,2024-03-30,3.1056,1128,2.5715,894,0.244,125,0
2024,2,8478427,CAR,2024-03-28,2.7255,981,2.1788,777,0.2992,120,1
2024,2,8478427,CAR,2024-03-26,3.7104,1334,3.1094,1118,0.4075,146,0
2024,2,8478427,CAR,2024-03-24,3.6341,1340,2.6494,928,0.5301,233,1
2024,2,8480012,VAN,2024-04-18,2.7925,1102,2.3143,907,0.4782,195,0
2024,2,8480012,VAN,2024-04-16,2.6838,980,2.2195,776,0.1493,153,1
2024,2,8480012,VAN,2024-04-13,2.7673,1053,2.2674,831,0.3668,158,0
2024,2,8480012,VAN,2024-04-10,2.8602,1209,2.1341,863,0.5634,276,1
2024,2,8480012,VAN,2024-04-08,2.9414,1209,2.3644,939,0.5373,246,1
2024,2,8480012,VAN,2024-04-06,3.1863,1265,2.5346,965,0.6516,300,0
2024,2,8480012,VAN,2024-04-03,3.3352,1357,2.6358,1040,0.5248,224,0
2024,2,8480012,VAN,2024-04-02,2.8978,1125,2.2057,800,0.4558,236,0
2024,2,8480012,VAN,2024-03-31,3.0412,1209,2.0219,804,0.6949,287,1
2024,2,8480012,VAN,2024-03-28,3.0849,1295,2.2412,875,0.5994,297,1
2024,2,8479314,FLA,2024-04-16,2.5626,1107,1.7183,649,0.7491,404,1
2024,2,8479314,FLA,2024-04-13,3.0348,1328,2.2481,880,0.7867,448,1
2024,2,8479314,FLA,2024-04-11,2.5934,1037,2.2056,850,0.3878,187,1
2024,2,8479314,FLA,2024-04-09,2.7744,1152,2.1298,789,0.6237,351,1
2024,2,8479314,FLA,2024-04-06,2.6013,1125,1.8774,744,0.5732,324,0
2024,2,8479314,FLA,2024-04-04,1.8429,776,1.6567,664,0.1716,100,0
2024,2,8479314,FLA,2024-04-01,2.461,1172,1.7083,743,0.6804,393,0
2024,2,8479314,FLA,2024-03-30,2.4149,997,2.2905,893,0.1012,87,1
2024,2,8479314,FLA,2024-03-28,2.395,1036,2.0543,854,0.175,120,1
2024,2,8479314,FLA,2024-03-26,2.7704,1162,2.362,955,0.3511,180,1
2024,2,8480023,STL,2024-04-17,3.1367,1183,2.7396,983,0.1865,82,0
2024,2,8480023,STL,2024-04-14,3.1386,1280,2.6835,1041,0.1419,95,1
2024,2,8480023,STL,2024-04-12,3.0677,1115,2.7104,987,0.3573,128,1
2024,2,8480023,STL,2024-04-10,2.505,950,1.9589,710,0.2696,124,1
2024,2,8480023,STL,2024-04-07,3.3166,1239,2.6624,934,0.3328,157,0
2024,2,8480023,STL,2024-04-06,3.4976,1401,2.1804,814,0.9601,415,0
2024,2,8480023,STL,2024-04-04,3.4662,1430,2.2281,909,0.9702,376,0
2024,2,8480023,STL,2024-04-01,4.1253,1539,3.0867,1118,0.799,324,1
2024,2,8480023,STL,2024-03-30,3.0867,1206,2.409,926,0.3454,133,1
2024,2,8480023,STL,2024-03-28,3.1454,1189,2.3459,891,0.5164,184,1
2024,2,8474600,NSH,2024-04-15,3.8809,1571,3.5671,1458,0.2855,97,0
2024,2,8474600,NSH,2024-04-13,2.9112,1175,2.5904,1051,0.3207,124,1
2024,2,8474600,NSH,2024-04-12,2.9031,1161,2.5162,989,0.3777,165,0
2024,2,8474600,NSH,2024-04-09,3.7615,1542,3.0114,1194,0.7214,339,1
2024,2,8474600,NSH,2024-04-07,4.2797,1709,3.7119,1473,0.5626,233,0
2024,2,8474600,NSH,2024-04-06,4.0402,1670,3.4124,1360,0.5712,282,0
2024,2,8474600,NSH,2024-04-04,3.5298,1524,3.0008,1314,0.3743,186,1
2024,2,8474600,NSH,2024-04-02,3.6411,1565,2.6428,1193,0.9253,336,1
2024,2,8474600,NSH,2024-03-30,4.0574,1785,2.8132,1246,0.9573,363,0
2024,2,8474600,NSH,2024-03-28,3.6778,1475,3.3474,1337,0.2805,113,0
2024,2,8478483,TOR,2024-04-17,3.0468,1185,2.296,900,0.7508,285,0
2024,2,8478483,TOR,2024-04-16,3.4543,1351,2.0792,767,0.685,301,0
2024,2,8478483,TOR,2024-04-13,3.4042,1315,2.5041,938,0.5941,265,1
2024,2,8478483,TOR,2024-04-11,3.657,1420,2.7657,1054,0.4604,204,1
2024,2,8478483,TOR,2024-04-09,3.2762,1300,2.4393,913,0.6897,306,0
2024,2,8478483,TOR,2024-04-08,3.0462,1129,2.1941,809,0.1794,61,1
2024,2,8478483,TOR,2024-04-06,2.859,1040,2.7022,970,0.1569,70,0
2024,2,8478483,TOR,2024-03-07,3.1091,1251,2.0728,773,0.6554,280,0
2024,2,8478483,TOR,2024-03-06,3.8733,1415,3.4751,1273,0.1797,70,1
2024,2,8478483,TOR,2024-03-04,3.2629,1274,2.196,807,0.847,369,1
2024,2,8479407,NJD,2024-04-15,3.405,1239,2.7553,969,0.6496,270,1
2024,2,8479407,NJD,2024-04-13,3.938,1416,3.5311,1265,0.1929,61,0
2024,2,8479407,NJD,2024-04-11,3.5056,1291,2.6242,949,0.6312,247,0
2024,2,8479407,NJD,2024-04-09,3.1659,1157,2.4649,847,0.2645,132,1
2024,2,8479407,NJD,2024-04-07,3.3712,1235,2.6768,959,0.4437,194,1
2024,2,8479407,NJD,2024-04-06,3.1691,1175,2.5699,959,0.4178,143,0
2024,2,8479407,NJD,2024-04-03,3.8532,1401,2.8302,1031,0.6746,264,0
2024,2,8479407,NJD,2024-04-02,3.1957,1150,2.3382,828,0.6431,248,1
