season,game_type,team_id,team_abbrev,gp,wins,losses,ot_losses,points,conference,division,dist_total_mi,dist_per60_mi,dist_max_game_mi,max_skate_speed_mph,bursts_over22,bursts_20_22,bursts_18_20,oz_pct,nz_pct,dz_pct,oz_league_avg,dz_league_avg,top_shot_speed_mph,avg_shot_speed_mph,shot_attempts_over100,shot_attempts_90_100,shot_attempts_80_90,shot_diff,shots_for,shots_against
2026,2,21,COL,82,55,16,11,121,Western,Central,3821.1555,9.3988,51.1243,24.7795,175,2468,9198,0.4280848,0.1819303,0.3899849,0.4154386,0.4154386,98.21,60.3635,0,57,604,NA,NA,NA
2026,2,12,CAR,82,53,22,7,113,Eastern,Metropolitan,3764.1643,9.2462,50.8812,23.5969,103,1684,7645,0.4554579,0.1836144,0.3609277,0.4154386,0.4154386,99.4,59.5162,0,78,491,NA,NA,NA
2026,2,25,DAL,82,50,20,12,112,Western,Central,3681.8,9.0486,49.0504,23.607,51,1321,7177,0.4099951,0.1772978,0.412707,0.4154386,0.4154386,95.53,56.19,0,16,253,NA,NA,NA
2026,2,7,BUF,82,50,23,9,109,Eastern,Atlantic,3773.4696,9.3121,49.7376,24.9389,93,2120,9119,0.4083835,0.1774213,0.4141952,0.4154386,0.4154386,101.12,59.7842,1,93,472,NA,NA,NA
2026,2,14,TBL,82,50,26,6,106,Eastern,Atlantic,3670.945,9.0657,47.8975,23.7137,95,1677,7510,0.4126232,0.1828631,0.4045137,0.4154386,0.4154386,101.42,58.7606,2,129,395,NA,NA,NA
2026,2,8,MTL,82,48,24,10,106,Eastern,Atlantic,3708.9884,9.1123,50.0517,23.6214,100,2042,8143,0.4113299,0.1745775,0.4140927,0.4154386,0.4154386,100.56,58.1302,1,24,394,NA,NA,NA
2026,2,30,MIN,82,46,24,12,104,Western,Central,3720.7269,9.1059,48.7957,23.6143,66,1597,7327,0.4131192,0.1748984,0.4119824,0.4154386,0.4154386,95.49,57.2251,0,18,344,NA,NA,NA
2026,2,6,BOS,82,45,27,10,100,Eastern,Atlantic,3687.0224,9.0935,48.6297,23.8442,54,1289,6951,0.3966718,0.1834773,0.419851,0.4154386,0.4154386,103.03,58.3443,2,66,415,NA,NA,NA
2026,2,9,OTT,82,44,27,11,99,Eastern,Atlantic,3685.9017,9.0881,49.2368,24.3656,126,1827,7900,0.4343514,0.1753455,0.3903032,0.4154386,0.4154386,103.51,58.8608,1,82,477,NA,NA,NA
2026,2,5,PIT,82,41,25,16,98,Eastern,Metropolitan,3724.79,9.1343,49.0615,23.7392,79,1494,7776,0.414162,0.1772961,0.4085419,0.4154386,0.4154386,98.61,57.1773,0,73,337,NA,NA,NA
2026,2,4,PHI,82,43,27,12,98,Eastern,Metropolitan,3774.1004,9.2407,49.6787,23.9739,97,1642,7753,0.4078002,0.1793831,0.4128167,0.4154386,0.4154386,98.46,57.8063,0,23,331,NA,NA,NA
2026,2,15,WSH,82,43,30,9,95,Eastern,Metropolitan,3615.846,8.9153,48.6544,24.2609,119,1873,7515,0.3967199,0.1748335,0.4284466,0.4154386,0.4154386,99.06,58.4976,0,101,484,NA,NA,NA
2026,2,54,VGK,82,39,26,17,95,Western,Pacific,3744.5583,9.1513,49.4041,23.4488,64,1643,7502,0.4228657,0.1836792,0.3934551,0.4154386,0.4154386,97.27,56.6474,0,40,460,NA,NA,NA
2026,2,22,EDM,82,41,30,11,93,Western,Pacific,3727.8392,9.1695,49.0455,24.6119,258,2173,8242,0.4183176,0.1764485,0.4052339,0.4154386,0.4154386,101.97,57.6473,1,106,433,NA,NA,NA
2026,2,59,UTA,82,43,33,6,92,Western,Central,3665.2568,9.0689,48.4616,24.3765,127,2080,8527,0.4139299,0.1803685,0.4057016,0.4154386,0.4154386,99,57.7972,0,57,443,NA,NA,NA
2026,2,17,DET,82,41,31,10,92,Eastern,Atlantic,3739.8122,9.1906,49.6941,22.835,45,1656,7759,0.4001083,0.1743944,0.4254973,0.4154386,0.4154386,98.93,58.579,0,45,409,NA,NA,NA
2026,2,29,CBJ,82,40,30,12,92,Eastern,Metropolitan,3745.9791,9.1895,49.8973,23.7146,110,1807,8206,0.4024614,0.1813819,0.4161567,0.4154386,0.4154386,99.03,58.6091,0,39,452,NA,NA,NA
2026,2,24,ANA,82,43,33,6,92,Western,Pacific,3782.9376,9.2843,49.9698,23.951,96,1888,8543,0.4161612,0.1841584,0.3996803,0.4154386,0.4154386,99.9,58.2126,0,57,519,NA,NA,NA
2026,2,2,NYI,82,43,34,5,91,Eastern,Metropolitan,3711.3898,9.0965,48.9083,23.5087,134,2017,8209,0.4022938,0.172045,0.4256612,0.4154386,0.4154386,103.01,59.3228,4,57,457,NA,NA,NA
2026,2,26,LAK,82,35,27,20,90,Western,Pacific,3710.2629,9.071,50.4977,24.2194,90,1594,8037,0.4067906,0.1820358,0.4111736,0.4154386,0.4154386,99.09,58.2218,0,64,522,NA,NA,NA
2026,2,1,NJD,82,42,37,3,87,Eastern,Metropolitan,3772.3996,9.2637,49.4242,23.3719,61,1520,7731,0.4089296,0.1812232,0.4098472,0.4154386,0.4154386,99.2,56.9464,0,33,339,NA,NA,NA
2026,2,19,STL,82,37,33,12,86,Western,Central,3754.8905,9.2336,49.8535,23.5152,53,1569,7808,0.4103319,0.1775436,0.4121245,0.4154386,0.4154386,96.15,58.7224,0,38,387,NA,NA,NA
