season,game_type,player_id,team_abbrev,game_date,dist_all_mi,toi_all_sec,dist_even_mi,toi_even_sec,dist_pp_mi,toi_pp_sec,home
2026,2,8478402,EDM,2026-04-16,3.1022,1096,2.6103,935,0.371,116,1
2026,2,8478402,EDM,2026-04-13,4.914,1675,4.0617,1307,0.5909,269,1
2026,2,8478402,EDM,2026-04-11,4.7654,1610,4.4007,1493,0.3647,117,0
2026,2,8478402,EDM,2026-04-08,3.7607,1270,3.0271,1028,0.5957,205,0
2026,2,8478402,EDM,2026-04-07,3.8866,1325,3.2398,1115,0.5602,178,0
2026,2,8478402,EDM,2026-04-04,4.0749,1405,3.1543,1067,0.9206,338,1
2026,2,8478402,EDM,2026-04-02,3.7949,1305,2.9456,1002,0.8493,303,1
2026,2,8478402,EDM,2026-03-31,3.3742,1186,3.0034,1064,0.3283,106,1
2026,2,8478402,EDM,2026-03-28,3.8638,1349,3.0391,1032,0.8183,313,1
2026,2,8478402,EDM,2026-03-26,3.9592,1332,3.5228,1160,0.3902,160,0
2026,2,8476453,TBL,2026-04-15,3.1445,1254,2.6115,952,0.533,302,1
2026,2,8476453,TBL,2026-04-13,2.7935,989,2.6078,876,0.1856,113,1
2026,2,8476453,TBL,2026-04-11,3.2475,1221,3.009,1110,0.2384,108,0
2026,2,8476453,TBL,2026-04-09,3.5892,1392,2.6422,942,0.947,450,0
2026,2,8476453,TBL,2026-04-07,3.0563,1181,2.7725,1007,0.2838,174,0
2026,2,8476453,TBL,2026-04-06,3.6272,1410,2.4906,916,1.1366,494,0
2026,2,8476453,TBL,2026-04-04,2.5802,1018,2.341,895,0.2392,120,1
2026,2,8476453,TBL,2026-04-02,3.3175,1245,2.9146,1071,0.403,174,1
2026,2,8476453,TBL,2026-03-31,3.3285,1390,2.5933,1008,0.7352,382,1
2026,2,8476453,TBL,2026-03-26,3.0297,1131,2.8164,1013,0.2134,118,1
2026,2,8477492,COL,2026-04-14,3.2699,1268,2.597,966,0.6729,302,0
2026,2,8477492,COL,2026-04-13,4.5782,1677,3.4211,1209,1.157,468,0
2026,2,8477492,COL,2026-04-11,3.6092,1298,2.7009,953,0.8683,329,1
2026,2,8477492,COL,2026-04-09,3.7389,1343,3.4115,1206,0.3274,137,1
2026,2,8477492,COL,2026-04-07,3.7945,1268,3.6593,1215,0.1352,53,0
2026,2,8477492,COL,2026-04-05,3.603,1298,2.5326,877,0.8368,340,1
