"team_abbrev","gp_onice","cf_5v5","ca_5v5","gf_5v5","ga_5v5","pp_goals","pp_shots","pk_goals_against","pk_shots_against","xg_for","xg_against","toi_5v5_sec","toi_pp_sec","toi_pk_sec","cf_pct_5v5","gf_per60_5v5","ga_per60_5v5","pp_goals_per60","pk_ga_per60"
"NSH",82,3593,3985,146,153,41,670,47,98,164.855894673907,183.729387300496,237089,23238,25998,47.4,2.22,2.32,6.35,6.51
"SJS",82,3710,3923,168,220,40,587,43,70,179.584153895092,184.34927202051,242564,20402,24172,48.6,2.49,3.27,7.06,6.4
"NYR",89,3962,4043,191,160,60,855,45,127,184.323868897918,193.86669317534,265904,24292,22658,49.5,2.59,2.17,8.89,7.15
"TBL",88,4146,3874,190,176,74,802,58,126,196.903859125101,183.600937477604,257417,27147,25115,51.7,2.66,2.46,9.81,8.31
"LAK",88,4146,3837,180,174,74,755,72,92,191.184321608278,174.288626060938,257464,25698,26130,51.9,2.52,2.43,10.37,9.92
"VGK",104,4851,5308,251,192,54,795,58,85,229.417684494838,218.400006729469,317061,25351,22111,47.8,2.85,2.18,7.67,9.44
"WSH",82,3839,3873,173,182,47,656,40,98,176.332456304983,180.215359907714,242820,22023,21051,49.8,2.56,2.7,7.68,6.84
"BOS",89,4050,3849,212,129,72,876,41,157,194.989306965377,166.812206010276,254354,27566,28002,51.3,3,1.83,9.4,5.27
"CAR",97,5348,3670,205,166,57,938,46,150,233.673515891598,170.022000788071,289748,29420,27018,59.3,2.55,2.06,6.97,6.13
"CBJ",82,3589,4401,143,231,41,604,58,108,162.064986822486,207.402770267567,244831,20966,20759,44.9,2.1,3.4,7.04,10.06
"MTL",82,3359,4022,162,200,37,547,72,102,150.934454893868,194.376261632133,240815,21545,25276,45.5,2.42,2.99,6.18,10.25
"TOR",93,4308,4212,206,167,72,793,50,127,219.4353696662,185.813353220408,275658,26050,26249,50.6,2.69,2.18,9.95,6.86
"COL",89,4312,3954,186,159,66,793,55,92,191.437498294399,171.024363316188,262633,25320,23033,52.2,2.55,2.18,9.38,8.6
"CHI",82,3223,4120,135,208,36,575,55,85,143.193426463986,197.175486955472,244638,21778,21019,43.9,1.99,3.06,5.95,9.42
"ANA",82,3300,4433,143,224,36,660,77,92,148.293091373809,223.792563979689,242616,21296,24335,42.7,2.12,3.32,6.09,11.39
"SEA",96,4523,4162,242,192,52,734,59,88,200.017042761785,190.38462662301,286508,25303,24871,52.1,3.04,2.41,7.4,8.54
"EDM",94,4408,3992,215,194,106,881,71,152,229.923516961571,194.687457415217,274939,25781,29022,52.5,2.82,2.54,14.8,8.81
"VAN",82,3378,3715,169,192,59,788,65,73,156.16671141301,177.155763134127,240700,24689,21087,47.6,2.53,2.87,8.6,11.1
"PIT",82,4115,3777,168,172,63,794,54,95,195.618947806361,175.842235238582,238816,25233,23298,52.1,2.53,2.59,8.99,8.34
"ARI",82,3150,3831,151,180,45,527,81,82,147.912553875009,182.892781035043,235810,21222,30421,45.1,2.31,2.75,7.63,9.59
"PHI",82,3602,3998,152,174,34,531,56,109,158.05506856693,177.780233106168,243502,20175,21989,47.4,2.25,2.57,6.07,9.17
"NJD",94,4873,4204,214,182,53,705,46,104,235.067240737029,186.240672129963,281549,23745,24779,53.7,2.74,2.33,8.04,6.68
"BUF",82,3801,3600,197,204,62,656,58,110,190.55740353599,194.428005894704,243330,23459,20607,51.4,2.91,3.02,9.51,10.13
"OTT",82,3815,3588,151,177,70,896,58,135,171.365644945647,166.25610994728,229680,28300,27523,51.5,2.37,2.77,8.9,7.59
"NYI",88,4207,4289,187,155,35,676,44,82,188.187434764463,192.744572472351,261783,24400,22050,49.5,2.57,2.13,5.16,7.18
"FLA",103,5269,4639,232,202,72,1051,86,173,243.109732905141,224.914312849753,300761,31054,32363,53.2,2.78,2.42,8.35,9.57
"DAL",101,4848,4533,212,191,80,936,48,119,216.877273425926,195.182427981315,300115,28201,27701,51.7,2.54,2.29,10.21,6.24
"MIN",88,3956,4044,153,148,57,784,54,121,170.748353535484,170.397568470798,257181,24397,25479,49.5,2.14,2.07,8.41,7.63
"CGY",82,4348,3228,182,169,50,759,47,181,193.330818019283,158.733402146841,239252,23687,24726,57.4,2.74,2.54,7.6,6.84
"DET",82,3237,3795,146,183,56,712,54,91,143.433938555478,167.530371204077,237747,24363,22533,46,2.21,2.77,8.27,8.63
"WPG",87,4033,3795,164,162,52,777,45,86,186.273266743694,173.833981482545,253396,26385,23729,51.5,2.33,2.3,7.09,6.83
"STL",82,3357,3962,180,188,46,573,56,82,160.636562101892,190.03159005288,245189,22122,19504,45.9,2.64,2.76,7.49,10.34
