"player_id","season","shot_vol_off_per60","shot_vol_def_per60"
"8468485",2012,2.1606,4.3721
"8468486",2012,5.9087,-0.8425
"8468493",2012,-0.2904,-2.7848
"8468498",2012,1.6237,-2.6431
"8468499",2012,3.9962,1.6615
"8468501",2012,-2.5491,4.9067
"8468504",2012,1.2328,-1.8737
"8468505",2012,5.9089,0.5862
"8468508",2012,9.6471,2.3814
"8468509",2012,-1.583,2.1424
"8468510",2012,-0.5165,-5.8657
"8468513",2012,-4.4634,-3.841
"8468515",2012,-0.8026,2.0391
"8468518",2012,-0.8437,-0.1612
"8468520",2012,-0.2631,-4.6965
"8468526",2012,0.0799,2.9273
"8468534",2012,-4.5984,-3.5089
"8468535",2012,2.3451,-0.4086
"8468542",2012,5.1837,-2.587
"8468575",2012,-0.9397,-1.3686
"8468584",2012,-0.4651,0.5274
"8468598",2012,1.496,1.7158
"8468611",2012,-2.931,0.6209
"8468635",2012,-3.3532,-2.1315
"8468636",2012,-0.582,2.1531
"8468639",2012,-0.709,1.1293
"8468660",2012,-4.1333,4.1503
"8468674",2012,-1.2113,-3.2141
"8468695",2012,-0.8015,-2.1602
"8468700",2012,-4.8983,-5.5389
"8468704",2012,2.5764,1.7422
"8468778",2012,-0.6976,-3.4209
"8468789",2012,0.2692,-2.4415
"8468881",2012,1.2997,0.1858
"8468887",2012,-0.6018,-4.6042
"8468927",2012,2.2882,3.9865
"8469120",2012,-0.8355,-1.1512
"8469454",2012,1.3181,3.0364
"8469455",2012,5.9275,1.0189
"8469457",2012,-2.4223,-3.8604
"8469459",2012,-3.8003,-2.6923
"8469460",2012,-4.8169,0.172
"8469462",2012,0.6808,-4.1136
"8469465",2012,-0.0362,1.0604
"8469466",2012,3.6987,0.0544
"8469467",2012,-2.4325,-0.2991
"8469469",2012,-0.5029,-2.1144
"8469470",2012,-0.4393,0.3232
"8469473",2012,1.1534,-0.7295
"8469474",2012,-3.2809,0.942
"8469476",2012,0.2559,-2.3558
"8469480",2012,1.2539,3.5694
"8469483",2012,2.9943,-1.3008
"8469485",2012,1.2926,0.6339
"8469490",2012,0.1834,3.072
"8469492",2012,1.2372,4.3814
"8469500",2012,-1.3633,0.203
