"team_abbrev","season","team_pp_effect_raw","team_pk_effect_raw"
"NYI",2011,0.00299677254391099,7.00331876942952e-05
"BUF",2011,-0.000134805199590326,0.00310585436334143
"TBL",2011,-0.000421733309796556,0.00318411056872553
"NYR",2011,0.00356520025554995,-0.00197338403107908
"PHI",2011,0.00186639263859021,-0.000331350512357068
"ANA",2011,0.00111659569176227,0.00037336369020801
"WSH",2011,0.00120556008720568,0.000219819732085282
"CBJ",2011,0.000274733600234135,0.000239535419513754
"FLA",2011,0.000147771892629468,0.000309194944335177
"SJS",2011,0.00144081775974158,-0.00111882499791766
"PHX",2011,0.000435352055643955,-0.000251416178642362
"MIN",2011,-0.000803191588899344,0.000920262120187414
"DET",2011,-0.000306131801682765,0.000310652334247032
"NSH",2011,0.000689573996691901,-0.00074245910818368
"CHI",2011,0.00022645813379562,-0.000360882718816772
"PIT",2011,-0.00159013186992589,0.00143036039419581
"CGY",2011,-0.000770759903268949,0.000603363708809136
"EDM",2011,0.000487725131096134,-0.000730968920532597
"STL",2011,0.000141563813339406,-0.000439706518484369
"DAL",2011,-0.000124973191185804,-0.0002270196550045
"NJD",2011,0.000225733633259807,-0.000611396306734456
"COL",2011,0.000142262506139582,-0.000626210452856458
"MTL",2011,-0.000843228944807401,0.000113359789164944
"BOS",2011,-0.00155161727675411,0.000706858177561399
"CAR",2011,-0.00036456768711987,-0.000778773286584658
"TOR",2011,-0.00118688605118992,-0.000113234989370599
"OTT",2011,-0.00113604939992774,-0.000312976436542061
"LAK",2011,-0.00335860257228174,0.00154971851989607
"ATL",2011,-0.000790599083138598,-0.00253487688035449
"VAN",2011,-0.00159333519328095,-0.00197701105272503
