season,game_type,player_id,player_name,last_name,team_abbrev,shoots_catches,gp,gs,wins,losses,ot_losses,ties,goals_against,gaa,saves,shots_against,sv_pct,shutouts,toi_sec,goals,assists,points,pim
2013,2,8468685,Henrik Lundqvist,Lundqvist,NYR,L,43,43,24,16,3,NA,88,2.04976,1102,1190,0.92605,2,154554,0,1,1,0
2013,2,8473404,Niklas Backstrom,Backstrom,MIN,L,42,41,24,15,3,NA,98,2.48296,974,1072,0.90858,2,142088,0,0,0,2
2013,2,8474550,Antti Niemi,Niemi,SJS,L,43,43,24,12,6,NA,93,2.16214,1127,1220,0.92377,4,154846,0,1,1,2
2013,2,8460705,Evgeni Nabokov,Nabokov,NYI,L,41,41,23,11,7,NA,103,2.49656,1036,1139,0.90956,3,148524,0,4,4,6
2013,2,8470594,Marc-Andre Fleury,Fleury,PIT,L,33,31,23,8,0,NA,74,2.38998,807,881,0.916,1,111465,0,2,2,2
2013,2,8474651,Braden Holtby,Holtby,WSH,L,36,35,23,12,1,NA,90,2.58468,1033,1123,0.91985,4,125354,0,2,2,2
2013,2,8470657,Jimmy Howard,Howard,DET,L,42,42,21,13,7,NA,87,2.13432,1042,1129,0.92294,5,146744,0,1,1,0
2013,2,8471679,Carey Price,Price,MTL,L,39,38,21,13,4,NA,97,2.5876,921,1018,0.90471,3,134951,0,0,0,0
2013,2,8471715,Ondrej Pavelec,Pavelec,WPG,L,44,43,21,20,3,NA,119,2.79702,1132,1251,0.90487,0,153163,0,0,0,2
2013,2,8475683,Sergei Bobrovsky,Bobrovsky,CBJ,L,38,37,21,11,6,NA,74,2.00094,1010,1084,0.93173,4,133137,0,0,0,0
2013,2,8468524,Ilya Bryzgalov,Bryzgalov,PHI,L,40,40,19,17,3,NA,107,2.79403,959,1066,0.89962,1,137865,0,3,3,0
2013,2,8470645,Corey Crawford,Crawford,CHI,L,30,28,19,5,5,NA,57,1.94261,712,769,0.92587,3,105631,0,0,0,4
2013,2,8471695,Tuukka Rask,Rask,BOS,L,36,34,19,10,5,NA,70,1.99556,910,980,0.92857,5,126280,0,1,1,0
2013,2,8473503,James Reimer,Reimer,TOR,L,33,31,19,8,5,NA,76,2.45669,919,995,0.92361,4,111369,0,1,1,0
2013,2,8471734,Jonathan Quick,Quick,LAK,L,37,36,18,13,4,NA,87,2.44645,802,889,0.90213,1,128022,0,0,0,2
2013,2,8468011,Ryan Miller,Miller,BUF,L,40,39,17,17,5,NA,108,2.81465,1162,1270,0.91496,0,138134,0,0,0,2
2013,2,8469548,Ray Emery,Emery,CHI,L,21,19,17,1,0,NA,36,1.93548,424,460,0.92173,3,66960,0,0,0,0
2013,2,8471239,Cory Schneider,Schneider,VAN,L,30,30,17,9,4,NA,61,2.11155,774,835,0.92694,5,103999,0,1,1,0
2013,2,8469608,Mike Smith,Smith,PHX,L,34,34,15,12,5,NA,84,2.57728,854,938,0.91044,5,117333,0,0,0,0
2013,2,8470140,Kari Lehtonen,Lehtonen,DAL,L,36,35,15,14,3,NA,88,2.65836,962,1050,0.91619,1,119171,0,2,2,0
2013,2,8471469,Pekka Rinne,Rinne,NSH,L,43,42,15,16,8,NA,99,2.43067,1002,1101,0.91008,5,146626,0,1,1,8
2013,2,8473972,Jonas Hiller,Hiller,ANA,R,26,25,15,6,4,NA,59,2.36265,616,675,0.91259,1,89899,0,1,1,2
2013,2,8476839,Viktor Fasth,Fasth,ANA,L,25,23,15,6,2,NA,52,2.18441,609,661,0.92133,4,85698,0,0,0,0
2013,2,8470880,Brian Elliott,Elliott,STL,L,24,20,14,8,1,NA,49,2.27565,477,526,0.90684,3,77516,0,0,0,0
2013,2,8471227,Devan Dubnyk,Dubnyk,EDM,L,38,37,14,16,6,NA,90,2.57026,1042,1132,0.92049,2,126057,0,0,0,0
2013,2,8455710,Martin Brodeur,Brodeur,NJD,L,29,29,13,9,7,NA,65,2.21925,589,654,0.90061,2,105441,1,2,3,0
2013,2,8460712,Tomas Vokoun,Vokoun,PIT,R,20,17,13,4,0,NA,42,2.45009,477,519,0.91907,3,61712,0,2,2,2
2013,2,8467950,Craig Anderson,Anderson,OTT,L,24,24,12,9,2,NA,40,1.68942,637,677,0.94091,3,85236,0,0,0,0
2013,2,8471750,Ben Bishop,Bishop,"OTT,TBL",L,22,21,11,9,1,NA,56,2.66532,645,701,0.92011,2,75638,0,0,0,2
2013,2,8473575,Semyon Varlamov,Varlamov,COL,L,35,33,11,21,3,NA,98,3.01592,909,1007,0.90268,3,116979,0,1,1,0
2013,2,8474765,Anders Lindback,Lindback,TBL,L,24,21,10,10,1,NA,63,2.89836,579,642,0.90186,0,78251,0,1,1,0
2013,2,8466141,Roberto Luongo,Luongo,VAN,L,20,18,9,6,3,NA,51,2.55656,500,551,0.90744,2,71815,0,0,0,0
2013,2,8470320,Cam Ward,Ward,CAR,L,17,16,9,6,1,NA,44,2.84038,433,477,0.90775,0,55767,0,0,0,0
2013,2,8471418,Anton Khudobin,Khudobin,BOS,L,14,14,9,4,1,NA,31,2.31631,357,388,0.9201,1,48180,0,0,0,4
2013,2,8473541,Jonathan Bernier,Bernier,LAK,L,14,12,9,3,1,NA,24,1.87414,282,306,0.92156,1,46101,0,1,1,0
2013,2,8474596,Jake Allen,Allen,STL,L,15,13,9,4,0,NA,33,2.46304,313,346,0.90462,1,48233,0,0,0,0
2013,2,8462147,Miikka Kiprusoff,Kiprusoff,CGY,L,24,24,8,14,2,NA,77,3.43728,573,650,0.88153,0,80645,0,1,1,0
2013,2,8469514,Peter Budaj,Budaj,MTL,L,13,10,8,1,1,NA,25,2.2849,248,273,0.90842,1,39389,0,0,0,0
2013,2,8469732,Joey MacDonald,MacDonald,CGY,L,21,17,8,9,1,NA,55,2.87339,507,562,0.90213,0,68908,0,0,0,0
2013,2,8474593,Jacob Markstrom,Markstrom,FLA,L,23,23,8,14,1,NA,68,3.22338,617,685,0.90072,0,75945,0,0,0,0
2013,2,8473461,Steve Mason,Mason,"CBJ,PHI",R,20,17,7,8,1,NA,47,2.58679,514,561,0.91622,0,65409,0,1,1,0
2013,2,8475681,Ben Scrivens,Scrivens,TOR,L,20,17,7,9,0,NA,46,2.69307,496,542,0.91512,2,61491,0,0,0,6
2013,2,8460704,Johan Hedberg,Hedberg,NJD,L,19,19,6,10,3,NA,51,2.76106,384,435,0.88275,1,66496,0,1,1,4
2013,2,8468540,Dan Ellis,Ellis,CAR,L,19,16,6,8,2,NA,52,3.12917,503,555,0.9063,1,59824,0,2,2,0
2013,2,8470860,Jaroslav Halak,Halak,STL,L,16,15,6,5,1,NA,29,2.14131,257,286,0.8986,3,48755,0,1,1,0
2013,2,8473614,Richard Bachman,Bachman,DAL,L,13,8,6,5,0,NA,33,3.25212,255,288,0.88541,0,36530,0,0,0,0
2013,2,8462044,Jean-Sebastien Giguere,Giguere,COL,L,18,14,5,4,4,NA,43,2.84193,426,469,0.90831,0,54470,0,0,0,4
2013,2,8464999,Mathieu Garon,Garon,TBL,R,18,16,5,9,2,NA,44,2.90088,383,427,0.89695,0,54604,0,0,0,0
2013,2,8475215,Robin Lehner,Lehner,OTT,L,12,12,5,3,4,NA,27,2.20468,397,424,0.93632,0,44088,0,0,0,0
2013,2,8459140,Nikolai Khabibulin,Khabibulin,EDM,L,12,11,4,6,1,NA,29,2.54528,347,376,0.92287,1,41017,0,0,0,0
2013,2,8460535,Jose Theodore,Theodore,FLA,R,15,14,4,6,3,NA,42,3.28781,349,391,0.89258,0,45988,0,0,0,2
2013,2,8467391,Jason LaBarbera,LaBarbera,PHX,L,15,10,4,6,2,NA,32,2.64493,386,418,0.92344,0,43555,0,0,0,0
2013,2,8471251,Justin Peters,Peters,CAR,L,19,16,4,11,1,NA,55,3.45766,451,506,0.8913,1,57264,0,0,0,0
2013,2,8473523,Jhonas Enroth,Enroth,BUF,L,12,9,4,4,1,NA,27,2.59851,305,332,0.91867,1,37406,0,0,0,0
2013,2,8473607,Michal Neuvirth,Neuvirth,WSH,L,13,12,4,5,2,NA,33,2.73808,334,367,0.91008,0,43388,0,0,0,0
2013,2,8466339,Scott Clemmensen,Clemmensen,FLA,L,19,11,3,7,2,NA,53,3.67028,368,421,0.8741,0,51985,0,0,0,0
2013,2,8471219,Al Montoya,Montoya,WPG,L,7,5,3,1,0,NA,17,2.90308,151,168,0.8988,1,21081,0,0,0,0
2013,2,8462047,Martin Biron,Biron,NYR,L,6,5,2,2,1,NA,13,2.3235,143,156,0.91666,0,20142,0,0,0,0
2013,2,8473414,Leland Irving,Irving,CGY,L,6,5,2,1,1,NA,15,3.33251,113,128,0.88281,0,16204,0,1,1,0
2013,2,8473434,Chad Johnson,Johnson,PHX,L,4,4,2,0,2,NA,5,1.21646,103,108,0.9537,1,14797,0,0,0,0
2013,2,8475361,Jonas Gustavsson,Gustavsson,DET,L,7,4,2,2,1,NA,17,2.92054,123,140,0.87857,0,20955,0,1,1,2
2013,2,8462152,Chris Mason,Mason,NSH,L,11,6,1,7,1,NA,29,3.72803,200,229,0.87336,0,28004,0,0,0,0
2013,2,8470216,Josh Harding,Harding,MIN,R,5,3,1,1,0,NA,10,3.24178,63,73,0.86301,1,11105,0,0,0,0
2013,2,8471186,Yann Danis,Danis,EDM,L,3,0,1,0,0,NA,7,3.80952,52,59,0.88135,0,6615,0,0,0,0
2013,2,8471306,Thomas Greiss,Greiss,SJS,L,6,5,1,4,0,NA,13,2.53082,140,153,0.91503,1,18492,0,0,0,0
