season,game_type,team_id,team_full,gp,hits,hits_per60,blocked_shots,blocked_shots_per60,takeaways,takeaways_per60,giveaways,giveaways_per60,missed_shots,total_shot_attempts,shot_attempts_blocked,corsi_pct,empty_net_goals,toi_per_game_5v5
2011,2,3,New York Rangers,82,2333,28.0404,1301,15.6348,604,7.2576,418,5.022,940,4472,1079,0.490265,7,2801.2317
2011,2,29,Columbus Blue Jackets,82,2315,27.7128,1114,13.3344,521,6.2352,357,4.2732,954,4613,1153,0.508664,9,2737.59756
2011,2,5,Pittsburgh Penguins,82,2280,27.27,1082,12.942,444,5.31,470,5.6196,971,4840,1288,0.527564,10,2670.79268
2011,2,25,Dallas Stars,82,2212,26.532,1204,14.4396,638,7.65,664,7.9632,1064,4440,1107,0.480894,5,2772.34146
2011,2,12,Carolina Hurricanes,82,2128,25.5528,1203,14.4432,703,8.4384,554,6.6492000000000004,1045,4935,1373,0.490049,5,2732.06097
2011,2,26,Los Angeles Kings,82,2127,25.5528,1032,12.3984,451,5.418,793,9.5256,1081,4653,1209,0.516453,7,2774.69512
2011,2,10,Toronto Maple Leafs,82,2048,24.5988,1323,15.8904,584,7.0128,835,10.0296,1007,4720,1353,0.477531,3,2745.9756
2011,2,19,St. Louis Blues,82,1958,23.5512,1099,13.2192,477,5.7348,374,4.4964,1043,4675,1157,0.522257,8,2816.15853
2011,2,24,Anaheim Ducks,82,1936,23.2632,1248,14.9976,446,5.3568,613,7.3656,885,4093,874,0.442911,4,2772.82926
2011,2,4,Philadelphia Flyers,82,1905,22.9104,1317,15.84,568,6.8292,600,7.2144,951,4764,1208,0.492514,11,2727.93902
2011,2,13,Florida Panthers,82,1895,22.7196,1125,13.4856,563,6.75,436,5.2272,948,4609,1168,0.503099,3,2827.56097
2011,2,15,Washington Capitals,82,1885,22.572,1257,15.0516,657,7.866,654,7.83,991,4870,1313,0.512378,12,2790.58536
2011,2,27,Phoenix Coyotes,82,1881,22.59,1056,12.6828,472,5.6664,518,6.2208,1032,4658,1140,0.503381,14,2799.32926
2011,2,30,Minnesota Wild,82,1865,22.446,1129,13.5864,536,6.4476,566,6.8112,863,4008,997,0.452456,8,2777.4878
2011,2,16,Chicago Blackhawks,82,1823,21.8736,1144,13.7268,763,9.1548,589,7.0668,928,4728,1163,0.527805,10,2873.52439
2011,2,2,New York Islanders,82,1808,21.636,1387,16.5996,876,10.4832,691,8.2692,901,4512,1203,0.461316,7,2733.90243
2011,2,28,San Jose Sharks,82,1800,21.6036,1141,13.6944,680,8.1612,789,9.468,1095,5250,1323,0.536273,9,2824.17073
2011,2,17,Detroit Red Wings,82,1794,21.5064,917,10.9908,569,6.8184,690,8.2692,1115,5002,1130,0.532215,7,2788.07317
2011,2,22,Edmonton Oilers,82,1794,21.5712,1219,14.6556,621,7.4664,896,10.7712,840,4179,1151,0.463572,7,2736.4878
2011,2,23,Vancouver Canucks,82,1791,21.5568,1071,12.888,595,7.1604,508,6.1128,1022,4901,1255,0.522347,11,2777.95121
2011,2,6,Boston Bruins,82,1736,20.9124,1172,14.1192,424,5.1048,522,6.2856,948,4923,1279,0.506729,12,2847.45121
2011,2,21,Colorado Avalanche,82,1726,20.7504,1176,14.1372,684,8.2224,515,6.1884,851,4254,1009,0.473161,3,2787.57317
2011,2,18,Nashville Predators,82,1684,20.2284,1007,12.096,716,8.6004,679,8.154,840,4279,1078,0.491403,12,2832.09756
2011,2,20,Calgary Flames,82,1664,19.89,1209,14.4504,578,6.9084,753,9,1047,4741,1193,0.517107,6,2797.63414
2011,2,9,Ottawa Senators,82,1658,20.0052,1115,13.4532,642,7.7472,704,8.4924,892,4380,1107,0.498548,7,2813.59756
2011,2,8,Montréal Canadiens,82,1658,19.998,1272,15.3432,518,6.246,648,7.8156,1012,4849,1235,0.516231,4,2720.40243
2011,2,14,Tampa Bay Lightning,82,1647,19.71,1249,14.9472,573,6.8544,627,7.5024,988,4736,1143,0.518712,9,2723.37804
2011,2,1,New Jersey Devils,82,1539,18.5544,875,10.548,513,6.1848,647,7.8012,835,4149,970,0.522231,9,2881.07317
2011,2,11,Atlanta Thrashers,82,1512,18.0972,1292,15.462,825,9.8712,582,6.966,951,4656,1124,0.486945,2,2837.31707
2011,2,7,Buffalo Sabres,82,1505,18.0612,1168,14.0184,564,6.768,659,7.9092,877,4689,1122,0.504205,6,2802.64634
