season,game_type,team_id,team_full,gp,wins,losses,ot_losses,ties,points,point_pct,wins_regulation,wins_regulation_ot,wins_shootout,goals_for,goals_against,gf_per_game,ga_per_game,shots_for_per_game,shots_against_per_game,pp_pct,pp_net_pct,pk_pct,pk_net_pct,fo_win_pct,shutouts
2019,2,14,Tampa Bay Lightning,82,62,16,4,NA,128,0.78048,49,56,6,319,221,3.89024,2.69512,31.95121,32.10975,0.282442,0.270992,0.850188,0.895131,0.512091,6
2019,2,20,Calgary Flames,82,50,25,7,NA,107,0.65243,45,50,0,289,223,3.52439,2.71951,32.39024,28.07317,0.192727,0.167272,0.796748,0.869918,0.523659,3
2019,2,6,Boston Bruins,82,49,24,9,NA,107,0.65243,38,47,2,257,212,3.13414,2.58536,32.68292,29.46341,0.258964,0.199203,0.799181,0.827868,0.507231,9
2019,2,15,Washington Capitals,82,48,26,8,NA,104,0.63414,39,44,4,274,248,3.34146,3.02439,30.39024,31.51219,0.207627,0.18644,0.789273,0.808429,0.457336,4
2019,2,2,New York Islanders,82,48,27,7,NA,103,0.62804,37,43,5,223,191,2.71951,2.32926,28.78048,30.90243,0.145374,0.140969,0.799087,0.826484,0.474424,11
2019,2,28,San Jose Sharks,82,46,27,9,NA,101,0.61585,38,46,0,289,258,3.52439,3.14634,33.02439,28.32926,0.236514,0.19917,0.807693,0.846153,0.503176,5
2019,2,5,Pittsburgh Penguins,82,44,26,12,NA,100,0.60975,37,42,2,271,238,3.30487,2.90243,33.30487,33.28048,0.245614,0.179824,0.797298,0.851351,0.505704,7
2019,2,10,Toronto Maple Leafs,82,46,28,8,NA,100,0.60975,40,46,0,286,249,3.4878,3.03658,33.36585,33.13414,0.218009,0.175355,0.79902,0.823529,0.530147,3
2019,2,18,Nashville Predators,82,47,29,6,NA,100,0.60975,38,43,4,236,212,2.87804,2.58536,32.65853,29.9878,0.129411,0.098039,0.820718,0.852589,0.51544,7
2019,2,52,Winnipeg Jets,82,47,30,5,NA,99,0.60365,38,45,2,270,243,3.29268,2.96341,31.18292,33.42682,0.248,0.22,0.792,0.832,0.506995,3
2019,2,19,St. Louis Blues,82,45,28,9,NA,99,0.60365,36,42,3,244,220,2.9756,2.68292,31.75609,28.59756,0.21097,0.181434,0.814656,0.836206,0.51395,9
2019,2,12,Carolina Hurricanes,82,46,29,7,NA,99,0.60365,39,44,2,243,221,2.96341,2.69512,34.41463,28.57317,0.178137,0.145748,0.8159,0.849372,0.490338,6
2019,2,29,Columbus Blue Jackets,82,47,31,4,NA,98,0.59756,37,45,2,256,231,3.12195,2.81707,31.60975,29.4878,0.153846,0.126696,0.85,0.89,0.502477,9
2019,2,8,Montréal Canadiens,82,44,30,8,NA,96,0.58536,37,41,3,246,236,3,2.87804,34.09756,31.07317,0.132478,0.115384,0.809129,0.829875,0.49412,4
2019,2,25,Dallas Stars,82,43,32,7,NA,93,0.56707,36,42,1,209,200,2.54878,2.43902,30.71951,31.59756,0.21028,0.200934,0.827732,0.844537,0.518769,10
2019,2,54,Vegas Golden Knights,82,43,32,7,NA,93,0.56707,36,40,3,246,228,3,2.78048,34.31707,29.25609,0.168103,0.159482,0.808696,0.856521,0.50396,9
2019,2,21,Colorado Avalanche,82,38,30,14,NA,90,0.54878,33,36,2,258,244,3.14634,2.9756,32.63414,31.93902,0.220279,0.202797,0.786765,0.819852,0.48123,5
2019,2,53,Arizona Coyotes,82,39,35,8,NA,86,0.52439,30,35,4,209,220,2.54878,2.68292,30.7439,30.81707,0.16279,0.127906,0.849558,0.920353,0.478829,6
2019,2,13,Florida Panthers,82,36,32,14,NA,86,0.52439,26,33,3,264,273,3.21951,3.32926,32.9878,30.68292,0.267657,0.21933,0.813044,0.826086,0.498225,1
2019,2,16,Chicago Blackhawks,82,36,34,12,NA,84,0.51219,24,33,3,267,291,3.25609,3.54878,32.54878,34.78048,0.20168,0.172268,0.727273,0.753246,0.494957,2
2019,2,30,Minnesota Wild,82,37,36,9,NA,83,0.50609,33,36,1,210,233,2.56097,2.84146,31.30487,29.5,0.203319,0.186721,0.816667,0.8375,0.493735,2
2019,2,4,Philadelphia Flyers,82,37,37,8,NA,82,0.5,28,34,3,241,280,2.93902,3.41463,31.5,32.5,0.17094,0.123931,0.784811,0.801687,0.547322,3
2019,2,23,Vancouver Canucks,82,35,36,11,NA,81,0.4939,22,29,6,219,248,2.67073,3.02439,29.67073,31.67073,0.171314,0.139442,0.811024,0.838582,0.494955,1
2019,2,24,Anaheim Ducks,82,35,37,10,NA,80,0.4878,27,32,3,196,248,2.39024,3.02439,27.69512,33.2317,0.169811,0.122641,0.797048,0.815498,0.513403,4
2019,2,22,Edmonton Oilers,82,35,38,9,NA,79,0.4817,24,32,3,229,271,2.79268,3.30487,29.17073,31.69512,0.211711,0.18018,0.747968,0.788617,0.483783,5
2019,2,3,New York Rangers,82,32,36,14,NA,78,0.4756,23,26,6,221,267,2.69512,3.25609,29.18292,33.82926,0.193832,0.176211,0.781955,0.80827,0.469225,2
2019,2,7,Buffalo Sabres,82,33,39,10,NA,76,0.46341,21,28,5,221,268,2.69512,3.26829,32.89024,32.9756,0.194915,0.156779,0.809303,0.823255,0.479064,2
2019,2,17,Detroit Red Wings,82,32,40,10,NA,74,0.45121,20,29,3,224,272,2.7317,3.31707,29.19512,33.67073,0.180555,0.148148,0.771429,0.8,0.50771,2
2019,2,1,New Jersey Devils,82,31,41,10,NA,72,0.43902,24,28,3,219,271,2.67073,3.30487,30.34146,31.60975,0.177165,0.137795,0.843138,0.882352,0.493469,6
2019,2,26,Los Angeles Kings,82,31,42,9,NA,71,0.43292,22,28,3,199,259,2.42682,3.15853,28.75609,31.43902,0.158371,0.099547,0.765218,0.782608,0.504606,5
2019,2,9,Ottawa Senators,82,29,47,6,NA,64,0.39024,23,29,0,242,301,2.95121,3.67073,29.62195,35.7439,0.203539,0.168141,0.791667,0.810185,0.495742,4
