"player_id","season","shot_vol_off_per60","shot_vol_def_per60"
"8470613",2026,6.6994,-4.3298
"8470621",2026,0.4563,-0.8661
"8471214",2026,3.3872,1.4437
"8471215",2026,-0.2651,3.7099
"8471675",2026,1.4682,-1.3845
"8471685",2026,-2.1235,0.6585
"8471724",2026,-0.9419,-1.3657
"8471817",2026,-3.0562,0.663
"8473419",2026,1.2984,-5.3706
"8473422",2026,-2.5229,1.9145
"8473507",2026,4.2395,2.2215
"8473512",2026,0.2825,4.3576
"8473533",2026,1.8543,1.3412
"8473604",2026,-0.5383,2.378
"8473986",2026,2.5519,3.7755
"8473994",2026,-0.0595,-1.9766
"8474013",2026,-1.9926,0.3219
"8474037",2026,0.2744,-0.3745
"8474090",2026,-1.6913,0.3089
"8474102",2026,-2.5008,5.3781
"8474141",2026,1.6544,0.5528
"8474149",2026,-1.9346,-3.0295
"8474150",2026,1.751,0.1104
"8474151",2026,0.188,-1.3275
"8474189",2026,-3.2543,-1.6799
"8474563",2026,3.2772,3.0468
"8474564",2026,2.2272,2.3405
"8474567",2026,-0.1553,-0.5238
"8474568",2026,-0.8073,1.0341
"8474574",2026,-0.2552,-3.3808
"8474578",2026,5.5153,2.3891
"8474586",2026,1.2749,2.5248
"8474590",2026,5.5824,5.7307
"8474600",2026,-0.8268,-3.5276
"8474612",2026,0.1354,-0.7352
"8474641",2026,0.3512,1.0352
"8474679",2026,-1.3005,-1.7613
"8474716",2026,0.0497,0.4526
"8475149",2026,2.161,1.2034
"8475151",2026,0.3068,0.7577
"8475158",2026,-2.3719,1.4244
"8475166",2026,2.0587,0.2014
"8475167",2026,-0.8578,-2.3753
"8475168",2026,-4.6068,-2.2019
"8475169",2026,3.3789,-2.7425
"8475170",2026,-3.1291,-1.6172
"8475171",2026,-1.5715,1.1508
"8475172",2026,3.6822,2.3624
"8475179",2026,-0.511,1.0928
"8475181",2026,-2.0771,0.5722
"8475184",2026,2.2994,3.838
"8475188",2026,-1.466,2.6009
"8475191",2026,2.154,1.4879
"8475200",2026,6.0522,3.3069
"8475208",2026,-0.1733,-1.4389
"8475218",2026,3.8478,4.2003
"8475220",2026,-0.5107,1.272
"8475231",2026,4.1272,1.9987
"8475235",2026,-2.546,1.0162
"8475253",2026,-1.4781,0.4288
"8475279",2026,-1.6822,-4.7761
"8475287",2026,4.4352,-4.0542
"8475314",2026,6.8164,-0.2893
"8475324",2026,-4.3793,-1.0797
"8475343",2026,-0.8729,0.5717
"8475455",2026,-2.0376,-0.4492
"8475461",2026,-1.0386,-0.4869
"8475462",2026,1.6625,-3.719
"8475690",2026,-1.1814,-0.9816
"8475692",2026,-1.1271,-0.2784
"8475714",2026,-2.6019,1.0713
"8475718",2026,-0.1715,1.8016
"8475722",2026,-1.1678,1.5426
"8475726",2026,-0.0979,-3.5842
"8475745",2026,0.0374,-0.9964
"8475752",2026,-0.6652,-1.9953
"8475753",2026,-1.6781,-3.4575
"8475754",2026,5.2339,1.1573
"8475755",2026,-2.4187,-3.7456
"8475760",2026,-0.7123,-2.1579
"8475762",2026,-2.0093,0.4969
"8475763",2026,-0.0999,3.6091
"8475764",2026,3.8938,-2.8331
"8475765",2026,-0.2513,-8.2772
"8475768",2026,-1.3869,-1.431
"8475784",2026,-1.1997,-4.6221
"8475786",2026,1.8138,-4.3738
"8475790",2026,-7.04,-6.7704
"8475791",2026,4.8564,1.0385
