season,game_type,player_id,first_name,last_name,position,team_abbrev,gp,goals,assists,points,top_shot_speed_mph,avg_shot_speed_mph,shot_attempts_over100,shot_attempts_90_100,shot_attempts_80_90,shot_attempts_70_80,max_skate_speed_mph,bursts_over22,bursts_20_22,bursts_18_20,dist_total_mi,dist_per60_mi,dist_max_game_mi,oz_pct,nz_pct,dz_pct,oz_league_avg,dz_league_avg,oz_starts_pct,nz_starts_pct,dz_starts_pct
2022,2,8475287,Erik,Haula,L,BOS,78,18,26,44,88.11,51.8232,0,0,15,40,23.456,5,130,578,197.5769,10.0695,3.1549,0.41435092,0.18445647,0.40119261,0.42152359,0.39747855,0.4005,0.2934,0.3061
2022,2,8475745,Charlie,Coyle,C,BOS,82,16,28,44,94.76,48.6819,0,1,9,44,21.792,0,69,480,230.875,9.7044,3.5728,0.41519656,0.18558993,0.39921352,0.42152359,0.39747855,0.3351,0.3519,0.313
2022,2,8475799,Nino,Niederreiter,R,CAR,75,24,20,44,94.58,50.1102,0,1,21,45,21.976,0,43,388,175.9823,9.4871,3.0269,0.47725202,0.18888788,0.3338601,0.42152359,0.39747855,0.3581,0.3286,0.3133
2022,2,8476432,Boone,Jenner,C,CBJ,59,23,21,44,95.94,48.4386,0,5,26,31,21.565,0,65,382,182.0677,9.0475,3.5993,0.40828209,0.17660313,0.41511478,0.42152359,0.39747855,0.3042,0.3146,0.3812
2022,2,8477346,MacKenzie,Weegar,D,FLA,80,8,36,44,91.2,66.469,0,5,68,113,21.915,0,70,461,274.8364,8.8192,4.6863,0.44307594,0.19500153,0.36192253,0.41884322,0.4000729,0.3986,0.326,0.2753
2022,2,8477919,Frederick,Gaudreau,C,MIN,76,14,30,44,92.63,52.6771,0,1,22,46,22.585,1,81,557,196.8921,9.5282,3.4381,0.41116293,0.17900897,0.40982809,0.42152359,0.39747855,0.3508,0.3383,0.3109
2022,2,8479542,Brandon,Hagel,L,TBL,77,25,19,44,91.2,48.417,0,1,3,33,22.591,10,182,548,197.8725,9.4265,3.435,0.42914497,0.17579673,0.39505831,0.42152359,0.39747855,0.341,0.3761,0.283
2022,2,8480208,Drake,Batherson,R,OTT,46,17,27,44,96.36,53.6734,0,1,17,34,21.621,0,61,384,142.9023,9.8472,4.0983,0.42845143,0.17901585,0.39253272,0.42152359,0.39747855,0.4311,0.3308,0.238
2022,2,8482113,Anton,Lundell,C,FLA,65,18,26,44,81.85,53.9787,0,0,3,47,22.581,1,60,445,183.6382,10.7714,3.4651,0.41654228,0.18510114,0.39835658,0.42152359,0.39747855,0.3244,0.323,0.3526
2022,2,8474149,Evgenii,Dadonov,R,VGK,78,20,23,43,84.27,49.2538,0,0,6,45,22.059,1,132,621,203.0214,9.8703,3.4585,0.4486339,0.18719919,0.36416691,0.42152359,0.39747855,0.3591,0.3581,0.2828
2022,2,8476792,Torey,Krug,D,STL,64,9,34,43,93.92,66.5189,0,6,65,60,21.24,0,9,196,184.5044,8.4132,3.7638,0.45671335,0.17714779,0.36613886,0.41884322,0.4000729,0.4426,0.3127,0.2448
2022,2,8477839,Conor,Sheary,L,WSH,71,19,24,43,85.22,48.2332,0,0,4,31,22.588,4,119,492,169.8093,9.3878,3.1139,0.42652684,0.18262068,0.39085248,0.42152359,0.39747855,0.38,0.3488,0.2713
2022,2,8478519,Anthony,Cirelli,C,TBL,76,17,26,43,100.19,48.0625,1,1,13,42,22.73,10,159,545,204.5579,8.8188,3.7951,0.41546197,0.18010133,0.4044367,0.42152359,0.39747855,0.2898,0.3503,0.3599
2022,2,8478542,Evan,Rodrigues,C,PIT,82,19,24,43,93.53,56.3641,0,4,39,107,22.875,3,99,489,207.4574,9.585,3.5014,0.45437838,0.18096007,0.36466155,0.42152359,0.39747855,0.3503,0.3188,0.331
2022,2,8480803,Evan,Bouchard,D,EDM,81,12,31,43,98.36,72.2898,0,59,90,153,22.385,1,56,325,223.538,8.3607,3.8233,0.44559918,0.17628004,0.37812078,0.41884322,0.4000729,0.3694,0.3396,0.2911
2022,2,8481540,Cole,Caufield,R,MTL,67,23,20,43,90.94,57.8303,0,1,34,83,22.051,1,89,510,195.32,10.4862,4.3818,0.42354111,0.18028985,0.39616904,0.42152359,0.39747855,0.3505,0.3491,0.3004
2022,2,8471215,Evgeni,Malkin,C,PIT,41,20,22,42,92.13,57.1357,0,1,33,35,21.455,0,17,219,126.8379,10.1266,3.5846,0.47465949,0.17900516,0.34633535,0.42152359,0.39747855,0.4392,0.3284,0.2324
2022,2,8474641,Adam,Henrique,C,ANA,58,19,23,42,87.28,48.8121,0,0,14,30,22.151,1,42,259,155.3504,9.2257,3.3069,0.41131616,0.1911869,0.39749694,0.42152359,0.39747855,0.2978,0.3226,0.3797
2022,2,8475220,Marcus,Foligno,L,MIN,74,23,19,42,92.45,44.3834,0,1,8,19,22.087,1,55,378,181.1464,8.9515,3.4276,0.4174099,0.17642512,0.40616498,0.42152359,0.39747855,0.2973,0.3781,0.3246
2022,2,8475764,Cam,Fowler,D,ANA,76,9,33,42,94.84,65.0777,0,1,37,95,21.515,0,57,430,273.4075,8.8404,4.616,0.4005006,0.18163326,0.41786614,0.41884322,0.4000729,0.2814,0.3507,0.3679
2022,2,8476958,Jaccob,Slavin,D,CAR,79,4,38,42,94.29,65.0624,0,6,58,84,22.338,2,55,302,247.9283,8.0026,3.9784,0.45777907,0.18715751,0.35506341,0.41884322,0.4000729,0.3654,0.3436,0.291
2022,2,8478498,Jake,DeBrusk,L,BOS,77,25,17,42,90.93,50.3114,0,1,12,45,22.71,11,130,553,191.4378,9.9208,3.2563,0.43025863,0.1868892,0.38285217,0.42152359,0.39747855,0.3647,0.3177,0.3177
2022,2,8482110,Dawson,Mercer,C,NJD,82,17,25,42,89.33,44.4849,0,0,4,30,22.243,5,172,647,218.7532,9.6766,3.5707,0.4180392,0.18523455,0.39672625,0.42152359,0.39747855,0.3735,0.3701,0.2565
2022,2,8475197,Tyson,Barrie,D,EDM,73,7,34,41,96.47,67.0615,0,14,65,69,22.236,1,19,211,198.2428,8.5927,3.6273,0.46272581,0.1739911,0.36328309,0.41884322,0.4000729,0.3574,0.3109,0.3317
