season,game_type,player_id,player_name,last_name,team_abbrev,shoots_catches,gp,gs,wins,losses,ot_losses,ties,goals_against,gaa,saves,shots_against,sv_pct,shutouts,toi_sec,goals,assists,points,pim
2017,2,8473523,Jhonas Enroth,Enroth,TOR,L,6,4,0,3,1,NA,18,3.93538,123,141,0.87234,0,16466,0,0,0,0
2017,2,8474682,Dustin Tokarski,Tokarski,ANA,L,1,0,0,0,0,NA,0,0,5,5,1,0,587,0,0,0,0
2017,2,8475789,Jack Campbell,Campbell,LAK,L,1,0,0,0,0,NA,0,0,5,5,1,0,1200,0,0,0,0
2017,2,8475876,Zane McIntyre,McIntyre,BOS,L,8,3,0,4,1,NA,22,3.96853,133,155,0.85806,0,19957,0,0,0,0
2017,2,8476341,Anton Forsberg,Forsberg,CBJ,L,1,1,0,1,0,NA,4,4.09672,23,27,0.85185,0,3515,0,0,0,0
2017,2,8476876,Malcolm Subban,Subban,BOS,L,1,1,0,1,0,NA,3,5.88235,13,16,0.8125,0,1836,0,0,0,0
2017,2,8476904,Chris Driedger,Driedger,OTT,L,1,0,0,1,0,NA,4,6,11,15,0.73333,0,2400,0,0,0,0
2017,2,8476986,Marek Langhamer,Langhamer,ARI,L,1,0,0,0,0,NA,1,3.8668,7,8,0.875,0,931,0,0,0,0
2017,2,8476992,Marek Mazanec,Mazanec,NSH,R,4,2,0,2,0,NA,14,4.73017,73,87,0.83908,0,10655,0,1,1,0
2017,2,8476999,Linus Ullmark,Ullmark,BUF,L,1,1,0,1,0,NA,3,3.06469,33,36,0.91666,0,3524,0,0,0,0
2017,2,8477202,Andrew Hammond,Hammond,OTT,L,6,4,0,2,0,NA,14,4.0846,72,86,0.8372,0,12339,0,0,0,0
2017,2,8477356,Kristers Gudlevskis,Gudlevskis,TBL,L,1,0,0,0,0,NA,0,0,3,3,1,0,687,0,0,0,0
2017,2,8477465,Tristan Jarry,Jarry,PIT,L,1,1,0,1,0,NA,3,3.06382,22,25,0.88,0,3525,0,0,0,0
2017,2,8477484,Spencer Martin,Martin,COL,L,3,3,0,2,1,NA,13,4.34701,83,96,0.86458,0,10766,0,0,0,0
2017,2,8477831,Pheonix Copley,Copley,STL,L,1,1,0,1,0,NA,5,5.09049,24,29,0.82758,0,3536,0,0,0,0
2017,2,8477968,Alex Nedeljkovic,Nedeljkovic,CAR,L,1,0,0,0,0,NA,0,0,17,17,1,0,1797,0,0,0,2
2017,2,8479115,Jorge Alves,Alves,CAR,L,1,0,0,0,0,NA,0,0,0,0,NA,0,8,0,0,0,0
2017,2,8479496,David Rittich,Rittich,CGY,L,1,0,0,0,0,NA,1,3,9,10,0.9,0,1200,0,0,0,0
