season,game_type,player_id,player_name,last_name,team_abbrev,position,shoots,gp,goals,assists,points,points_per_game,plus_minus,pim,shots,shooting_pct,toi_per_game,ev_goals,ev_points,pp_goals,pp_points,sh_goals,sh_points,ot_goals,gw_goals,fo_win_pct
2012,2,8471215,Evgeni Malkin,Malkin,PIT,C,L,75,50,59,109,1.45333,18,70,339,0.14749,1261.4133,38,75,12,34,0,0,1,9,0.4752
2012,2,8474564,Steven Stamkos,Stamkos,TBL,C,R,82,60,37,97,1.18292,7,66,303,0.19801,1321.2195,48,72,12,25,0,0,5,12,0.45476
2012,2,8473512,Claude Giroux,Giroux,PHI,R,R,77,28,65,93,1.20779,6,29,242,0.1157,1292.6493,22,53,6,38,0,2,2,5,0.53661
2012,2,8469455,Jason Spezza,Spezza,OTT,C,R,80,34,50,84,1.05,11,36,232,0.14655,1195.2875,24,60,10,24,0,0,0,2,0.5347
2012,2,8469454,Ilya Kovalchuk,Kovalchuk,NJD,L,R,77,37,46,83,1.07792,-9,33,310,0.11935,1429.2597,24,49,10,29,3,5,0,5,0.35135
2012,2,8473548,Phil Kessel,Kessel,TOR,R,R,82,37,45,82,1,-10,20,295,0.12542,1203.3048,27,59,10,23,0,0,0,6,0.32142
2012,2,8471707,James Neal,Neal,PIT,L,L,80,40,41,81,1.0125,6,87,329,0.12158,1148.0625,22,51,18,30,0,0,0,4,0.26666
2012,2,8475166,John Tavares,Tavares,NYI,C,L,82,31,50,81,0.9878,-6,26,286,0.10839,1234.0975,24,56,7,25,0,0,1,8,0.51324
2012,2,8467876,Henrik Sedin,Sedin,VAN,C,L,82,14,67,81,0.9878,23,52,113,0.12389,1145.2804,6,54,8,27,0,0,0,6,0.50076
2012,2,8460542,Patrik Elias,Elias,NJD,C,L,81,26,52,78,0.96296,-8,16,164,0.15853,1191.1851,16,45,8,29,2,4,0,3,0.44119
2012,2,8474578,Erik Karlsson,Karlsson,OTT,D,R,81,19,59,78,0.96296,16,42,261,0.07279,1519.0123,16,50,3,28,0,0,0,5,0
2012,2,8466148,Marian Hossa,Hossa,CHI,R,L,81,29,48,77,0.95061,18,20,248,0.11693,1197.8765,18,54,9,20,2,3,0,4,0.33333
