"team_abbrev","gp_onice","cf_5v5","ca_5v5","gf_5v5","ga_5v5","pp_goals","pp_shots","pk_goals_against","pk_shots_against","xg_for","xg_against","toi_5v5_sec","toi_pp_sec","toi_pk_sec","cf_pct_5v5","gf_per60_5v5","ga_per60_5v5","pp_goals_per60","pk_ga_per60"
"TOR",82,3770,3575,120,160,39,836,48,111,154.611046300444,155.834614710999,232898,23502,25550,51.3,1.85,2.47,5.97,6.76
"MTL",82,3697,3477,146,152,41,677,46,99,148.367635288334,145.261151054758,233070,24751,22180,51.5,2.26,2.35,5.96,7.47
"CHI",89,4046,3913,144,154,61,619,49,95,174.37597338378,173.618221926037,260566,22330,22478,50.8,1.99,2.13,9.83,7.85
"NYR",87,3674,4014,170,139,42,696,57,91,167.13470939087,186.930296508595,252165,21837,23301,47.8,2.43,1.98,6.92,8.81
"CGY",82,3506,3799,152,169,44,697,55,85,153.314988989325,160.832885342941,237294,23708,19991,48,2.31,2.56,6.68,9.9
"VAN",82,3272,3660,124,153,36,631,47,73,141.000848198077,175.833800904336,235425,22506,22447,47.2,1.9,2.34,5.76,7.54
"LAK",87,4327,3365,147,131,49,780,58,78,176.404732534487,150.958128817729,249601,22320,26078,56.3,2.12,1.89,7.9,8.01
"SJS",106,4793,4641,195,166,77,996,55,72,212.765962117119,183.17411439796,309552,31844,26442,50.8,2.27,1.93,8.7,7.49
"BOS",82,3607,3673,158,151,47,736,48,105,145.665433899383,152.326991885551,235014,21049,24342,49.5,2.42,2.31,8.04,7.1
"WPG",82,3548,3356,144,144,38,651,60,108,157.301583963854,151.435374207911,230397,23575,25497,51.4,2.25,2.25,5.8,8.47
"BUF",82,3325,3677,121,149,47,697,37,68,133.609439626569,151.572778780479,239373,23109,18970,47.5,1.82,2.24,7.32,7.02
"OTT",82,3466,3839,149,148,35,599,60,82,142.965993320744,162.620333617087,236399,20972,23186,47.4,2.27,2.25,6.01,9.32
"TBL",99,4251,4000,184,154,51,818,49,86,172.762792260968,168.571750704781,276154,29658,30046,51.5,2.4,2.01,6.19,5.87
"PHI",88,3941,3892,135,135,52,886,58,92,153.983410867164,162.749101069698,246324,27224,25489,50.3,1.97,1.97,6.88,8.19
"STL",102,4488,4308,174,160,66,652,50,103,196.723551501927,191.627474657551,294306,24291,30294,51,2.13,1.96,9.78,5.94
"EDM",82,3577,3738,134,170,42,654,47,68,160.194943087175,168.191146309196,236061,21975,24218,48.9,2.04,2.59,6.88,6.99
"NSH",96,4357,3996,164,163,54,777,55,84,179.332464822684,155.915488790488,277050,27623,25621,52.2,2.13,2.12,7.04,7.73
"CAR",82,3683,3474,133,158,39,692,32,53,166.490637106472,168.335615818389,240714,22601,18283,51.5,1.99,2.36,6.21,6.3
"DAL",95,4688,4200,193,182,60,834,54,97,205.74066036375,185.35499662545,273985,26298,24716,52.7,2.54,2.39,8.21,7.87
"PIT",106,4997,4530,209,171,66,906,49,110,230.256910333817,184.459140000516,305612,29571,28067,52.5,2.46,2.01,8.03,6.28
"COL",82,3197,4034,138,151,46,634,51,100,130.238308361266,166.589298515988,232575,22183,23161,44.2,2.14,2.34,7.47,7.93
"MIN",88,3597,3964,150,144,51,745,48,63,155.279595367436,162.459171182534,255170,24413,19961,47.6,2.12,2.03,7.52,8.66
"NJD",82,2723,3177,109,132,48,574,42,82,132.933704030002,145.793066276121,231393,22623,24172,46.2,1.7,2.05,7.64,6.26
"CBJ",82,3433,3714,148,159,42,606,49,87,173.609726934345,167.010346449853,233901,22082,24442,48,2.28,2.45,6.85,7.22
"DET",87,3599,3363,137,145,47,765,52,67,167.191189737583,162.149265579646,242636,26627,25635,51.7,2.03,2.15,6.35,7.3
"NYI",93,4202,4367,168,169,50,680,38,116,191.36598180799,202.922607408953,275724,23374,23636,49,2.19,2.21,7.7,5.79
"ARI",82,3231,3673,131,136,51,812,64,99,139.146175731788,159.800719600229,226736,26902,26710,46.8,2.08,2.16,6.82,8.63
"FLA",88,3497,3598,170,133,46,720,56,69,165.365280196536,160.865362556709,255224,25318,23924,49.3,2.4,1.88,6.54,8.43
"WSH",94,4293,4099,179,144,66,882,42,74,182.063876000291,165.76149104262,268829,26350,26366,51.2,2.4,1.93,9.02,5.73
"ANA",89,3938,3607,139,143,59,811,36,125,167.830264073913,149.073084854987,251218,23945,29358,52.2,1.99,2.05,8.87,4.41
