season,game_type,player_id,first_name,last_name,position,team_abbrev,gp,goals,assists,points,top_shot_speed_mph,avg_shot_speed_mph,shot_attempts_over100,shot_attempts_90_100,shot_attempts_80_90,shot_attempts_70_80,max_skate_speed_mph,bursts_over22,bursts_20_22,bursts_18_20,dist_total_mi,dist_per60_mi,dist_max_game_mi,oz_pct,nz_pct,dz_pct,oz_league_avg,dz_league_avg,oz_starts_pct,nz_starts_pct,dz_starts_pct
2023,2,8478402,Connor,McDavid,C,EDM,82,64,89,153,88.88,49.3724,0,0,24,91,24.156,80,453,863,309.6873,10.1226,5.4019,0.46967453,0.16762651,0.36269896,0.42423698,0.39772623,0.3667,0.3382,0.295
2023,2,8477934,Leon,Draisaitl,C,EDM,80,52,76,128,88.37,54.8459,0,0,34,99,23.306,26,235,667,257.3103,8.8793,4.2547,0.46330482,0.16966876,0.36702642,0.42423698,0.39772623,0.3504,0.3108,0.3388
2023,2,8476453,Nikita,Kucherov,R,TBL,82,30,83,113,94.05,60.6828,0,9,79,137,21.961,0,92,496,262.0879,9.5256,4.1307,0.45315017,0.18160811,0.36524173,0.42423698,0.39772623,0.4294,0.3259,0.2447
2023,2,8477956,David,Pastrnak,R,BOS,82,61,52,113,98.45,60.4388,0,38,115,150,23.539,6,133,558,251.2464,9.3966,3.861,0.45967355,0.18013275,0.3601937,0.42423698,0.39772623,0.5026,0.2268,0.2707
2023,2,8477492,Nathan,MacKinnon,C,COL,71,42,69,111,93.33,60.4814,0,9,102,160,24.021,73,473,636,247.4033,9.3682,4.8883,0.46227374,0.17554262,0.36218363,0.42423698,0.39772623,0.4096,0.3537,0.2368
2023,2,8479314,Matthew,Tkachuk,L,FLA,79,40,69,109,87.12,48.2317,0,0,14,65,21.852,0,10,195,232.4081,8.6374,3.9799,0.48390112,0.17937752,0.33672136,0.42423698,0.39772623,0.3953,0.3119,0.2928
2023,2,8480027,Jason,Robertson,L,DAL,82,46,63,109,91.38,58.3991,0,1,62,145,21.629,0,27,262,241.4096,9.3764,3.6016,0.45958739,0.18813902,0.35227359,0.42423698,0.39772623,0.356,0.3605,0.2835
2023,2,8478420,Mikko,Rantanen,R,COL,82,55,50,105,90.18,56.7323,0,1,52,130,22.912,2,84,522,261.7687,8.6185,4.398,0.45899101,0.17565944,0.36534955,0.42423698,0.39772623,0.4313,0.3205,0.2482
2023,2,8476454,Ryan,Nugent-Hopkins,C,EDM,82,37,67,104,82.21,52.2361,0,0,8,77,22.378,5,85,412,250.4642,9.2553,3.9163,0.45469609,0.16441964,0.38088427,0.42423698,0.39772623,0.3082,0.3296,0.3622
2023,2,8480012,Elias,Pettersson,C,VAN,80,39,63,102,95.78,60.5464,0,24,86,104,23.305,2,153,595,246.7059,9.0018,3.8808,0.44153823,0.16787854,0.39058323,0.42423698,0.39772623,0.3525,0.3379,0.3096
