season,game_type,team_id,team_abbrev,zone,goals,sog,sh_pct
2023,2,21,COL,Behind the Net,1,10,0.1
2023,2,21,COL,Beyond Red Line,7,50,0.14
2023,2,21,COL,Center Point,15,278,0.054
2023,2,21,COL,Crease,15,48,0.3125
2023,2,21,COL,High Slot,38,363,0.1047
2023,2,21,COL,L Circle,23,272,0.0846
2023,2,21,COL,L Corner,0,1,0
2023,2,21,COL,L Net Side,3,68,0.0441
2023,2,21,COL,L Point,4,184,0.0217
2023,2,21,COL,Low Slot,119,669,0.1779
2023,2,21,COL,Offensive Neutral Zone,0,51,0
2023,2,21,COL,Outside L,2,119,0.0168
2023,2,21,COL,Outside R,9,117,0.0769
2023,2,21,COL,R Circle,27,288,0.0938
2023,2,21,COL,R Corner,0,2,0
2023,2,21,COL,R Net Side,6,56,0.1071
2023,2,21,COL,R Point,5,151,0.0331
2023,2,12,CAR,Behind the Net,3,28,0.1071
2023,2,12,CAR,Beyond Red Line,4,49,0.0816
2023,2,12,CAR,Center Point,9,191,0.0471
2023,2,12,CAR,Crease,15,83,0.1807
2023,2,12,CAR,High Slot,32,284,0.1127
2023,2,12,CAR,L Circle,22,223,0.0987
2023,2,12,CAR,L Corner,0,7,0
2023,2,12,CAR,L Net Side,1,66,0.0152
2023,2,12,CAR,L Point,8,246,0.0325
2023,2,12,CAR,Low Slot,123,744,0.1653
2023,2,12,CAR,Offensive Neutral Zone,2,52,0.0385
2023,2,12,CAR,Outside L,4,157,0.0255
2023,2,12,CAR,Outside R,8,151,0.053
2023,2,12,CAR,R Circle,18,205,0.0878
2023,2,12,CAR,R Corner,0,4,0
2023,2,12,CAR,R Net Side,5,56,0.0893
2023,2,12,CAR,R Point,8,306,0.0261
2023,2,25,DAL,Behind the Net,2,11,0.1818
2023,2,25,DAL,Beyond Red Line,10,76,0.1316
2023,2,25,DAL,Center Point,6,161,0.0373
2023,2,25,DAL,Crease,10,60,0.1667
2023,2,25,DAL,High Slot,45,299,0.1505
2023,2,25,DAL,L Circle,16,258,0.062
2023,2,25,DAL,L Corner,2,7,0.2857
2023,2,25,DAL,L Net Side,6,58,0.1034
2023,2,25,DAL,L Point,7,181,0.0387
2023,2,25,DAL,Low Slot,143,738,0.1938
2023,2,25,DAL,Offensive Neutral Zone,1,63,0.0159
2023,2,25,DAL,Outside L,1,121,0.0083
2023,2,25,DAL,Outside R,5,114,0.0439
2023,2,25,DAL,R Circle,15,216,0.0694
2023,2,25,DAL,R Corner,0,2,0
2023,2,25,DAL,R Net Side,4,60,0.0667
2023,2,25,DAL,R Point,8,192,0.0417
2023,2,7,BUF,Behind the Net,1,17,0.0588
2023,2,7,BUF,Beyond Red Line,3,82,0.0366
2023,2,7,BUF,Center Point,5,170,0.0294
2023,2,7,BUF,Crease,11,37,0.2973
2023,2,7,BUF,High Slot,46,309,0.1489
2023,2,7,BUF,L Circle,25,252,0.0992
2023,2,7,BUF,L Corner,0,2,0
2023,2,7,BUF,L Net Side,5,65,0.0769
2023,2,7,BUF,L Point,1,161,0.0062
2023,2,7,BUF,Low Slot,127,682,0.1862
2023,2,7,BUF,Offensive Neutral Zone,4,63,0.0635
2023,2,7,BUF,Outside L,7,123,0.0569
2023,2,7,BUF,Outside R,13,156,0.0833
2023,2,7,BUF,R Circle,38,316,0.1203
2023,2,7,BUF,R Corner,0,0,0
2023,2,7,BUF,R Net Side,6,78,0.0769
2023,2,7,BUF,R Point,1,152,0.0066
2023,2,14,TBL,Behind the Net,1,14,0.0714
2023,2,14,TBL,Beyond Red Line,3,67,0.0448
2023,2,14,TBL,Center Point,7,197,0.0355
2023,2,14,TBL,Crease,8,30,0.2667
2023,2,14,TBL,High Slot,36,329,0.1094
2023,2,14,TBL,L Circle,25,238,0.105
2023,2,14,TBL,L Corner,0,1,0
2023,2,14,TBL,L Net Side,3,50,0.06
2023,2,14,TBL,L Point,9,186,0.0484
2023,2,14,TBL,Low Slot,134,739,0.1813
2023,2,14,TBL,Offensive Neutral Zone,4,42,0.0952
2023,2,14,TBL,Outside L,5,111,0.045
2023,2,14,TBL,Outside R,8,108,0.0741
2023,2,14,TBL,R Circle,26,232,0.1121
2023,2,14,TBL,R Corner,0,5,0
2023,2,14,TBL,R Net Side,7,75,0.0933
2023,2,14,TBL,R Point,4,197,0.0203
2023,2,8,MTL,Behind the Net,1,17,0.0588
2023,2,8,MTL,Beyond Red Line,5,71,0.0704
2023,2,8,MTL,Center Point,7,177,0.0395
2023,2,8,MTL,Crease,14,40,0.35
2023,2,8,MTL,High Slot,23,206,0.1117
2023,2,8,MTL,L Circle,24,218,0.1101
2023,2,8,MTL,L Corner,0,8,0
2023,2,8,MTL,L Net Side,5,52,0.0962
2023,2,8,MTL,L Point,6,154,0.039
2023,2,8,MTL,Low Slot,101,571,0.1769
2023,2,8,MTL,Offensive Neutral Zone,0,63,0
2023,2,8,MTL,Outside L,7,107,0.0654
2023,2,8,MTL,Outside R,5,145,0.0345
2023,2,8,MTL,R Circle,20,209,0.0957
2023,2,8,MTL,R Corner,0,3,0
2023,2,8,MTL,R Net Side,6,59,0.1017
2023,2,8,MTL,R Point,3,137,0.0219
2023,2,30,MIN,Behind the Net,2,11,0.1818
2023,2,30,MIN,Beyond Red Line,5,74,0.0676
2023,2,30,MIN,Center Point,5,175,0.0286
2023,2,30,MIN,Crease,17,55,0.3091
2023,2,30,MIN,High Slot,28,248,0.1129
2023,2,30,MIN,L Circle,17,256,0.0664
2023,2,30,MIN,L Corner,1,3,0.3333
2023,2,30,MIN,L Net Side,3,65,0.0462
2023,2,30,MIN,L Point,6,199,0.0302
2023,2,30,MIN,Low Slot,118,644,0.1832
2023,2,30,MIN,Offensive Neutral Zone,1,88,0.0114
2023,2,30,MIN,Outside L,4,142,0.0282
2023,2,30,MIN,Outside R,6,138,0.0435
2023,2,30,MIN,R Circle,15,203,0.0739
2023,2,30,MIN,R Corner,0,2,0
2023,2,30,MIN,R Net Side,4,58,0.069
2023,2,30,MIN,R Point,7,174,0.0402
2023,2,6,BOS,Behind the Net,2,15,0.1333
2023,2,6,BOS,Beyond Red Line,6,58,0.1034
2023,2,6,BOS,Center Point,8,196,0.0408
2023,2,6,BOS,Crease,7,31,0.2258
2023,2,6,BOS,High Slot,51,354,0.1441
2023,2,6,BOS,L Circle,34,254,0.1339
2023,2,6,BOS,L Corner,0,2,0
2023,2,6,BOS,L Net Side,7,63,0.1111
2023,2,6,BOS,L Point,3,169,0.0178
2023,2,6,BOS,Low Slot,133,764,0.1741
2023,2,6,BOS,Offensive Neutral Zone,2,66,0.0303
2023,2,6,BOS,Outside L,12,116,0.1034
2023,2,6,BOS,Outside R,8,143,0.0559
2023,2,6,BOS,R Circle,20,251,0.0797
2023,2,6,BOS,R Corner,0,0,0
