season,game_type,player_id,position,first_name,last_name,team_abbrev,gp,dist_per60_mi,dist_total_mi,dist_max_game_mi,avg_shot_speed_faced_mph,top_shot_speed_faced_mph,shots_faced_over100,shots_faced_90_100,shots_faced_80_90,dz_pct,oz_pct
2023,2,8473575,G,Semyon,Varlamov,NYI,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,2,8476341,G,Anton,Forsberg,OTT,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,2,8477484,G,Spencer,Martin,VAN,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,2,8470860,G,Jaroslav,Halak,NYR,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,2,8475852,G,Petr,Mrazek,CHI,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,2,8478406,G,Mackenzie,Blackwood,NJD,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,2,8480420,G,Collin,Delia,VAN,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,2,8471774,G,Alex,Stalock,CHI,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,2,8475809,G,Scott,Wedgewood,DAL,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,2,8477480,G,Eric,Comrie,BUF,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,2,8478039,G,Kaapo,Kahkonen,SJS,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,2,8479312,G,Alex,Lyon,FLA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,2,8479496,G,David,Rittich,WPG,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,2,8480947,G,Kevin,Lankinen,NSH,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,2,8481033,G,Akira,Schmid,NJD,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,2,8481519,G,Spencer,Knight,FLA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,2,8480925,G,Pavel,Francouz,COL,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,2,8481544,G,Mads,Sogaard,OTT,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,2,8471306,G,Thomas,Greiss,STL,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,2,8476316,G,Laurent,Brossoit,VGK,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,2,8478007,G,Elvis,Merzlikins,CBJ,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,2,8478971,G,Connor,Ingram,ARI,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,2,8479361,G,Joseph,Woll,TOR,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,2,8481035,G,Samuel,Ersson,PHI,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,2,8476433,G,Magnus,Hellberg,DET,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,2,8476932,G,Anthony,Stolarz,ANA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,2,8477361,G,Cal,Petersen,LAK,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,2,8477968,G,Alex,Nedeljkovic,DET,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,2,8482221,G,Devon,Levi,BUF,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,2,8483530,G,Jaxson,Stauber,CHI,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,2,8480193,G,Daniil,Tarasov,CBJ,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,2,8480843,G,Lukas,Dostal,ANA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,2,8481031,G,Ivan,Prosvetov,ARI,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,2,8478433,G,Felix,Sandstrom,PHI,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,2,8478902,G,Erik,Kallgren,TOR,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,2,8480981,G,Joel,Hofer,STL,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,2,8481668,G,Arturs,Silovs,VAN,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,2,8474636,G,Michael,Hutchinson,CBJ,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,2,8477992,G,Jonas,Johansson,COL,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,2,8478916,G,Joey,Daccord,SEA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,2,8480238,G,Jiri,Patera,VGK,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,2,8482821,G,Arvid,Soderblom,CHI,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,2,8474682,G,Dustin,Tokarski,PIT,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,2,8476234,G,Keith,Kinkaid,COL,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,2,8476903,G,Jon,Gillies,CBJ,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,2,8480199,G,Eetu,Makiniemi,SJS,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,2,8480263,G,Dylan,Ferguson,OTT,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,2,8480867,G,Kevin,Mandolese,OTT,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,2,8481020,G,Justus,Annunen,COL,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,2,8481692,G,Dustin,Wolf,CGY,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,2,8483575,G,Matt,Murray,DAL,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,2,8471418,G,Anton,Khudobin,CHI,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,2,8477180,G,Aaron,Dell,SJS,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,2,8479380,G,Dylan,Wells,CHI,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,2,8480042,G,Olle,Eriksson Ek,ANA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,2,8480051,G,Cayden,Primeau,MTL,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,2,8482137,G,Yaroslav,Askarov,NSH,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,2,8482447,G,Leevi,Meriläinen,OTT,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,2,8482982,G,Jet,Greaves,CBJ,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,2,8483158,G,Matthew,Berlin,EDM,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,2,8483183,G,Jett,Alexander,TOR,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
