season,game_type,game_id,game_date,home_full,away_abbrev,home_score,away_score,period_type
2022,2,2021020002,2021-10-12,Vegas Golden Knights,SEA,4,3,REG
2022,2,2021020001,2021-10-12,Tampa Bay Lightning,PIT,2,6,REG
2022,2,2021020004,2021-10-13,Washington Capitals,NYR,5,1,REG
2022,2,2021020003,2021-10-13,Toronto Maple Leafs,MTL,2,1,REG
2022,2,2021020015,2021-10-13,Anaheim Ducks,WPG,4,1,REG
2022,2,2021020005,2021-10-13,Colorado Avalanche,CHI,4,2,REG
2022,2,2021020006,2021-10-13,Edmonton Oilers,VAN,2,2,REG
2022,2,2021020016,2021-10-14,Los Angeles Kings,VGK,6,2,REG
2022,2,2021020010,2021-10-14,Florida Panthers,PIT,5,4,REG
2022,2,2021020009,2021-10-14,Detroit Red Wings,TBL,6,7,REG
2022,2,2021020014,2021-10-14,Nashville Predators,SEA,3,4,REG
2022,2,2021020007,2021-10-14,Buffalo Sabres,MTL,5,1,REG
2022,2,2021020012,2021-10-14,Carolina Hurricanes,NYI,6,3,REG
2022,2,2021020011,2021-10-14,New York Rangers,DAL,2,3,REG
2022,2,2021020008,2021-10-14,Ottawa Senators,TOR,3,2,REG
2022,2,2021020013,2021-10-14,Columbus Blue Jackets,ARI,8,2,REG
2022,2,2021020017,2021-10-15,New Jersey Devils,CHI,4,3,REG
2022,2,2021020019,2021-10-15,Anaheim Ducks,MIN,1,2,REG
2022,2,2021020018,2021-10-15,Philadelphia Flyers,VAN,4,4,REG
2022,2,2021020027,2021-10-16,Washington Capitals,TBL,1,2,REG
2022,2,2021020029,2021-10-16,Nashville Predators,CAR,2,3,REG
2022,2,2021020025,2021-10-16,Florida Panthers,NYI,5,1,REG
2022,2,2021020030,2021-10-16,Colorado Avalanche,STL,3,5,REG
2022,2,2021020022,2021-10-16,Toronto Maple Leafs,OTT,3,1,REG
2022,2,2021020024,2021-10-16,Detroit Red Wings,VAN,3,1,REG
2022,2,2021020028,2021-10-16,Columbus Blue Jackets,SEA,2,1,REG
2022,2,2021020032,2021-10-16,Los Angeles Kings,MIN,2,3,REG
2022,2,2021020033,2021-10-16,San Jose Sharks,WPG,4,3,REG
2022,2,2021020031,2021-10-16,Edmonton Oilers,CGY,5,2,REG
2022,2,2021020020,2021-10-16,Boston Bruins,DAL,3,1,REG
2022,2,2021020021,2021-10-16,Buffalo Sabres,ARI,1,1,REG
2022,2,2021020023,2021-10-16,Montréal Canadiens,NYR,1,3,REG
2022,2,2021020026,2021-10-16,Pittsburgh Penguins,CHI,5,2,REG
2022,2,2021020034,2021-10-17,Ottawa Senators,DAL,3,2,REG
2022,2,2021020038,2021-10-18,Arizona Coyotes,STL,4,7,REG
2022,2,2021020035,2021-10-18,Toronto Maple Leafs,NYR,1,2,REG
2022,2,2021020036,2021-10-18,Philadelphia Flyers,SEA,6,1,REG
2022,2,2021020037,2021-10-18,Calgary Flames,ANA,2,3,REG
2022,2,2021020047,2021-10-19,Nashville Predators,LAK,2,1,REG
2022,2,2021020045,2021-10-19,Washington Capitals,COL,6,3,REG
2022,2,2021020042,2021-10-19,Tampa Bay Lightning,FLA,1,4,REG
2022,2,2021020043,2021-10-19,New Jersey Devils,SEA,4,2,REG
2022,2,2021020040,2021-10-19,Montréal Canadiens,SJS,0,5,REG
2022,2,2021020046,2021-10-19,Chicago Blackhawks,NYI,1,4,REG
2022,2,2021020049,2021-10-19,Edmonton Oilers,ANA,6,5,REG
2022,2,2021020048,2021-10-19,Minnesota Wild,WPG,6,5,REG
2022,2,2021020039,2021-10-19,Buffalo Sabres,VAN,5,2,REG
2022,2,2021020044,2021-10-19,Pittsburgh Penguins,DAL,1,1,REG
2022,2,2021020041,2021-10-19,Detroit Red Wings,CBJ,4,1,REG
2022,2,2021020051,2021-10-20,Vegas Golden Knights,STL,1,3,REG
2022,2,2021020050,2021-10-20,Philadelphia Flyers,BOS,6,3,REG
2022,2,2021020053,2021-10-21,Ottawa Senators,SJS,1,2,REG
2022,2,2021020061,2021-10-21,Arizona Coyotes,EDM,1,5,REG
2022,2,2021020057,2021-10-21,Columbus Blue Jackets,NYI,3,2,REG
2022,2,2021020054,2021-10-21,Detroit Red Wings,CGY,0,3,REG
2022,2,2021020060,2021-10-21,Winnipeg Jets,ANA,5,1,REG
2022,2,2021020052,2021-10-21,Montréal Canadiens,CAR,1,4,REG
2022,2,2021020058,2021-10-21,Chicago Blackhawks,VAN,1,4,REG
2022,2,2021020055,2021-10-21,Florida Panthers,COL,4,1,REG
2022,2,2021020059,2021-10-21,Nashville Predators,NYR,1,3,REG
2022,2,2021020056,2021-10-21,New Jersey Devils,WSH,1,4,REG
2022,2,2021020062,2021-10-22,Buffalo Sabres,BOS,1,4,REG
2022,2,2021020065,2021-10-22,Vegas Golden Knights,EDM,3,5,REG
2022,2,2021020064,2021-10-22,Dallas Stars,LAK,3,2,REG
2022,2,2021020063,2021-10-22,Toronto Maple Leafs,SJS,3,5,REG
2022,2,2021020076,2021-10-23,Winnipeg Jets,NSH,6,4,REG
2022,2,2021020070,2021-10-23,Philadelphia Flyers,FLA,2,4,REG
2022,2,2021020078,2021-10-23,Seattle Kraken,VAN,2,4,REG
2022,2,2021020077,2021-10-23,Arizona Coyotes,NYI,0,3,REG
2022,2,2021020075,2021-10-23,Minnesota Wild,ANA,4,3,REG
2022,2,2021020074,2021-10-23,St. Louis Blues,LAK,7,3,REG
2022,2,2021020071,2021-10-23,Pittsburgh Penguins,TOR,7,1,REG
2022,2,2021020073,2021-10-23,Columbus Blue Jackets,CAR,1,5,REG
2022,2,2021020072,2021-10-23,Washington Capitals,CGY,3,4,REG
2022,2,2021020066,2021-10-23,Montréal Canadiens,DET,6,1,REG
2022,2,2021020067,2021-10-23,Ottawa Senators,NYR,2,3,REG
2022,2,2021020069,2021-10-23,New Jersey Devils,BUF,2,1,REG
2022,2,2021020068,2021-10-23,Tampa Bay Lightning,COL,3,3,REG
2022,2,2021020079,2021-10-24,Boston Bruins,SJS,4,3,REG
2022,2,2021020081,2021-10-24,Minnesota Wild,NSH,2,5,REG
2022,2,2021020080,2021-10-24,Chicago Blackhawks,DET,3,6,REG
2022,2,2021020082,2021-10-24,Vegas Golden Knights,NYI,0,2,REG
2022,2,2021020087,2021-10-25,Carolina Hurricanes,TOR,4,1,REG
2022,2,2021020083,2021-10-25,Buffalo Sabres,TBL,5,1,REG
2022,2,2021020084,2021-10-25,Ottawa Senators,WSH,5,7,REG
2022,2,2021020086,2021-10-25,New York Rangers,CGY,1,5,REG
2022,2,2021020088,2021-10-25,Columbus Blue Jackets,DAL,4,1,REG
2022,2,2021020085,2021-10-25,Florida Panthers,ARI,5,3,REG
2022,2,2021020089,2021-10-25,St. Louis Blues,LAK,3,0,REG
2022,2,2021020091,2021-10-26,Pittsburgh Penguins,TBL,1,5,REG
2022,2,2021020090,2021-10-26,New Jersey Devils,CGY,3,5,REG
2022,2,2021020095,2021-10-26,Anaheim Ducks,WPG,3,4,REG
2022,2,2021020096,2021-10-26,Seattle Kraken,MTL,5,1,REG
2022,2,2021020093,2021-10-26,Colorado Avalanche,VGK,1,3,REG
2022,2,2021020092,2021-10-26,Nashville Predators,SJS,3,1,REG
2022,2,2021020094,2021-10-26,Vancouver Canucks,MIN,2,3,REG
2022,2,2021020099,2021-10-27,Chicago Blackhawks,TOR,2,3,REG
2022,2,2021020098,2021-10-27,Washington Capitals,DET,2,3,REG
2022,2,2021020101,2021-10-27,Edmonton Oilers,PHI,3,5,REG
2022,2,2021020097,2021-10-27,Florida Panthers,BOS,4,1,REG
2022,2,2021020100,2021-10-27,Dallas Stars,VGK,2,3,REG
2022,2,2021020106,2021-10-28,Vancouver Canucks,PHI,1,2,REG
2022,2,2021020105,2021-10-28,St. Louis Blues,COL,3,4,REG
