season,game_type,game_id,game_date,home_full,away_abbrev,home_score,away_score,period_type
2021,2,2020020005,2021-01-13,Colorado Avalanche,STL,1,4,REG
2021,2,2020020004,2021-01-13,Edmonton Oilers,VAN,3,5,REG
2021,2,2020020001,2021-01-13,Philadelphia Flyers,PIT,6,3,REG
2021,2,2020020003,2021-01-13,Toronto Maple Leafs,MTL,5,4,REG
2021,2,2020020002,2021-01-13,Tampa Bay Lightning,CHI,5,1,REG
2021,2,2020020015,2021-01-14,Vegas Golden Knights,ANA,5,2,REG
2021,2,2020020011,2021-01-14,Nashville Predators,CBJ,3,1,REG
2021,2,2020020012,2021-01-14,Winnipeg Jets,CGY,4,3,REG
2021,2,2020020013,2021-01-14,Edmonton Oilers,VAN,5,2,REG
2021,2,2020020010,2021-01-14,Detroit Red Wings,CAR,0,3,REG
2021,2,2020020014,2021-01-14,Arizona Coyotes,SJS,3,3,REG
2021,2,2020020016,2021-01-14,Los Angeles Kings,MIN,3,4,REG
2021,2,2020020008,2021-01-14,New York Rangers,NYI,0,4,REG
2021,2,2020020006,2021-01-14,Buffalo Sabres,WSH,4,6,REG
2021,2,2020020007,2021-01-14,New Jersey Devils,BOS,2,2,REG
2021,2,2020020019,2021-01-15,Tampa Bay Lightning,CHI,5,2,REG
2021,2,2020020022,2021-01-15,Colorado Avalanche,STL,8,0,REG
2021,2,2020020021,2021-01-15,Ottawa Senators,TOR,5,3,REG
2021,2,2020020017,2021-01-15,Buffalo Sabres,WSH,1,2,REG
2021,2,2020020018,2021-01-15,Philadelphia Flyers,PIT,5,2,REG
2021,2,2020020025,2021-01-16,Detroit Red Wings,CAR,4,2,REG
2021,2,2020020030,2021-01-16,Arizona Coyotes,SJS,5,3,REG
2021,2,2020020029,2021-01-16,Edmonton Oilers,MTL,1,5,REG
2021,2,2020020026,2021-01-16,Nashville Predators,CBJ,5,2,REG
2021,2,2020020032,2021-01-16,Los Angeles Kings,MIN,3,4,REG
2021,2,2020020027,2021-01-16,Ottawa Senators,TOR,2,3,REG
2021,2,2020020031,2021-01-16,Vegas Golden Knights,ANA,2,1,REG
