season,game_type,game_id,game_date,home_full,away_abbrev,home_score,away_score,period_type
2015,2,2014020003,2014-10-08,Calgary Flames,VAN,2,4,REG
2015,2,2014020001,2014-10-08,Toronto Maple Leafs,MTL,3,4,REG
2015,2,2014020004,2014-10-08,Los Angeles Kings,SJS,0,4,REG
2015,2,2014020002,2014-10-08,Boston Bruins,PHI,2,1,REG
2015,2,2014020006,2014-10-09,Philadelphia Flyers,NJD,4,6,REG
2015,2,2014020016,2014-10-09,Arizona Coyotes,WPG,2,6,REG
2015,2,2014020013,2014-10-09,Dallas Stars,CHI,2,2,REG
2015,2,2014020012,2014-10-09,Nashville Predators,OTT,3,2,REG
2015,2,2014020005,2014-10-09,Buffalo Sabres,CBJ,1,3,REG
2015,2,2014020008,2014-10-09,Washington Capitals,MTL,1,1,REG
2015,2,2014020007,2014-10-09,Pittsburgh Penguins,ANA,6,4,REG
2015,2,2014020010,2014-10-09,Tampa Bay Lightning,FLA,3,2,REG
2015,2,2014020009,2014-10-09,Detroit Red Wings,BOS,2,1,REG
2015,2,2014020014,2014-10-09,Minnesota Wild,COL,5,0,REG
2015,2,2014020015,2014-10-09,Edmonton Oilers,CGY,2,5,REG
2015,2,2014020011,2014-10-09,St. Louis Blues,NYR,2,3,REG
2015,2,2014020017,2014-10-10,Carolina Hurricanes,NYI,3,5,REG
2015,2,2014020022,2014-10-11,Florida Panthers,NJD,1,5,REG
2015,2,2014020019,2014-10-11,Toronto Maple Leafs,PIT,2,5,REG
2015,2,2014020029,2014-10-11,Colorado Avalanche,MIN,0,3,REG
2015,2,2014020025,2014-10-11,Columbus Blue Jackets,NYR,5,2,REG
2015,2,2014020018,2014-10-11,Boston Bruins,WSH,0,4,REG
2015,2,2014020027,2014-10-11,Nashville Predators,DAL,4,1,REG
2015,2,2014020030,2014-10-11,Arizona Coyotes,LAK,3,2,REG
2015,2,2014020021,2014-10-11,Tampa Bay Lightning,OTT,2,2,REG
2015,2,2014020028,2014-10-11,Chicago Blackhawks,BUF,6,2,REG
2015,2,2014020026,2014-10-11,St. Louis Blues,CGY,4,1,REG
2015,2,2014020023,2014-10-11,New York Islanders,CAR,4,3,REG
2015,2,2014020020,2014-10-11,Detroit Red Wings,ANA,2,3,REG
2015,2,2014020024,2014-10-11,Philadelphia Flyers,MTL,3,3,REG
2015,2,2014020032,2014-10-11,San Jose Sharks,WPG,3,0,REG
2015,2,2014020031,2014-10-11,Vancouver Canucks,EDM,4,4,REG
2015,2,2014020033,2014-10-12,New York Rangers,TOR,3,6,REG
2015,2,2014020034,2014-10-12,Los Angeles Kings,WPG,4,1,REG
2015,2,2014020037,2014-10-13,Florida Panthers,OTT,0,1,REG
2015,2,2014020036,2014-10-13,Buffalo Sabres,ANA,1,5,REG
2015,2,2014020035,2014-10-13,Boston Bruins,COL,1,2,REG
2015,2,2014021194,2014-10-13,Tampa Bay Lightning,MTL,7,1,REG
2015,2,2014020038,2014-10-14,New York Rangers,NYI,3,6,REG
2015,2,2014020043,2014-10-14,Toronto Maple Leafs,COL,3,2,REG
2015,2,2014020042,2014-10-14,Columbus Blue Jackets,DAL,2,4,REG
2015,2,2014020041,2014-10-14,Carolina Hurricanes,BUF,3,3,REG
2015,2,2014020039,2014-10-14,Philadelphia Flyers,ANA,3,3,REG
2015,2,2014020044,2014-10-14,Tampa Bay Lightning,NJD,1,2,REG
2015,2,2014020040,2014-10-14,Washington Capitals,SJS,5,5,REG
2015,2,2014020045,2014-10-14,Nashville Predators,CGY,2,2,REG
2015,2,2014020046,2014-10-14,Los Angeles Kings,EDM,6,1,REG
2015,2,2014020048,2014-10-15,Chicago Blackhawks,CGY,1,2,REG
2015,2,2014020047,2014-10-15,Detroit Red Wings,BOS,2,2,REG
