"player_id","gp_onice","shots_5v5","ga_5v5","shots_pk","ga_pk","xg_faced","sv_pct_5v5","sv_pct_pk","actual_ga_tracked","gsax"
"8475883",73,2721,150,428,35,0,0.9449,0.9182,185,NA
"8473461",14,404,24,113,9,0,0.9406,0.9204,33,NA
"8476945",84,2660,133,630,47,0,0.95,0.9254,180,NA
"8474596",59,1756,100,313,35,0,0.9431,0.8882,135,NA
"8476899",61,1828,119,342,35,0,0.9349,0.8977,154,NA
"8475660",67,2259,139,366,40,0,0.9385,0.8907,179,NA
"8469608",55,1811,94,381,30,0,0.9481,0.9213,124,NA
"8470880",47,1451,73,230,32,0,0.9497,0.8609,105,NA
"8474889",70,2253,131,379,27,0,0.9419,0.9288,158,NA
"8471469",72,2244,109,462,45,0,0.9514,0.9026,154,NA
"8471695",66,2038,113,378,30,0,0.9446,0.9206,143,NA
"8475215",53,1643,96,301,25,0,0.9416,0.9169,121,NA
"8471679",49,1551,101,311,32,0,0.9349,0.8971,133,NA
"8473575",51,1691,81,354,23,0,0.9521,0.935,104,NA
"8468685",63,2209,128,366,31,0,0.9421,0.9153,159,NA
"8467950",58,1931,138,334,30,0,0.9285,0.9102,168,NA
"8474651",77,2633,141,495,45,0,0.9464,0.9091,186,NA
"8470657",60,1869,109,390,35,0,0.9417,0.9103,144,NA
"8471227",65,2159,110,364,33,0,0.9491,0.9093,143,NA
"8474550",24,745,38,186,23,0,0.949,0.8763,61,NA
"8470645",28,877,44,193,12,0,0.9498,0.9378,56,NA
"8476434",64,2201,113,470,28,0,0.9487,0.9404,141,NA
"8475839",20,617,39,133,16,0,0.9368,0.8797,55,NA
"8473607",24,656,40,104,12,0,0.939,0.8846,52,NA
"8471734",68,2231,109,443,31,0,0.9511,0.93,140,NA
"8475683",71,2433,115,396,50,0,0.9527,0.8737,165,NA
"8471306",27,966,66,154,20,0,0.9317,0.8701,86,NA
"8470860",54,1832,104,365,37,0,0.9432,0.8986,141,NA
"8476883",82,2697,139,543,54,0,0.9485,0.9006,193,NA
"8466141",35,1204,60,196,16,0,0.9502,0.9184,76,NA
"8470594",66,2258,103,406,32,0,0.9544,0.9212,135,NA
"8471750",53,1494,84,354,27,0,0.9438,0.9237,111,NA
"8470140",37,1011,47,213,25,0,0.9535,0.8826,72,NA
"8471715",19,564,33,95,9,0,0.9415,0.9053,42,NA
"8473503",44,1429,87,292,22,0,0.9391,0.9247,109,NA
"8471239",44,1446,83,299,29,0,0.9426,0.903,112,NA
"8473541",41,1247,66,291,25,0,0.9471,0.9141,91,NA
"8473434",36,1046,74,196,22,0,0.9293,0.8878,96,NA
"8477424",30,899,43,197,15,0,0.9522,0.9239,58,NA
"8471219",13,382,20,56,11,0,0.9476,0.8036,31,NA
"8471774",29,855,46,232,18,0,0.9462,0.9224,64,NA
"8474152",43,1382,97,179,24,0,0.9298,0.8659,121,NA
"8476914",18,586,45,103,8,0,0.9232,0.9223,53,NA
"8477293",47,1611,68,270,20,0,0.9578,0.9259,88,NA
"8474593",60,1950,107,322,36,0,0.9451,0.8882,143,NA
"8476316",14,375,25,68,12,0,0.9333,0.8235,37,NA
"8477180",31,869,49,171,14,0,0.9436,0.9181,63,NA
"8476341",34,965,68,145,15,0,0.9295,0.8966,83,NA
"8475831",37,1146,50,234,23,0,0.9564,0.9017,73,NA
