season,game_type,team_id,team_abbrev,zone,goals,sog,sh_pct
2022,2,21,COL,NA,2,NA,NA
2022,2,21,COL,NA,6,NA,NA
2022,2,21,COL,NA,16,NA,NA
2022,2,21,COL,NA,5,NA,NA
2022,2,21,COL,NA,50,NA,NA
2022,2,21,COL,NA,26,NA,NA
2022,2,21,COL,NA,0,NA,NA
2022,2,21,COL,NA,2,NA,NA
2022,2,21,COL,NA,4,NA,NA
2022,2,21,COL,NA,142,NA,NA
2022,2,21,COL,NA,3,NA,NA
2022,2,21,COL,NA,6,NA,NA
2022,2,21,COL,NA,7,NA,NA
2022,2,21,COL,NA,24,NA,NA
2022,2,21,COL,NA,0,NA,NA
2022,2,21,COL,NA,7,NA,NA
2022,2,21,COL,NA,8,NA,NA
2022,2,12,CAR,NA,2,NA,NA
2022,2,12,CAR,NA,5,NA,NA
2022,2,12,CAR,NA,10,NA,NA
2022,2,12,CAR,NA,17,NA,NA
2022,2,12,CAR,NA,39,NA,NA
2022,2,12,CAR,NA,16,NA,NA
2022,2,12,CAR,NA,0,NA,NA
2022,2,12,CAR,NA,3,NA,NA
2022,2,12,CAR,NA,5,NA,NA
2022,2,12,CAR,NA,141,NA,NA
2022,2,12,CAR,NA,2,NA,NA
2022,2,12,CAR,NA,3,NA,NA
2022,2,12,CAR,NA,5,NA,NA
2022,2,12,CAR,NA,13,NA,NA
2022,2,12,CAR,NA,0,NA,NA
2022,2,12,CAR,NA,10,NA,NA
2022,2,12,CAR,NA,6,NA,NA
2022,2,25,DAL,NA,0,NA,NA
2022,2,25,DAL,NA,10,NA,NA
2022,2,25,DAL,NA,5,NA,NA
2022,2,25,DAL,NA,14,NA,NA
2022,2,25,DAL,NA,27,NA,NA
2022,2,25,DAL,NA,9,NA,NA
2022,2,25,DAL,NA,0,NA,NA
2022,2,25,DAL,NA,3,NA,NA
2022,2,25,DAL,NA,6,NA,NA
2022,2,25,DAL,NA,132,NA,NA
2022,2,25,DAL,NA,0,NA,NA
2022,2,25,DAL,NA,3,NA,NA
2022,2,25,DAL,NA,2,NA,NA
2022,2,25,DAL,NA,16,NA,NA
2022,2,25,DAL,NA,0,NA,NA
2022,2,25,DAL,NA,2,NA,NA
2022,2,25,DAL,NA,4,NA,NA
