"player_id","team_abbrev","gp_onice","cf_5v5","ca_5v5","gf_5v5","ga_5v5","ev_goals","ev_assists","pp_goals","pp_assists","pk_ga","pp_shots","pk_shots_against","pp_gf_onice","pk_ga_onice","xg_for_5v5","xg_against_5v5","pen_taken","pen_drawn","toi_5v5_sec","toi_pp_sec","toi_pk_sec","cf_pct_5v5","gf_per60_5v5","ga_per60_5v5","ev_points_per60","pp_points_per60","pk_ga_per60","pk_save_pct","pp_gf_onice_per60","pk_ga_onice_per60","xg_for_per60_5v5","xg_against_per60_5v5","toi_all_tracked_sec","pen_taken_per60","pen_drawn_per60","penalty_diff_per60"
"8474151","NSH",80,1513,1354,56,46,2,22,0,4,2,114,378,5,29,68.405776534637,53.1181554430223,11,5,83355,6604,10239,52.8,2.42,1.99,1.04,2.18,0.7,0.9947,2.73,10.2,2.954,2.294,100198,0.4,0.18,-0.22
"8474564","TBL",84,1128,1169,53,67,16,19,21,20,4,606,4,60,0,48.2734617494862,49.7496677540476,18,16,71645,13926,1196,49.1,2.66,3.37,1.76,10.6,12.04,0,15.51,0,2.426,2.5,86767,0.75,0.66,-0.09
"8474568","NSH",68,950,881,27,32,1,4,0,0,0,4,144,0,13,38.2643382206443,36.420787216688,9,2,54530,659,5879,51.9,1.78,2.11,0.33,0,0,1,0,7.96,2.526,2.404,61068,0.53,0.12,-0.41
"8474600","NSH",88,1881,1626,87,66,12,30,10,24,2,663,56,50,11,82.0295829271781,68.3961613072315,21,14,103349,15399,4431,53.6,3.03,2.3,1.46,7.95,1.62,0.9643,11.69,8.94,2.857,2.382,123179,0.61,0.41,-0.2
"8474679","NSH",87,1311,1187,59,49,12,30,5,20,1,510,81,40,3,56.674757154542,52.3033179866616,5,15,71576,12655,3602,52.5,2.97,2.46,2.11,7.11,1,0.9877,11.38,3,2.851,2.631,87833,0.2,0.61,0.41
"8475158","NSH",88,1332,1163,61,50,11,24,15,14,1,573,242,46,16,56.8025536501664,49.108167525148,9,15,77607,12649,8232,53.4,2.83,2.32,1.62,8.25,0.44,0.9959,13.09,7,2.635,2.278,98488,0.33,0.55,0.22
"8475167","TBL",83,1550,1441,76,62,9,31,4,28,4,563,355,53,17,69.4242477429216,65.3232823032304,23,9,93204,12808,10197,51.8,2.94,2.39,1.54,8.99,1.41,0.9887,14.9,6,2.682,2.523,116209,0.71,0.28,-0.43
"8475177","TBL",60,806,770,30,39,2,5,0,0,0,0,191,0,13,33.7133653632482,30.8269601479988,11,5,50737,1125,6313,51.1,2.13,2.77,0.5,0,0,1,0,7.41,2.392,2.187,58175,0.68,0.31,-0.37
"8475197","NSH",42,549,691,24,27,1,7,0,7,1,195,6,16,0,23.7235449334257,30.0924027197761,8,3,37119,6151,1096,44.3,2.33,2.62,0.78,4.1,3.28,0.8333,9.36,0,2.301,2.919,44366,0.65,0.24,-0.41
"8476453","TBL",86,1558,1330,85,78,21,49,12,42,5,656,0,65,0,73.792581748974,61.230936822074,12,25,86824,16071,1654,53.9,3.52,3.23,2.9,12.1,10.88,NA,14.56,0,3.06,2.539,104549,0.41,0.86,0.45
"8476822","TBL",86,546,757,18,25,8,1,0,0,0,0,309,0,23,18.3006631572498,28.7709323081071,12,9,47681,1037,8669,41.9,1.36,1.89,0.68,0,0,1,0,9.55,1.382,2.172,57387,0.75,0.56,-0.19
"8476887","NSH",88,1419,1221,68,50,28,22,13,21,2,607,0,48,0,61.7718933549477,51.8006178555079,20,33,78955,13661,1526,53.8,3.1,2.28,2.28,8.96,4.72,NA,12.65,0,2.817,2.362,94142,0.76,1.26,0.5
"8476925","NSH",87,949,1011,37,38,8,13,3,4,0,320,332,23,37,43.3069875339279,42.9107818005432,22,18,64282,9622,7747,48.4,2.07,2.13,1.18,2.62,0,1,8.61,17.19,2.425,2.403,81651,0.97,0.79,-0.18
"8477353","TBL",74,619,648,15,28,5,3,0,0,0,0,250,0,16,21.4692191333743,24.2367875064956,10,12,45012,878,7060,48.9,1.2,2.24,0.64,0,0,1,0,8.16,1.717,1.938,52950,0.68,0.82,0.14
