"player_id","season","shots_taken","actual_goals","expected_goals","gax_pooled","toi_total_sec","gax_per60"
"8470613",2026,291,12,6.45484379015397,5.54515620984603,59794,0.333855610185733
"8470621",2026,171,14,16.4503763894318,-2.45037638943177,32142,-0.274449474269006
"8471214",2026,353,24,27.7859474632423,-3.78594746324233,48772,-0.279451547356524
"8471215",2026,192,18,17.94922421308,0.050775786919985,30198,0.00605314368209636
"8471675",2026,242,27,20.0074766496546,6.99252335034544,48249,0.521732762570076
"8471685",2026,163,12,17.0384798393352,-5.0384798393352,51426,-0.35271122431468
"8471724",2026,157,2,4.53157594805816,-2.53157594805816,56742,-0.160616006009823
"8473419",2026,187,23,15.075571364956,7.92442863504402,26568,1.07377081775664
"8473512",2026,193,10,14.692922746588,-4.69292274658801,41013,-0.411930897220804
"8473533",2026,220,26,22.4470561159542,3.55294388404581,53786,0.237805339355314
"8473986",2026,217,18,17.4489986055996,0.551001394400373,54134,0.0366424986116183
"8474037",2026,153,15,16.6380762927583,-1.63807629275835,27579,-0.213824817938651
"8474141",2026,227,14,16.416410572594,-2.41641057259404,41666,-0.208781213971548
"8474150",2026,227,12,14.0866985222674,-2.0866985222674,47551,-0.15798016193482
"8474563",2026,151,4,4.43891434447141,-0.438914344471414,64758,-0.0243999450275964
"8474564",2026,271,32,25.2173117198981,6.78268828010187,50857,0.480124226917961
"8474578",2026,284,14,10.3451793327695,3.65482066723052,63187,0.208228819251268
"8474586",2026,234,20,22.2083494258695,-2.20834942586952,49387,-0.160974708589918
"8474590",2026,239,9,9.53415428270819,-0.534154282708187,66665,-0.0288450523925519
"8474600",2026,220,11,9.56579174019862,1.43420825980138,59570,0.0866736567951143
"8475149",2026,161,17,12.1366262445226,4.86337375547737,46056,0.380149068953416
"8475158",2026,200,22,22.6806203682209,-0.68062036822085,52511,-0.0466613343031948
"8475166",2026,265,26,29.2517553541693,-3.25175535416929,49675,-0.23565816356335
"8475169",2026,255,11,15.7997891686391,-4.79978916863911,35748,-0.483362454042206
"8475170",2026,170,15,17.6266000326723,-2.62660003267229,43721,-0.216275019272666
