"team_abbrev","season","team_pp_effect_raw","team_pk_effect_raw"
"TBL",2017,-0.000245106968357421,0.00251050184307709
"BOS",2017,-0.000869427860264429,0.00241728648014087
"CHI",2017,0.000236176349287661,0.00125768311090285
"MIN",2017,0.000465834527476963,0.000957507067906751
"DET",2017,0.00162633128207201,-0.000252292880945413
"TOR",2017,0.00210064820879485,-0.000871750136096527
"OTT",2017,-0.00128921386275292,0.00242158209857162
"PIT",2017,0.00206378261517898,-0.00100913604567858
"NYI",2017,0.000369820841403057,0.000487725417061104
"CGY",2017,2.13158287953891e-05,0.000735989673563738
"NSH",2017,-0.000731254170160295,0.0014506272221665
"WSH",2017,0.000218160458851338,0.000207082378915629
"EDM",2017,0.00137787973255828,-0.00102760850428314
"DAL",2017,0.00107359328953866,-0.000756275082715412
"CAR",2017,0.00111376359822201,-0.000961541633704311
"PHI",2017,-0.000775439855878905,0.000580398508674057
"FLA",2017,-0.00128316262849505,0.00106005090236267
"NJD",2017,0.00283881372789084,-0.00311235694528598
"WPG",2017,0.000192322406805999,-0.00060599574929406
"BUF",2017,-0.00100416162291082,0.000391202471724291
"NYR",2017,0.000833940358999678,-0.00146870387071694
"STL",2017,-0.00127876099891934,0.000485404809132095
"LAK",2017,-0.00169751821126514,0.000815867108886392
"CBJ",2017,0.00152202714059573,-0.00256054316354681
"SJS",2017,-0.00053781537093938,-0.000510956139352925
"ARI",2017,-0.00118708041819595,7.25114654966992e-07
"COL",2017,-0.00142810598200222,0.000236168907150931
"MTL",2017,-0.00208408142101239,0.000412226358396075
"ANA",2017,-9.34779244245681e-05,-0.00207267644022349
"VAN",2017,-0.00154659387937205,-0.00122336203411961
