"team_abbrev","season","team_off_effect_raw","team_def_effect_raw"
"MIN",2017,0.000327557617589729,0.00268121951936014
"PIT",2017,0.00221917075044578,-0.000576556895921342
"NJD",2017,0.00261811795176207,-0.00149303078647007
"TOR",2017,0.00166866230135379,-0.000629492406690032
"CHI",2017,0.00130476485353673,-0.000425372756596648
"TBL",2017,-0.000337358535101132,0.00116246530819051
"ANA",2017,-0.000667419161701283,0.0014503121573637
"STL",2017,0.000238397795288037,0.000427737030106996
"WPG",2017,0.00105701210584992,-0.000461172534635634
"DET",2017,0.000495134523051958,-0.000132153988218889
"WSH",2017,-0.000685656420399036,0.00100769484079737
"CBJ",2017,0.00154105272018767,-0.00125799554017548
"MTL",2017,-0.000571953048409206,0.000837052380312451
"NYI",2017,0.00101952599539345,-0.00096178511335198
"NYR",2017,0.000532580136428562,-0.00050535726623912
"CGY",2017,-0.00036288942210781,0.00036484751546059
"NSH",2017,-0.000947192261541201,0.000798647205253885
"EDM",2017,0.000671100637682516,-0.000984019885018442
"OTT",2017,-0.00161930408256399,0.00120689746272207
"DAL",2017,0.000379719857524816,-0.000884780905822102
"BUF",2017,-0.00165905545124792,0.00112287129473598
"BOS",2017,-0.000704999923505442,0.000132497446245841
"CAR",2017,0.00058417418954906,-0.00128326518909338
"SJS",2017,0.000813265436755475,-0.00156558433185936
"PHI",2017,-0.0010066945724523,0.000172550412486967
"COL",2017,-0.00251812512121491,0.00156792104274748
"VAN",2017,-0.000382816663872833,-0.00095300757024053
"LAK",2017,-0.000452683894796964,-0.000915821136104097
"FLA",2017,-0.00164556930151914,8.97895557223726e-05
"ARI",2017,-0.00196581074456108,4.16971289546322e-05
