"team_abbrev","gp_onice","cf_5v5","ca_5v5","gf_5v5","ga_5v5","pp_goals","pp_shots","pk_goals_against","pk_shots_against","xg_for","xg_against","toi_5v5_sec","toi_pp_sec","toi_pk_sec","cf_pct_5v5","gf_per60_5v5","ga_per60_5v5","pp_goals_per60","pk_ga_per60"
"OTT",101,4485,4724,170,177,48,796,60,130,0,0,296451,28054,26441,48.7,2.06,2.15,6.16,8.17
"TOR",88,4286,4238,181,173,60,756,46,89,0,0,256958,23079,25170,50.3,2.54,2.42,9.36,6.58
"CHI",86,3980,3922,165,149,41,609,48,41,0,0,256555,21547,19342,50.4,2.32,2.09,6.85,8.93
"STL",93,3845,3923,171,152,51,688,46,81,0,0,268605,23391,27337,49.5,2.29,2.04,7.85,6.06
"EDM",95,4282,4349,187,164,64,864,49,103,0,0,278167,25560,25467,49.6,2.42,2.12,9.01,6.93
"CGY",86,3684,3602,142,153,57,760,53,116,0,0,243323,25222,26884,50.6,2.1,2.26,8.14,7.1
"SJS",88,4154,4006,159,142,45,814,41,70,0,0,256383,26032,21306,50.9,2.23,1.99,6.22,6.93
"LAK",82,3971,3251,128,133,44,753,34,93,0,0,236094,22941,22853,55,1.95,2.03,6.9,5.36
"BUF",82,3486,3895,126,155,57,664,50,68,0,0,239396,21344,22445,47.2,1.89,2.33,9.61,8.02
"MTL",88,4275,3860,161,138,47,561,48,78,0,0,259882,21852,23068,52.6,2.23,1.91,7.74,7.49
"NYR",94,4114,4478,192,174,50,747,48,132,0,0,276319,25229,23108,47.9,2.5,2.27,7.13,7.48
"NYI",82,3695,4037,177,170,33,615,40,76,0,0,239851,20747,21394,47.8,2.66,2.55,5.73,6.73
"PIT",107,4852,5007,235,194,76,898,64,114,0,0,312030,29556,29044,49.2,2.71,2.24,9.26,7.93
"WSH",95,4401,3989,203,135,67,827,49,119,0,0,272902,26078,27969,52.5,2.68,1.78,9.25,6.31
"CBJ",87,4006,3919,179,146,42,540,42,84,0,0,254366,19221,22173,50.5,2.53,2.07,7.87,6.82
"BOS",88,4206,3531,151,157,56,771,43,115,0,0,253248,24253,26692,54.4,2.15,2.23,8.31,5.8
"TBL",82,3595,3419,140,145,59,710,48,72,0,0,232822,23889,24471,51.3,2.16,2.24,8.89,7.06
"DET",82,3317,3564,144,162,37,609,45,87,0,0,236798,22526,21276,48.2,2.19,2.46,5.91,7.61
"FLA",82,3513,3445,130,160,44,781,36,109,0,0,231241,24990,23474,50.5,2.02,2.49,6.34,5.52
"NJD",82,3199,3495,114,150,44,621,51,45,0,0,235007,23077,22708,47.8,1.75,2.3,6.86,8.09
"MIN",87,3931,3928,191,155,49,675,38,76,0,0,256587,22474,20435,50,2.68,2.17,7.85,6.69
"WPG",82,3399,3500,157,166,44,699,60,95,0,0,232548,23685,23346,49.3,2.43,2.57,6.69,9.25
"CAR",82,3832,3637,145,170,41,640,31,92,0,0,242741,21167,18228,51.3,2.15,2.52,6.97,6.12
"DAL",82,3852,3839,149,154,46,697,62,85,0,0,236636,22423,21803,50.1,2.27,2.34,7.39,10.24
"ANA",99,4383,4376,183,157,53,937,57,127,0,0,282427,27974,31734,50,2.33,2,6.82,6.47
"NSH",104,4841,4558,202,180,59,846,51,89,0,0,302236,29155,26940,51.5,2.41,2.14,7.29,6.82
"PHI",82,3755,3594,127,154,51,847,50,76,0,0,234099,24959,22376,51.1,1.95,2.37,7.36,8.04
"COL",82,3439,3647,114,193,29,566,62,90,0,0,234733,21493,23827,48.5,1.75,2.96,4.86,9.37
"ARI",82,3412,4163,132,167,36,549,57,103,0,0,238357,21024,22589,45,1.99,2.52,6.16,9.08
"VAN",82,3399,3693,128,158,31,574,52,63,0,0,241558,21045,20087,47.9,1.91,2.35,5.3,9.32
