"player_id","team_abbrev","gp_onice","cf_5v5","ca_5v5","gf_5v5","ga_5v5","ev_goals","ev_assists","pp_goals","pp_assists","pk_ga","pp_shots","pk_shots_against","pp_gf_onice","pk_ga_onice","xg_for_5v5","xg_against_5v5","pen_taken","pen_drawn","toi_5v5_sec","toi_pp_sec","toi_pk_sec","cf_pct_5v5","gf_per60_5v5","ga_per60_5v5","ev_points_per60","pp_points_per60","pk_ga_per60","pk_save_pct","pp_gf_onice_per60","pk_ga_onice_per60","xg_for_per60_5v5","xg_against_per60_5v5","toi_all_tracked_sec","pen_taken_per60","pen_drawn_per60","penalty_diff_per60"
"8476887","NSH",45,714,654,36,39,10,8,0,0,21,15,32,0,2,30.3854985391372,27.4030497771746,10,10,40237,1799,5663,52.2,3.22,3.49,1.61,0,13.35,0.3438,0,1.27,2.719,2.452,47699,0.75,0.75,0
"8476888","CBJ",32,379,436,30,34,4,7,0,0,4,2,9,0,0,17.3626090621692,20.071983567439,3,3,23745,586,1693,46.5,4.55,5.15,1.67,0,8.51,0.5556,0,0,2.632,3.043,26024,0.42,0.42,0
"8476914","CBJ",33,1183,1384,51,71,0,1,0,0,18,30,30,3,1,47.302589629835,59.7666040605982,1,1,88560,6695,6552,46.1,2.07,2.89,0.04,0,9.89,0.4,1.61,0.55,1.923,2.43,101807,0.04,0.04,0
"8476925","NSH",60,570,697,47,37,7,7,0,2,21,27,1,4,0,25.4388936866308,28.6781537013012,10,5,42898,7117,1555,45,3.94,3.11,1.17,1.01,48.62,-20,2.02,0,2.135,2.407,51570,0.7,0.35,-0.35
"8476988","NSH",58,704,835,43,52,1,2,0,1,25,37,1,3,0,31.67569836037,37.1714343992062,13,13,48680,7075,985,45.7,3.18,3.85,0.22,0.51,91.37,-24,1.53,0,2.342,2.749,56740,0.82,0.82,0
"8477416","CBJ",56,744,864,52,66,13,19,0,0,9,3,27,0,2,32.87792241649,38.8576364993933,3,1,50522,1068,4338,46.3,3.71,4.7,2.28,0,7.47,0.6667,0,1.66,2.343,2.769,55928,0.19,0.06,-0.13
"8477424","NSH",42,1711,1886,88,61,0,1,0,0,29,66,42,3,1,72.3444796100957,81.4317108280375,1,1,121804,13399,11346,47.6,2.6,1.8,0.03,0,9.2,0.3095,0.81,0.32,2.138,2.407,146549,0.02,0.02,0
"8477495","CBJ",56,1072,1161,66,92,1,13,0,0,19,30,30,2,2,44.9376347491634,53.949377065539,13,3,69144,5519,5348,48,3.44,4.79,0.73,0,12.79,0.3667,1.3,1.35,2.34,2.809,80011,0.58,0.13,-0.45
"8477503","CBJ",54,642,735,42,59,6,12,0,0,8,0,18,0,1,29.3839592676959,34.4566783042392,15,10,41789,688,4127,46.6,3.62,5.08,1.55,0,6.98,0.5556,0,0.87,2.531,2.968,46604,1.16,0.77,-0.39
"8478042","NSH",52,749,674,47,38,6,11,0,0,20,9,23,0,1,33.2478448750917,30.3497341935872,8,14,40959,1905,6014,52.6,4.13,3.34,1.49,0,11.97,0.1304,0,0.6,2.922,2.668,48878,0.59,1.03,0.44
"8478460","CBJ",35,681,674,42,53,6,8,0,0,9,16,13,2,1,28.7168476253282,29.3153045295767,4,6,41536,3003,3813,50.3,3.64,4.59,1.21,0,8.5,0.3077,2.4,0.94,2.489,2.541,48352,0.3,0.45,0.15
"8478567","CBJ",35,410,479,25,47,1,4,0,0,8,1,0,0,0,17.8764363669325,22.0709353075945,5,4,28690,512,104,46.1,3.14,5.9,0.63,0,276.92,NA,0,0,2.243,2.769,29306,0.61,0.49,-0.12
"8478882","CBJ",55,781,1009,57,77,2,10,0,0,21,43,2,4,0,37.4894163262215,44.5914923070814,7,2,55617,5687,974,43.6,3.69,4.98,0.78,0,77.62,-9.5,2.53,0,2.427,2.886,62278,0.4,0.12,-0.28
"8479316","NSH",44,527,627,44,34,12,9,0,0,5,7,7,1,0,25.4032733162749,26.2447498862748,5,9,33473,1444,2404,45.7,4.73,3.66,2.26,0,7.49,0.2857,2.49,0,2.732,2.823,37321,0.48,0.87,0.39
"8479371","NSH",40,643,647,26,34,1,8,0,0,23,14,3,1,0,27.5565991124604,28.0155875273631,9,4,38825,4197,1805,49.8,2.41,3.15,0.83,0,45.87,-6.6667,0.86,0,2.555,2.598,44827,0.72,0.32,-0.4
"8479400","WPG",53,681,652,50,42,6,7,0,0,9,1,21,0,4,30.524956477544,31.9790777802118,18,13,41794,645,4935,51.1,4.31,3.62,1.12,0,6.57,0.5714,0,2.92,2.629,2.755,47374,1.37,0.99,-0.38
"8480074","CBJ",49,581,708,34,54,4,9,0,0,6,22,12,2,1,24.3707708200673,32.0916604621161,11,10,39240,2998,2546,45.1,3.12,4.95,1.19,0,8.48,0.5,2.4,1.41,2.236,2.944,44784,0.88,0.8,-0.08
"8480205","CBJ",20,228,227,17,16,2,2,0,0,5,0,3,0,1,9.94122407637769,8.58592478581704,0,0,14007,210,962,50.1,4.37,4.11,1.03,0,18.71,-0.6667,0,3.74,2.555,2.207,15179,0,0,0
"8480762","CBJ",56,599,601,43,50,5,10,1,0,9,27,1,1,1,26.2069867764949,28.6439533810335,2,4,36908,3368,827,49.9,4.19,4.88,1.46,1.07,39.18,-8,1.07,4.35,2.556,2.794,41103,0.18,0.35,0.17
"8480853","CBJ",24,244,293,17,20,0,4,0,0,3,5,0,1,0,11.8065776475705,13.1443664001854,3,5,16624,682,362,45.4,3.68,4.33,0.87,0,29.83,NA,5.28,0,2.557,2.846,17668,0.61,1.02,0.41
"8482062","NSH",1,5,13,1,0,0,0,0,0,0,0,0,0,0,0.173946998082101,0.198168382921722,0,0,357,0,0,27.8,10.08,0,0,NA,NA,NA,NA,NA,1.754,1.998,357,0,0,0
"8470966","CGY",56,927,852,61,63,5,10,0,0,24,55,43,2,6,42.7495862841315,41.8146445949096,7,9,57842,7528,7268,52.1,3.8,3.92,0.93,0,11.89,0.4419,0.96,2.97,2.661,2.602,72638,0.35,0.45,0.1
"8471218","WPG",58,811,911,58,69,10,17,0,0,22,2,49,0,4,40.1447660218691,51.5109253142437,19,10,54134,1628,6992,47.1,3.86,4.59,1.8,0,11.33,0.551,0,2.06,2.67,3.426,62754,1.09,0.57,-0.52
"8473453","WPG",64,378,523,28,21,3,4,2,0,13,19,2,4,0,16.2552002343291,22.057668688416,1,5,30106,5981,690,42,3.35,2.51,0.84,1.2,67.83,-5.5,2.41,0,1.944,2.638,36777,0.1,0.49,0.39
"8473473","CGY",56,662,627,57,57,8,13,0,0,6,6,28,0,5,33.3318939791061,29.7267774229986,13,5,38647,976,5152,51.4,5.31,5.31,1.96,0,4.19,0.7857,0,3.49,3.105,2.769,44775,1.05,0.4,-0.65
"8473618","WPG",64,556,617,44,30,7,8,0,0,1,0,28,0,3,24.8697182773612,25.3936404467386,10,14,38275,193,6126,47.4,4.14,2.82,1.41,0,0.59,0.9643,0,1.76,2.339,2.388,44594,0.81,1.13,0.32
"8474150","CGY",54,757,661,56,51,7,16,1,1,19,36,35,2,6,37.3118789447763,31.0218596307095,14,9,43556,5534,5415,53.4,4.63,4.22,1.9,1.3,12.63,0.4571,1.3,3.99,3.084,2.564,54505,0.92,0.59,-0.33
"8474593","CGY",43,1809,1585,86,73,0,0,0,0,26,55,62,1,4,83.4048034590087,69.593981343176,1,2,120185,11792,12312,53.3,2.58,2.19,0,0,7.6,0.5806,0.31,1.17,2.498,2.085,144289,0.02,0.05,0.03
"8475762","WPG",64,992,1096,60,83,3,10,0,0,21,38,4,4,1,43.5379355085315,55.9101100082626,10,2,69886,7629,1526,47.5,3.09,4.28,0.67,0,49.54,-4.25,1.89,2.36,2.243,2.88,79041,0.46,0.09,-0.37
"8475807","CGY",44,406,367,28,27,1,6,0,0,15,31,1,3,0,18.7200708338059,16.1334596672677,3,8,23884,4697,643,52.5,4.22,4.07,1.06,0,83.98,-14,2.3,0,2.822,2.432,29224,0.37,0.99,0.62
"8476300","CGY",38,534,512,26,47,0,4,0,0,9,8,5,1,1,23.970729403547,22.8910437300219,10,2,31429,3342,725,51.1,2.98,5.38,0.46,0,44.69,-0.8,1.08,4.97,2.746,2.622,35496,1.01,0.2,-0.81
"8476346","CGY",56,777,725,56,52,11,16,0,0,10,14,63,2,6,38.3352789690834,34.6830186060397,3,18,49072,1355,8111,51.7,4.11,3.81,1.98,0,4.44,0.8413,5.31,2.66,2.812,2.544,58538,0.18,1.11,0.93
"8476392","WPG",60,644,748,50,48,10,14,2,0,15,37,16,4,2,25.9650199258758,33.4306054823974,4,11,45224,6313,3558,46.3,3.98,3.82,1.91,1.14,15.18,0.0625,2.28,2.02,2.067,2.661,55095,0.26,0.72,0.46
