season,game_type,team_id,team_full,gp,wins,losses,ot_losses,ties,points,point_pct,wins_regulation,wins_regulation_ot,wins_shootout,goals_for,goals_against,gf_per_game,ga_per_game,shots_for_per_game,shots_against_per_game,pp_pct,pp_net_pct,pk_pct,pk_net_pct,fo_win_pct,shutouts
2018,2,18,Nashville Predators,82,53,18,11,NA,117,0.71341,42,47,6,261,204,3.18292,2.4878,32.20731,32.42682,0.212454,0.194139,0.819398,0.852842,0.53301,11
2018,2,52,Winnipeg Jets,82,52,20,10,NA,114,0.69512,43,48,4,273,216,3.32926,2.63414,32.2317,31.86585,0.233576,0.208029,0.817519,0.850364,0.524035,7
2018,2,14,Tampa Bay Lightning,82,54,23,5,NA,113,0.68902,42,48,6,290,234,3.53658,2.85365,32.68292,32.71951,0.23913,0.22826,0.761195,0.794776,0.48222,8
2018,2,6,Boston Bruins,82,50,20,12,NA,112,0.68292,41,47,3,267,211,3.25609,2.57317,32.96341,29.25609,0.235521,0.196911,0.836735,0.873469,0.507483,4
2018,2,54,Vegas Golden Knights,82,51,24,7,NA,109,0.66463,39,47,4,268,225,3.26829,2.7439,32.75609,30.7439,0.209677,0.189516,0.814346,0.848101,0.489071,5
2018,2,15,Washington Capitals,82,49,26,7,NA,105,0.64024,38,46,3,256,238,3.12195,2.90243,29.01219,31.86585,0.225409,0.192622,0.802974,0.817843,0.504086,3
2018,2,10,Toronto Maple Leafs,82,49,26,7,NA,105,0.64024,37,42,7,270,230,3.29268,2.80487,32.19512,33.85365,0.25,0.227678,0.813853,0.831168,0.518218,8
2018,2,24,Anaheim Ducks,82,44,25,13,NA,101,0.61585,35,40,4,231,209,2.81707,2.54878,30.18292,33.12195,0.17757,0.158878,0.832117,0.868613,0.512615,9
2018,2,30,Minnesota Wild,82,45,26,11,NA,101,0.61585,38,42,3,250,229,3.04878,2.79268,30.19512,31.32926,0.204166,0.179166,0.8125,0.838235,0.49804,6
2018,2,28,San Jose Sharks,82,45,27,10,NA,100,0.60975,35,40,5,247,226,3.01219,2.75609,32.95121,30.34146,0.206225,0.194552,0.848215,0.883928,0.512522,6
2018,2,5,Pittsburgh Penguins,82,47,29,6,NA,100,0.60975,33,45,2,270,248,3.29268,3.02439,34.42682,31.13414,0.261538,0.25,0.8,0.822641,0.50254,4
2018,2,26,Los Angeles Kings,82,45,29,8,NA,98,0.59756,34,43,2,237,202,2.89024,2.46341,31.02439,30.93902,0.204166,0.1875,0.85,0.86923,0.497338,8
2018,2,4,Philadelphia Flyers,82,42,26,14,NA,98,0.59756,31,40,2,249,236,3.03658,2.87804,32.08536,29.85365,0.206896,0.168582,0.757848,0.7713,0.532626,3
2018,2,1,New Jersey Devils,82,44,29,9,NA,97,0.59146,33,39,5,243,240,2.96341,2.92682,31.69512,31.90243,0.214285,0.190476,0.81783,0.864341,0.469877,2
2018,2,29,Columbus Blue Jackets,82,45,30,7,NA,97,0.59146,30,39,6,236,226,2.87804,2.75609,33.67073,31.30487,0.171806,0.140969,0.761683,0.780373,0.484066,5
2018,2,13,Florida Panthers,82,44,30,8,NA,96,0.58536,38,41,3,245,243,2.9878,2.96341,34.41463,34.60975,0.188755,0.168674,0.801763,0.845814,0.507448,7
