"player_id","gp_onice","shots_5v5","ga_5v5","shots_pk","ga_pk","xg_faced","sv_pct_5v5","sv_pct_pk","actual_ga_tracked","gsax"
"8481519",55,1961,116,49,1,157.954281283353,0.9408,0.9796,117,40.95
"8475683",52,1522,110,47,4,124.804561544879,0.9277,0.9149,114,10.8
"8478048",51,1659,81,51,6,134.715963537747,0.9512,0.8824,87,47.72
"8481668",42,1331,92,58,4,105.454457720334,0.9309,0.931,96,9.45
"8475809",56,1621,77,56,8,123.105438104554,0.9525,0.8571,85,38.11
"8475311",50,1444,83,49,4,114.132723118033,0.9425,0.9184,87,27.13
"8478470",25,721,53,18,1,73.4777499614574,0.9265,0.9444,54,19.48
"8476932",26,819,59,23,2,68.0893305224599,0.928,0.913,61,7.09
"8480313",58,1904,94,64,9,167.281201560036,0.9506,0.8594,103,64.28
"8480280",61,2015,102,75,7,177.824149593973,0.9494,0.9067,109,68.82
"8481692",57,1808,116,65,1,145.276701806608,0.9358,0.9846,117,28.28
"8479973",53,1718,105,44,6,142.456097594171,0.9389,0.8636,111,31.46
"8478499",27,735,56,21,2,55.8579753303784,0.9238,0.9048,58,-2.14
"8476341",40,1328,64,47,3,96.9397966489778,0.9518,0.9362,67,29.94
"8476914",32,985,63,30,2,83.137757691904,0.936,0.9333,65,18.14
"8482821",26,960,75,21,1,84.4443303134467,0.9219,0.9524,76,8.44
"8479312",46,1388,77,44,2,116.348605299267,0.9445,0.9545,79,37.35
"8482487",62,2084,114,49,2,183.121920264806,0.9453,0.9592,116,67.12
"8476434",57,1794,100,51,3,150.312403641365,0.9443,0.9412,103,47.31
"8475660",34,983,69,28,1,76.4701720579178,0.9298,0.9643,70,6.47
"8476883",65,1886,110,65,2,161.858771935644,0.9417,0.9692,112,49.86
"8476999",53,1598,97,50,0,127.402686727088,0.9393,1,97,30.4
"8478435",62,1940,86,61,5,147.062240228901,0.9557,0.918,91,56.06
"8477465",34,1052,69,31,2,88.5144323060522,0.9344,0.9355,71,17.51
"8478009",55,1851,101,50,6,161.533503867569,0.9454,0.88,107,54.53
"8474593",44,1350,95,37,2,107.214948820416,0.9296,0.9459,97,10.21
"8475883",51,1453,101,48,2,133.300547465624,0.9305,0.9583,103,30.3
"8476412",41,1206,92,35,1,93.0470548506419,0.9237,0.9714,93,0.05
"8479406",51,1751,96,51,2,132.425548280851,0.9452,0.9608,98,34.43
"8482982",55,1865,97,40,2,146.11904435094,0.948,0.95,99,47.12
"8477424",59,1992,135,68,1,157.007793713536,0.9322,0.9853,136,21.01
"8479979",60,1796,106,54,6,151.49514901088,0.941,0.8889,112,39.5
"8476945",57,1874,114,41,2,152.117095719193,0.9392,0.9512,116,36.12
"8478872",70,2193,132,63,4,184.563355303486,0.9398,0.9365,136,48.56
"8477967",20,628,37,14,2,54.4418756263913,0.9411,0.8571,39,15.44
"8481033",34,1059,59,22,3,73.4213705681614,0.9443,0.8636,62,11.42
"8477968",40,1234,77,40,2,100.012119701089,0.9376,0.95,79,21.01
"8480843",68,2186,143,65,6,188.254484912686,0.9346,0.9077,149,39.25
"8478916",47,1666,94,44,5,125.307346165268,0.9436,0.8864,99,26.31
"8480981",46,1525,82,39,3,117.844811769872,0.9462,0.9231,85,32.84
"8481035",33,936,70,25,3,76.8243108566676,0.9252,0.88,73,3.82
"8478007",30,981,65,20,1,81.243555277586,0.9337,0.95,66,15.24
"8475717",16,492,40,13,2,47.4367836994934,0.9187,0.8462,42,5.44
"8482137",47,1514,109,50,5,131.290579416091,0.928,0.9,114,17.29
"8475852",10,283,24,9,0,25.9234303071862,0.9152,1,24,1.92
"8471734",25,840,57,21,1,66.2836327107507,0.9321,0.9524,58,8.28
"8479292",21,679,46,21,1,62.2606098794204,0.9323,0.9524,47,15.26
"8477992",25,768,50,19,2,62.7122554160014,0.9349,0.8947,52,10.71
"8477480",25,819,49,20,2,64.3142628054775,0.9402,0.9,51,13.31
"8480193",33,1097,71,28,1,89.2303588928335,0.9353,0.9643,72,17.23
"8474596",37,1299,81,21,0,105.705668403432,0.9376,1,81,24.71
"8480947",47,1583,113,38,1,132.525064976624,0.9286,0.9737,114,18.53
"8482661",45,1612,80,28,2,122.057547591161,0.9504,0.9286,82,40.06
"8477970",22,581,45,23,1,50.6928367644723,0.9225,0.9565,46,4.69
"8481020",28,876,45,23,1,74.329761923349,0.9486,0.9565,46,28.33
"8480051",3,93,12,0,0,6.32029050099663,0.871,NA,12,-5.68
"8483548",43,1169,72,34,1,100.220264299336,0.9384,0.9706,73,27.22
"8482447",20,523,46,18,2,40.6528564028704,0.912,0.8889,48,-7.35
"8482445",31,994,59,26,2,85.0090228112822,0.9406,0.9231,61,24.01
"8475831",32,1080,52,21,2,82.2680328461574,0.9519,0.9048,54,28.27
"8479496",30,926,56,26,3,77.0559404116066,0.9395,0.8846,59,18.06
"8479193",30,916,46,27,1,75.0129823449388,0.9498,0.963,47,28.01
"8476899",5,132,4,4,0,10.5430070852453,0.9697,1,4,6.54
"8482076",3,105,7,0,0,9.44768038124312,0.9333,NA,7,2.45
"8481551",16,532,31,12,1,39.9510749130859,0.9417,0.9167,32,7.95
"8481529",4,130,5,2,0,9.27298858168069,0.9615,1,5,4.27
"8480045",41,1269,73,33,4,102.857937992288,0.9425,0.8788,77,25.86
"8482761",8,225,18,8,0,19.4167930874974,0.92,1,18,1.42
"8478406",42,1229,68,39,4,100.801616240089,0.9447,0.8974,72,28.8
"8482783",4,50,7,1,0,5.08617485666764,0.86,1,7,-1.91
"8481611",8,218,15,12,1,16.7096340612916,0.9312,0.9167,16,0.71
"8483710",20,673,37,15,0,55.3905177066918,0.945,1,37,18.39
"8483703",5,142,8,2,0,10.6348018993158,0.9437,1,8,2.63
"8479361",39,1464,91,31,5,111.645920517622,0.9378,0.8387,96,15.65
"8480238",1,39,5,0,0,3.82625220576301,0.8718,NA,5,-1.17
"8484268",21,733,55,16,0,61.7406335379055,0.925,1,55,6.74
"8478024",22,661,49,23,1,56.6164757458027,0.9259,0.9565,50,6.62
"8483114",3,82,8,3,0,5.84228009247454,0.9024,1,8,-2.16
"8479394",40,1313,84,35,1,94.4418322841375,0.936,0.9714,85,9.44
"8483746",1,18,2,0,0,1.34915664047003,0.8889,NA,2,-0.65
"8484170",18,503,29,9,1,47.4853774171206,0.9423,0.8889,30,17.49
"8482515",3,97,7,1,0,10.378384303709,0.9278,1,7,3.38
"8478971",37,1140,72,29,3,89.5878301811463,0.9368,0.8966,75,14.59
"8477831",1,32,2,1,0,2.21020380145637,0.9375,1,2,0.21
"8477405",1,5,2,0,0,0.774475269019604,0.6,NA,2,-1.23
"8482411",1,13,1,1,1,0.950917602982372,0.9231,0,2,-1.05
"8481544",2,38,4,0,0,3.61842186929425,0.8947,NA,4,-0.38
"8482123",3,99,7,6,0,7.60320455138572,0.9293,1,7,0.6
"8477484",6,166,14,6,1,14.9990153020772,0.9157,0.8333,15,0
"8473503",14,400,22,14,2,30.1920982222073,0.945,0.8571,24,6.19
"8483532",4,131,7,7,0,10.7428338734317,0.9466,1,7,3.74
"8480022",1,2,0,1,0,0.134897526353598,1,1,0,0.13
"8476316",1,41,4,1,0,4.22096540709026,0.9024,1,4,0.22
"8482193",3,115,4,2,0,9.16630652023014,0.9652,1,4,5.17
"8483668",3,123,8,3,0,8.35936673113611,0.935,1,8,0.36
"8477990",1,28,3,1,0,2.6304762220243,0.8929,1,3,-0.37
"8482949",1,41,1,0,0,3.4934680016886,0.9756,NA,1,2.49
"8484910",1,44,2,0,0,3.01034216419794,0.9545,NA,2,1.01
