"game_id","stint_start","stint_end","duration_sec","home_players","away_players","shots_home","shots_away","home_abbrev","away_abbrev"
"2025020126",1467,1470,3,"8476331;8476460;8477480;8478398;8480145","8475172;8476456;8477346;8479402;8481692",0,0,"WPG","CGY"
"2025020126",1470,1471,1,"8476331;8476460;8477480;8478398;8480145","8475172;8477346;8479402;8481068;8481692",0,0,"WPG","CGY"
"2025020126",1471,1478,7,"8476331;8476460;8477480;8477504;8478398","8475172;8477346;8479402;8481068;8481692",0,0,"WPG","CGY"
"2025020126",1478,1519,41,"8476331;8476460;8477480;8477504;8478398","8477346;8479402;8481068;8481692;8482074",0,0,"WPG","CGY"
"2025020183",1839,1866,27,"8475158;8476869;8476887;8477424;8480246","8475172;8476456;8478397;8480860;8482445",0,0,"NSH","CGY"
"2025020186",2357,2367,10,"8477949;8480045;8480802;8480839;8480891","8474590;8476880;8478440;8479292;8479345",0,1,"BUF","WSH"
"2025020190",2892,2922,30,"8476463;8478493;8479406;8481557;8482122","8477967;8477969;8479425;8480012;8480748",0,0,"MIN","VAN"
"2025020194",2398,2400,2,"8478831;8479343;8479410;8480849;8483431","8475167;8476826;8476878;8477992;8478416",0,0,"UTA","TBL"
"2025020215",3131,3134,3,"8475172;8477346;8477810;8480797;8481692","8476432;8476923;8478460;8482660;8482982",0,0,"CGY","CBJ"
"2025020272",433,447,14,"8476434;8477946;8481542;8482078;8482762","8478873;8480843;8481563;8481605;8484153",0,0,"DET","ANA"
"2025020272",2293,2319,26,"8476434;8477946;8481542;8482078;8482762","8476885;8478873;8480843;8482803;8484153",0,0,"DET","ANA"
"2025020272",2319,2330,11,"8476434;8477946;8481542;8482078;8482762","8476885;8480843;8482803;8484153;8484762",0,0,"DET","ANA"
"2025020274",3251,3284,33,"8475745;8477497;8478460;8478500;8482982","8475218;8475717;8477934;8478402;8480803",0,0,"CBJ","EDM"
"2025020283",1713,1716,3,"8475683;8477495;8477933;8478542;8478859","8476883;8477404;8481719;8482201;8482929",0,0,"FLA","TBL"
"2025020283",1716,1731,15,"8475683;8477495;8477933;8478542;8478859","8476453;8476883;8478010;8481719;8482929",0,0,"FLA","TBL"
"2025020283",1731,1742,11,"8475683;8477495;8477933;8478542;8478859","8476453;8476883;8478010;8478178;8482929",0,0,"FLA","TBL"
"2025020285",489,518,29,"8476875;8478470;8480018;8480865;8481540","8477507;8477956;8479325;8480280;8482177",0,0,"MTL","BOS"
"2025020285",2241,2253,12,"8478470;8481593;8482775;8483457;8484984","8476854;8478401;8480280;8480355;8482511",0,0,"MTL","BOS"
"2025020297",3570,3586,16,"8477992;8479383;8481719;8482090;8482929","8480947;8482055;8482691;8483678;8484240",0,0,"TBL","VAN"
"2025020416",926,955,29,"8474600;8475158;8476887;8477424;8479980","8475172;8478397;8480860;8481068;8482445",0,0,"NSH","CGY"
"2025020416",955,956,1,"8474600;8475158;8476887;8477424;8479980","8475172;8478397;8481068;8482165;8482445",0,0,"NSH","CGY"
"2025020416",956,958,2,"8474600;8475158;8476887;8477424;8479980","8475172;8477346;8481068;8482165;8482445",0,0,"NSH","CGY"
"2025020416",958,961,3,"8474600;8475287;8476887;8477424;8479980","8475172;8477346;8481068;8482165;8482445",0,0,"NSH","CGY"
"2025020416",961,964,3,"8474600;8475287;8476887;8477424;8479980","8475172;8476456;8477346;8482165;8482445",0,0,"NSH","CGY"
"2025020416",964,966,2,"8474600;8475287;8476887;8477424;8479980","8476456;8477346;8480028;8482165;8482445",0,0,"NSH","CGY"
"2025020416",966,970,4,"8474564;8474600;8475287;8477424;8479980","8476456;8477346;8480028;8482165;8482445",0,0,"NSH","CGY"
"2025020429",179,192,13,"8473419;8475683;8477495;8478859;8482113","8474600;8475287;8476887;8477424;8479980",0,0,"FLA","NSH"
"2025020437",1573,1613,40,"8476392;8477480;8480014;8480049;8480145","8477949;8480045;8480802;8480807;8480839",0,0,"WPG","BUF"
"2025020438",1986,1991,5,"8476902;8478449;8479979;8480027;8480036","8475200;8477505;8480043;8482137;8482667",0,0,"DAL","SJS"
"2025020439",2333,2362,29,"8478498;8479425;8480012;8480800;8480947","8478474;8478507;8478872;8479410;8480855",0,0,"VAN","UTA"
"2025020447",2064,2084,20,"8476906;8478427;8478970;8482093;8483548","8474600;8476887;8477424;8482482;8482768",0,0,"CAR","NSH"
"2025020449",2756,2778,22,"8474563;8475311;8476479;8479675;8479998","8477444;8481519;8481568;8484144;8484783",0,0,"LAK","CHI"
"2025020450",3036,3052,16,"8475218;8477934;8478402;8479973;8480803","8476460;8478398;8480049;8480145;8483114",0,0,"EDM","WPG"
"2025020451",530,574,44,"8478444;8478856;8479425;8480800;8484268","8476463;8478493;8481557;8482122;8482661",0,0,"VAN","MIN"
"2025020451",574,582,8,"8474574;8478444;8478856;8480800;8484268","8476463;8478493;8481557;8482122;8482661",0,0,"VAN","MIN"
"2025020451",582,605,23,"8474574;8477969;8478444;8478856;8484268","8476463;8478493;8481557;8482122;8482661",0,0,"VAN","MIN"
"2025020451",605,615,10,"8474574;8477969;8478444;8480748;8484268","8476463;8478493;8481557;8482122;8482661",0,0,"VAN","MIN"
"2025020451",615,616,1,"8474574;8477969;8478444;8480748;8484268","8474716;8478493;8481557;8482122;8482661",0,0,"VAN","MIN"
"2025020451",616,619,3,"8474574;8477969;8480144;8480748;8484268","8474716;8478493;8481557;8482122;8482661",0,0,"VAN","MIN"
"2025020451",619,621,2,"8474574;8477969;8480144;8480748;8484268","8474716;8478864;8481557;8482122;8482661",0,0,"VAN","MIN"
"2025020451",621,624,3,"8474574;8477969;8480144;8480748;8484268","8474716;8478864;8481557;8482661;8484798",0,0,"VAN","MIN"
"2025020451",624,629,5,"8474574;8477969;8480144;8480748;8484268","8474716;8475149;8478864;8482661;8484798",0,0,"VAN","MIN"
"2025020451",2966,3003,37,"8474574;8477969;8478444;8478856;8484268","8476463;8478493;8481557;8482122;8482661",0,0,"VAN","MIN"
"2025020451",3003,3009,6,"8477969;8478444;8478856;8480800;8484268","8476463;8478493;8481557;8482122;8482661",0,0,"VAN","MIN"
"2025020452",2400,2412,12,"8474586;8477986;8478916;8479324;8482665","8476434;8477946;8481542;8482078;8482762",0,0,"SEA","DET"
"2025020454",2558,2592,34,"8473419;8477495;8477935;8478859;8480193","8477506;8478445;8479496;8481601;8485366",0,0,"FLA","NYI"
"2025020454",2592,2600,8,"8473419;8477495;8477935;8478859;8480193","8477950;8478445;8479496;8481601;8485366",0,0,"FLA","NYI"
"2025020454",2600,2601,1,"8473419;8477935;8478055;8478859;8480193","8477950;8478445;8479496;8481601;8485366",0,0,"FLA","NYI"
"2025020454",2601,2611,10,"8473419;8477932;8478055;8480193;8482113","8477950;8478445;8479496;8481601;8485366",0,0,"FLA","NYI"
"2025020454",3208,3237,29,"8477495;8477933;8478859;8480193;8482113","8477500;8477950;8478445;8479496;8485366",0,0,"FLA","NYI"
"2025020455",3585,3600,15,"8480336;8480762;8480829;8481611;8482100","8475906;8477968;8478874;8482859;8484806",0,0,"CAR","SJS"
"2025020457",3221,3228,7,"8478851;8480018;8481540;8482487;8483457","8475170;8476412;8476892;8480023;8481598",0,0,"MTL","STL"
"2025020457",3228,3230,2,"8478851;8480018;8481540;8482487;8483457","8476412;8476892;8477402;8480023;8481598",0,0,"MTL","STL"
"2025020458",1993,2018,25,"8471734;8476389;8476468;8478882;8482073","8475188;8475913;8477447;8479353;8479394",0,0,"NYR","VGK"
"2025020458",3482,3505,23,"8471734;8476389;8476468;8478882;8482073","8475913;8476881;8478403;8478483;8479394",0,0,"NYR","VGK"
"2025020458",3505,3529,24,"8471734;8476389;8476468;8478882;8482073","8475913;8476881;8478403;8478483;8481604",0,0,"NYR","VGK"
"2025020463",2492,2520,28,"8474150;8476399;8478397;8480860;8481692","8477949;8479312;8479420;8481524;8482671",0,0,"CGY","BUF"
"2025020466",3543,3576,33,"8476875;8478470;8480865;8482775;8484984","8477416;8477426;8477992;8478178;8480426",0,0,"MTL","TBL"
"2025020467",1372,1383,11,"8476999;8480801;8482116;8482245;8484321","8474593;8476462;8478399;8478414;8480002",0,0,"OTT","NJD"
"2025020468",1135,1145,10,"8477500;8477506;8478009;8478445;8485366","8475913;8478396;8478403;8479394;8480727",0,0,"NYI","VGK"
"2025020472",419,435,16,"8475170;8475753;8475764;8480981;8482077","8477496;8477507;8479987;8480280;8482511",0,0,"STL","BOS"
"2025020492",2144,2171,27,"8477967;8478498;8479425;8480800;8484136","8479312;8480802;8480807;8480839;8482097",0,0,"VAN","BUF"
"2025020493",3294,3321,27,"8475753;8475764;8477402;8480023;8480981","8481519;8481568;8481806;8483493;8484197",0,0,"STL","CHI"
"2025020494",1472,1480,8,"8478872;8479410;8479619;8480434;8480855","8475831;8476457;8476905;8477919;8478407",0,0,"UTA","SEA"
"2025020496",2793,2807,14,"8474567;8474716;8477451;8478508;8482661","8478020;8481606;8482092;8482105;8482447",0,0,"MIN","OTT"
"2025020496",2807,2827,20,"8474567;8474716;8477451;8478508;8482661","8478020;8481606;8482092;8482095;8482447",0,0,"MIN","OTT"
"2025020496",2827,2838,11,"8474567;8474716;8477451;8478508;8482661","8478020;8482092;8482095;8482245;8482447",0,0,"MIN","OTT"
"2025020496",2838,2839,1,"8474567;8474716;8477451;8478864;8482661","8480208;8482092;8482105;8482245;8482447",0,0,"MIN","OTT"
"2025020496",2839,2847,8,"8474716;8478864;8481557;8482122;8482661","8480208;8481528;8482105;8482245;8482447",0,0,"MIN","OTT"
"2025020496",2847,2857,10,"8478864;8481557;8482094;8482122;8482661","8480208;8481528;8482105;8482245;8482447",0,0,"MIN","OTT"
"2025020497",772,778,6,"8471675;8474578;8475810;8478450;8481668","8475181;8479983;8482137;8484227;8484801",0,0,"PIT","SJS"
"2025020500",1944,1954,10,"8476459;8478048;8478882;8482073;8482157","8480018;8480865;8481540;8483457;8484170",0,0,"NYR","MTL"
"2025020500",1954,1955,1,"8476459;8478048;8478550;8478882;8482073","8480018;8480865;8481540;8483457;8484170",0,0,"NYR","MTL"
"2025020505",3166,3197,31,"8478449;8479979;8480027;8480036;8481581","8475683;8477495;8477933;8478859;8482113",0,0,"DAL","FLA"
"2025020505",3197,3200,3,"8479979;8480027;8480036;8481581;8482740","8475683;8477495;8477933;8478859;8482113",0,0,"DAL","FLA"
"2025020505",3200,3202,2,"8479979;8480027;8480036;8481581;8482740","8473419;8475683;8477495;8478859;8482113",0,0,"DAL","FLA"
"2025020505",3202,3203,1,"8476902;8479979;8480027;8481581;8482740","8473419;8475683;8477495;8478859;8482113",0,0,"DAL","FLA"
"2025020505",3203,3204,1,"8476902;8478420;8479979;8481581;8482740","8473419;8475683;8477495;8478859;8482113",0,0,"DAL","FLA"
"2025020505",3204,3215,11,"8476902;8478420;8479979;8481581;8482740","8473419;8475683;8477932;8478859;8482113",0,0,"DAL","FLA"
"2025020505",3215,3221,6,"8476902;8478420;8479979;8481581;8482740","8473419;8475683;8477932;8477935;8478859",0,0,"DAL","FLA"
"2025020505",3221,3230,9,"8476902;8478420;8479979;8481581;8482740","8473419;8475683;8477932;8477935;8478055",0,0,"DAL","FLA"
"2025020510",1752,1768,16,"8476958;8478427;8480336;8482093;8483548","8476461;8477948;8478435;8480015;8481546",0,0,"CAR","PHI"
"2025020544",3317,3323,6,"8473419;8475683;8477495;8477933;8477935","8473533;8476906;8480336;8482093;8483548",0,0,"FLA","CAR"
"2025020544",3323,3338,15,"8473419;8477409;8477495;8477933;8477935","8473533;8476906;8480336;8482093;8483548",0,0,"FLA","CAR"
"2025020555",1716,1756,40,"8476854;8477496;8477956;8479325;8480280","8477969;8478498;8479425;8480947;8482079",0,0,"BOS","VAN"
"2025020558",2323,2333,10,"8475158;8476869;8476887;8477424;8482482","8476931;8479318;8479361;8479442;8482720",0,0,"NSH","TOR"
"2025020564",3537,3539,2,"8477956;8478401;8480280;8481599;8482511","8475324;8476999;8478020;8482092;8484321",0,0,"BOS","OTT"
"2025020566",2061,2077,16,"8471675;8471724;8475810;8476967;8481668","8476875;8480018;8480865;8481540;8482487",0,0,"PIT","MTL"
"2025020573",3060,3081,21,"8475798;8476885;8478873;8480843;8481605","8474586;8475831;8476457;8482665;8482858",0,0,"ANA","SEA"
"2025020575",1200,1213,13,"8475171;8476853;8477503;8479318;8479361","8471675;8474578;8475810;8478450;8479973",0,0,"TOR","PIT"
"2025020577",2395,2400,5,"8477956;8479325;8479999;8480280;8482511","8476875;8476981;8478851;8480018;8484170",0,0,"BOS","MTL"
"2025020578",1092,1124,32,"8476999;8478469;8480208;8481528;8481606","8477949;8479312;8480802;8481524;8482671",0,0,"OTT","BUF"
"2025020581",2376,2394,18,"8475883;8476906;8477940;8478427;8480336","8475683;8477495;8477933;8478859;8482113",0,0,"CAR","FLA"
"2025020582",2200,2236,36,"8478493;8478864;8479406;8480800;8482122","8475158;8476869;8476887;8477424;8482482",0,0,"MIN","NSH"
"2025020582",2236,2237,1,"8478493;8478864;8479406;8480800;8482122","8475287;8476869;8476887;8477424;8482482",0,0,"MIN","NSH"
"2025020582",2237,2238,1,"8478493;8478864;8479406;8480800;8482122","8474600;8475287;8476869;8476887;8477424",0,0,"MIN","NSH"
"2025020582",2238,2241,3,"8478493;8478864;8479406;8480800;8482122","8474564;8474600;8475287;8476869;8477424",0,0,"MIN","NSH"
"2025020583",2620,2643,23,"8476891;8477444;8477987;8481519;8484783","8476372;8480220;8481035;8481553;8482142",0,0,"CHI","PHI"
"2025020585",1485,1499,14,"8475218;8477934;8478402;8478971;8480803","8475172;8478397;8480797;8480860;8481692",0,0,"EDM","CGY"
