"game_id","event_idx","situation_code","for_team_id","against_team_id","for_players","against_players","for_team_abbrev","against_team_abbrev"
"2025020001",3,"1551","13","16","8473419;8475683;8477409;8477495;8477935;8478859","8476473;8477450;8481519;8481624;8482703;8482807","FLA","CHI"
"2025020001",8,"1551","13","16","8475683;8477932;8478055;8478542;8480003;8482713","8476891;8477479;8477987;8481519;8483493;8484783","FLA","CHI"
"2025020001",11,"1551","13","16","8475683;8477932;8478055;8478542;8480003;8482713","8476891;8477444;8477987;8481519;8483506;8484144","FLA","CHI"
"2025020001",16,"1551","13","16","8475683;8477932;8477933;8478055;8480185;8482113","8476891;8477444;8477987;8481519;8483506;8484144","FLA","CHI"
"2025020001",19,"1551","16","13","8476891;8477444;8477987;8481519;8483506;8484144","8475683;8477932;8477933;8478055;8480185;8482113","CHI","FLA"
"2025020001",22,"1551","16","13","8473422;8476473;8478043;8481519;8482807;8483450","8475683;8477495;8478421;8478859;8479316;8479981","CHI","FLA"
"2025020001",23,"1551","16","13","8473422;8476473;8478043;8481519;8482807;8483450","8475683;8477495;8478421;8478859;8479316;8479981","CHI","FLA"
"2025020001",28,"1551","16","13","8476891;8477450;8481519;8481624;8482703;8483506","8473507;8475179;8475683;8478542;8480003;8482713","CHI","FLA"
"2025020001",31,"1551","13","16","8473419;8475683;8477409;8477932;8477935;8478055","8476882;8477479;8481519;8482176;8483493;8484783","FLA","CHI"
"2025020001",32,"1551","13","16","8473419;8475683;8477409;8477932;8477935;8478055","8476882;8477479;8481519;8482176;8483493;8484783","FLA","CHI"
"2025020001",35,"1551","13","16","8473419;8475683;8477409;8477495;8477935;8478859","8473422;8476473;8478043;8481519;8482807;8483450","FLA","CHI"
"2025020001",36,"1551","16","13","8473422;8476473;8478043;8481519;8482807;8483450","8473419;8475683;8477409;8477495;8477935;8478859","CHI","FLA"
"2025020001",37,"1551","13","16","8473419;8475683;8477409;8477932;8477935;8478055","8473422;8476473;8478043;8481519;8482807;8483450","FLA","CHI"
"2025020001",38,"1551","13","16","8475683;8477932;8477933;8478055;8480185;8482113","8476473;8476882;8477479;8481519;8482807;8483493","FLA","CHI"
"2025020001",39,"1551","13","16","8475683;8477932;8477933;8478055;8480185;8482113","8476473;8476882;8477479;8481519;8482807;8483493","FLA","CHI"
