"team_abbrev","season","team_pp_effect_raw","team_pk_effect_raw"
"PIT",2025,0.00233762936963076,0.002879413493392
"VGK",2025,0.00147092307535562,0.00126943911477611
"TOR",2025,0.000296059209053588,0.00202884664653636
"EDM",2025,0.00175934472245399,3.87554496562061e-05
"WSH",2025,0.000657067444231601,0.000969650144632468
"WPG",2025,0.000752975557748446,0.000664781379463651
"DET",2025,0.00148471060763385,-0.000250411798745936
"TBL",2025,0.00154285521946346,-0.000375013962167603
"NJD",2025,0.00222050850525083,-0.00137356039249818
"BUF",2025,-0.000700004631411545,0.00138543052976306
"DAL",2025,0.00147632038980997,-0.000846952286764552
"FLA",2025,-0.000661070510240658,0.0012566030297465
"SEA",2025,-0.00159767185952547,0.00208691836611507
"COL",2025,-3.09256285889988e-05,0.000484547895011688
"BOS",2025,5.89406147155052e-05,0.000192735375765475
"STL",2025,-3.57806677555262e-05,-3.65763544227e-05
"MIN",2025,-0.00159194034298004,0.00144603545107115
"NYI",2025,-0.00114655162860744,0.000727515440822007
"PHI",2025,-0.00089580627265889,0.000430245095144798
"MTL",2025,0.00140291062677232,-0.00188424516303616
"CHI",2025,-0.000777967375112071,0.000254118706336962
"CAR",2025,-0.000621090359441499,7.13646265531171e-05
"CBJ",2025,-8.74548692593638e-05,-0.000662719965325413
"NSH",2025,4.38438652439281e-05,-0.0010614908774807
"UTA",2025,0.000938857997990641,-0.00198886115765132
"CGY",2025,-0.0019681647053722,0.000374390148375935
"ANA",2025,-0.00124054847661218,-0.000604539306010753
"SJS",2025,-0.0012048961553119,-0.00071943520002566
"OTT",2025,-0.00039696999893453,-0.0017985652167264
"LAK",2025,-0.000916249324244158,-0.00171230471255793
"VAN",2025,-0.00126755459684993,-0.0015992499851282
"NYR",2025,-0.00131366712977046,-0.00164933429043859
