season,game_type,team_id,team_abbrev,gp,wins,losses,ot_losses,points,conference,division,dist_total_mi,dist_per60_mi,dist_max_game_mi,max_skate_speed_mph,bursts_over22,bursts_20_22,bursts_18_20,oz_pct,nz_pct,dz_pct,oz_league_avg,dz_league_avg,top_shot_speed_mph,avg_shot_speed_mph,shot_attempts_over100,shot_attempts_90_100,shot_attempts_80_90,shot_diff,shots_for,shots_against
2025,2,21,COL,82,49,29,4,102,Western,Central,3767.1868,9.2523,50.5423,24.817,212,2281,8816,0.4250812,0.1818162,0.3931026,0.410504,0.410504,98.42,61.3501,0,53,344,NA,NA,NA
2025,2,12,CAR,82,47,30,5,99,Eastern,Metropolitan,3728.0129,9.2161,48.8808,24.491,98,1753,7867,0.4605141,0.1849447,0.3545412,0.410504,0.410504,100.14,61.969,1,64,457,NA,NA,NA
2025,2,25,DAL,82,50,26,6,106,Western,Central,3762.8073,9.2724,49.5956,23.698,47,1550,7711,0.406759,0.1873355,0.4059055,0.410504,0.410504,98.26,60.3263,0,28,303,NA,NA,NA
2025,2,7,BUF,82,36,39,7,79,Eastern,Atlantic,3779.2441,9.3123,49.9817,22.942,61,1722,8605,0.4072036,0.1776973,0.4150991,0.410504,0.410504,106,62.561,5,76,466,NA,NA,NA
2025,2,14,TBL,82,47,27,8,102,Eastern,Atlantic,3670.5656,9.0326,48.3558,23.759,109,1830,7766,0.4128426,0.1822938,0.4048636,0.410504,0.410504,100.34,60.6355,2,113,350,NA,NA,NA
2025,2,8,MTL,82,40,31,11,91,Eastern,Atlantic,3730.9968,9.1955,49.8887,23.771,119,2103,8287,0.3998802,0.1725628,0.427557,0.410504,0.410504,97.94,61.5797,0,44,356,NA,NA,NA
2025,2,30,MIN,82,45,30,7,97,Western,Central,3680.1358,9.0364,49.5048,23.508,51,1412,7237,0.4048793,0.1766954,0.4184254,0.410504,0.410504,98.24,61.1139,0,20,310,NA,NA,NA
2025,2,6,BOS,82,33,39,10,76,Eastern,Atlantic,3734.8904000000002,9.1953,49.8077,23.193,67,1420,7853,0.4122997,0.1774242,0.4102761,0.410504,0.410504,98.3,61.0768,0,53,385,NA,NA,NA
2025,2,9,OTT,82,45,30,7,97,Eastern,Atlantic,3735.0204,9.2197,48.672,23.76,107,1821,8112,0.4176958,0.175396,0.4069082,0.410504,0.410504,96.7,62.1294,0,58,437,NA,NA,NA
2025,2,5,PIT,82,34,36,12,80,Eastern,Metropolitan,3757.3968,9.2351,48.6686,23.671,60,1594,8223,0.4224905,0.1762419,0.4012677,0.410504,0.410504,97.52,58.9728,0,27,293,NA,NA,NA
2025,2,4,PHI,82,33,39,10,76,Eastern,Metropolitan,3805.8885,9.3234,49.7143,23.891,91,1680,7800,0.4049171,0.1806334,0.4144496,0.410504,0.410504,99.1,59.6772,0,29,304,NA,NA,NA
