season,game_type,team_id,team_abbrev,zone,goals,sog,sh_pct
2025,2,21,COL,Behind the Net,0,6,0
2025,2,21,COL,Beyond Red Line,8,84,0.0952
2025,2,21,COL,Center Point,16,222,0.0721
2025,2,21,COL,Crease,17,63,0.2698
2025,2,21,COL,High Slot,45,253,0.1779
2025,2,21,COL,L Circle,24,245,0.098
2025,2,21,COL,L Corner,0,2,0
2025,2,21,COL,L Net Side,4,62,0.0645
2025,2,21,COL,L Point,4,185,0.0216
2025,2,21,COL,Low Slot,92,556,0.1655
2025,2,21,COL,Offensive Neutral Zone,7,51,0.1373
2025,2,21,COL,Outside L,4,130,0.0308
2025,2,21,COL,Outside R,8,104,0.0769
2025,2,21,COL,R Circle,30,256,0.1172
2025,2,21,COL,R Corner,0,3,0
2025,2,21,COL,R Net Side,8,59,0.1356
2025,2,21,COL,R Point,6,170,0.0353
2025,2,12,CAR,Behind the Net,1,11,0.0909
2025,2,12,CAR,Beyond Red Line,4,58,0.069
2025,2,12,CAR,Center Point,12,178,0.0674
2025,2,12,CAR,Crease,16,85,0.1882
2025,2,12,CAR,High Slot,33,223,0.148
2025,2,12,CAR,L Circle,25,272,0.0919
2025,2,12,CAR,L Corner,1,5,0.2
2025,2,12,CAR,L Net Side,4,84,0.0476
2025,2,12,CAR,L Point,8,198,0.0404
2025,2,12,CAR,Low Slot,115,596,0.193
2025,2,12,CAR,Offensive Neutral Zone,2,50,0.04
2025,2,12,CAR,Outside L,9,194,0.0464
2025,2,12,CAR,Outside R,8,166,0.0482
2025,2,12,CAR,R Circle,25,212,0.1179
2025,2,12,CAR,R Corner,0,4,0
2025,2,12,CAR,R Net Side,3,55,0.0545
2025,2,12,CAR,R Point,0,207,0
2025,2,25,DAL,Behind the Net,3,17,0.1765
2025,2,25,DAL,Beyond Red Line,7,90,0.0778
2025,2,25,DAL,Center Point,3,165,0.0182
2025,2,25,DAL,Crease,20,74,0.2703
2025,2,25,DAL,High Slot,32,227,0.141
2025,2,25,DAL,L Circle,18,225,0.08
2025,2,25,DAL,L Corner,1,3,0.3333
2025,2,25,DAL,L Net Side,9,66,0.1364
2025,2,25,DAL,L Point,5,136,0.0368
2025,2,25,DAL,Low Slot,133,615,0.2163
2025,2,25,DAL,Offensive Neutral Zone,3,45,0.0667
2025,2,25,DAL,Outside L,9,112,0.0804
2025,2,25,DAL,Outside R,4,111,0.036
2025,2,25,DAL,R Circle,20,201,0.0995
2025,2,25,DAL,R Corner,0,6,0
2025,2,25,DAL,R Net Side,6,53,0.1132
2025,2,25,DAL,R Point,2,179,0.0112
2025,2,7,BUF,Behind the Net,0,7,0
2025,2,7,BUF,Beyond Red Line,6,84,0.0714
2025,2,7,BUF,Center Point,5,181,0.0276
2025,2,7,BUF,Crease,20,62,0.3226
2025,2,7,BUF,High Slot,37,236,0.1568
2025,2,7,BUF,L Circle,30,231,0.1299
2025,2,7,BUF,L Corner,0,8,0
2025,2,7,BUF,L Net Side,4,56,0.0714
2025,2,7,BUF,L Point,8,163,0.0491
2025,2,7,BUF,Low Slot,99,458,0.2162
2025,2,7,BUF,Offensive Neutral Zone,2,35,0.0571
2025,2,7,BUF,Outside L,7,145,0.0483
2025,2,7,BUF,Outside R,9,148,0.0608
2025,2,7,BUF,R Circle,28,244,0.1148
2025,2,7,BUF,R Corner,0,3,0
2025,2,7,BUF,R Net Side,7,69,0.1014
2025,2,7,BUF,R Point,3,148,0.0203
2025,2,14,TBL,Behind the Net,3,13,0.2308
2025,2,14,TBL,Beyond Red Line,4,69,0.058
