season,game_type,player_id,team_abbrev,zone,sog,goals,sh_pct
2025,2,8476453,TBL,Behind the Net,0,0,0
2025,2,8476453,TBL,Beyond Red Line,3,1,0.3333
2025,2,8476453,TBL,Center Point,8,0,0
2025,2,8476453,TBL,Crease,6,3,0.5
2025,2,8476453,TBL,High Slot,27,4,0.1481
2025,2,8476453,TBL,L Circle,20,2,0.1
2025,2,8476453,TBL,L Corner,0,0,0
2025,2,8476453,TBL,L Net Side,7,0,0
2025,2,8476453,TBL,L Point,5,0,0
2025,2,8476453,TBL,Low Slot,51,14,0.2745
2025,2,8476453,TBL,Offensive Neutral Zone,8,0,0
2025,2,8476453,TBL,Outside L,11,1,0.0909
2025,2,8476453,TBL,Outside R,43,6,0.1395
2025,2,8476453,TBL,R Circle,37,3,0.0811
2025,2,8476453,TBL,R Corner,0,0,0
2025,2,8476453,TBL,R Net Side,21,2,0.0952
2025,2,8476453,TBL,R Point,18,1,0.0556
2025,2,8477492,COL,Behind the Net,0,0,0
2025,2,8477492,COL,Beyond Red Line,3,0,0
2025,2,8477492,COL,Center Point,6,0,0
2025,2,8477492,COL,Crease,3,1,0.3333
2025,2,8477492,COL,High Slot,34,5,0.1471
2025,2,8477492,COL,L Circle,62,8,0.129
2025,2,8477492,COL,L Corner,0,0,0
2025,2,8477492,COL,L Net Side,21,2,0.0952
2025,2,8477492,COL,L Point,15,1,0.0667
2025,2,8477492,COL,Low Slot,66,7,0.1061
2025,2,8477492,COL,Offensive Neutral Zone,6,2,0.3333
2025,2,8477492,COL,Outside L,27,2,0.0741
2025,2,8477492,COL,Outside R,19,0,0
2025,2,8477492,COL,R Circle,42,3,0.0714
2025,2,8477492,COL,R Corner,1,0,0
2025,2,8477492,COL,R Net Side,10,1,0.1
2025,2,8477492,COL,R Point,5,0,0
2025,2,8477934,EDM,Behind the Net,1,0,0
2025,2,8477934,EDM,Beyond Red Line,3,1,0.3333
2025,2,8477934,EDM,Center Point,8,0,0
2025,2,8477934,EDM,Crease,7,5,0.7143
2025,2,8477934,EDM,High Slot,24,6,0.25
2025,2,8477934,EDM,L Circle,15,3,0.2
2025,2,8477934,EDM,L Corner,1,0,0
2025,2,8477934,EDM,L Net Side,8,1,0.125
2025,2,8477934,EDM,L Point,2,0,0
2025,2,8477934,EDM,Low Slot,60,21,0.35
2025,2,8477934,EDM,Offensive Neutral Zone,5,0,0
