"team_abbrev","gp_onice","cf_5v5","ca_5v5","gf_5v5","ga_5v5","pp_goals","pp_shots","pk_goals_against","pk_shots_against","xg_for","xg_against","toi_5v5_sec","toi_pp_sec","toi_pk_sec","cf_pct_5v5","gf_per60_5v5","ga_per60_5v5","pp_goals_per60","pk_ga_per60"
"MTL",99,4104,4682,167,167,56,899,51,136,172.837416249211,191.201354395074,278948,31082,31249,46.7,2.16,2.16,6.49,5.88
"TOR",82,3258,4350,148,166,50,672,57,57,138.910325947043,184.793419574329,234224,23047,24469,42.8,2.27,2.55,7.81,8.39
"CHI",101,4773,4047,223,189,61,838,55,89,211.283866856247,176.695245980576,297398,28649,28094,54.1,2.7,2.29,7.67,7.05
"WSH",82,3366,3696,135,153,68,817,51,82,144.781517360243,157.883532435924,230993,24957,26284,47.7,2.1,2.38,9.81,6.99
"EDM",82,3105,3900,128,178,45,654,50,72,144.070771745988,176.038989226916,230095,23488,25335,44.3,2,2.78,6.9,7.1
"WPG",82,3647,3640,153,162,39,691,48,127,165.348022115126,162.885295438464,230702,23407,26186,50,2.39,2.53,6,6.6
"PHI",88,3786,3798,148,163,61,887,51,142,152.399154237879,160.329950671585,239835,28795,31009,49.9,2.22,2.45,7.63,5.92
"DET",87,3536,3340,156,151,50,790,54,82,149.390246753232,148.45809850248,245029,27355,27609,51.4,2.29,2.22,6.58,7.04
"BUF",82,3013,3978,96,165,33,616,51,71,125.746173018706,174.58341207559,232343,22864,26325,43.1,1.49,2.56,5.2,6.97
"COL",89,3662,4225,176,162,51,627,51,80,157.001354218228,181.120703655935,256875,24050,24851,46.4,2.47,2.27,7.63,7.39
"ANA",95,4059,4170,209,159,57,944,56,116,188.119893249997,177.819020634517,266090,30408,29042,49.3,2.83,2.15,6.75,6.94
"BOS",94,4470,3829,192,126,59,753,51,126,182.034299062798,155.146676128614,273258,23614,28169,53.9,2.53,1.66,8.99,6.52
"TBL",86,3742,3630,158,143,50,602,55,94,157.887041353853,157.084226276551,245601,22830,27003,50.8,2.32,2.1,7.88,7.33
"PIT",94,3904,3991,174,163,72,930,47,60,163.156917260669,156.155863426975,267486,28923,26127,49.4,2.34,2.19,8.96,6.48
"NJD",82,3238,2712,123,134,46,523,33,86,154.166415715183,125.639716972481,236159,21672,24370,54.4,1.88,2.04,7.64,4.87
"CGY",82,3322,3848,136,172,38,583,42,90,139.931278842501,159.294751383306,238378,21078,22083,46.3,2.05,2.6,6.49,6.85
"STL",88,3852,3429,167,144,56,840,43,116,164.126653461601,141.802393312042,250209,26997,27671,52.9,2.4,2.07,7.47,5.59
"NSH",82,3421,3640,152,172,45,571,46,57,147.608558143722,141.318874204473,240003,21188,21575,48.4,2.28,2.58,7.65,7.68
"MIN",95,3797,3830,160,138,49,745,57,89,149.413772666187,141.949967971479,273880,26859,26133,49.8,2.1,1.81,6.57,7.85
"LAK",108,5205,4087,191,150,62,1069,66,132,214.769745169498,182.115866748733,305937,34361,36693,56,2.25,1.77,6.5,6.48
"DAL",88,3974,3863,170,158,47,951,54,109,180.167830629623,173.819359657064,246004,30275,24294,50.7,2.49,2.31,5.59,8
"FLA",82,3528,3402,143,177,27,669,63,88,160.906752766576,158.933872701135,234048,25484,22853,50.9,2.2,2.72,3.81,9.92
"PHX",82,3610,3536,138,135,54,768,57,83,139.545418029651,156.300917535904,233954,24365,23542,50.5,2.12,2.08,7.98,8.72
"NYR",107,4926,4665,187,171,59,1057,45,137,228.946245464555,217.779786753643,306366,34036,29061,51.4,2.2,2.01,6.24,5.57
"SJS",89,4402,3883,178,158,54,1054,39,93,201.216600627173,155.498767666111,255810,28951,21119,53.1,2.5,2.22,6.71,6.65
"VAN",82,3699,3506,139,142,39,758,43,94,148.80412016128,152.436877302942,231537,24033,24512,51.3,2.16,2.21,5.84,6.32
"OTT",82,3938,3576,157,168,51,722,60,142,156.463906788966,160.797799962165,229362,23726,27960,52.4,2.46,2.64,7.74,7.73
"NYI",82,3620,3693,141,171,48,734,58,126,174.668180041772,177.751225683489,234957,23755,23358,49.5,2.16,2.62,7.27,8.94
"CAR",82,3820,3773,136,150,41,788,41,96,165.16694763198,174.932262167509,235834,25153,19812,50.3,2.08,2.29,5.87,7.45
"CBJ",88,3597,3655,154,148,61,842,54,119,148.34177166858,146.642968792061,246033,29009,27623,49.6,2.25,2.17,7.57,7.04
