season,game_type,player_id,player_name,last_name,team_abbrev,shoots_catches,gp,gs,wins,losses,ot_losses,ties,goals_against,gaa,saves,shots_against,sv_pct,shutouts,toi_sec,goals,assists,points,pim
2024,2,8480382,Alexandar Georgiev,Georgiev,COL,L,63,62,38,18,5,NA,183,3.01818,1588,1770,0.89717,2,218277,0,2,2,4
2024,2,8476945,Connor Hellebuyck,Hellebuyck,WPG,L,60,60,37,19,4,NA,142,2.38833,1656,1798,0.92102,5,214040,0,0,0,2
2024,2,8475683,Sergei Bobrovsky,Bobrovsky,FLA,L,58,58,36,17,4,NA,135,2.37242,1449,1584,0.91477,6,204854,0,2,2,4
2024,2,8478048,Igor Shesterkin,Shesterkin,NYR,L,55,55,36,17,2,NA,141,2.58155,1466,1606,0.91282,4,196626,0,1,1,6
2024,2,8479973,Stuart Skinner,Skinner,EDM,L,59,57,36,16,5,NA,147,2.62394,1406,1553,0.90534,2,201681,0,0,0,0
2024,2,8477424,Juuse Saros,Saros,NSH,L,64,64,35,24,5,NA,173,2.86373,1672,1845,0.90623,3,217478,0,2,2,2
2024,2,8477967,Thatcher Demko,Demko,VAN,L,51,51,35,14,2,NA,123,2.44704,1369,1492,0.91756,5,180953,0,1,1,0
2024,2,8479979,Jake Oettinger,Oettinger,DAL,L,54,53,35,14,4,NA,140,2.72322,1336,1476,0.90514,3,185075,0,0,0,2
2024,2,8476883,Andrei Vasilevskiy,Vasilevskiy,TBL,L,52,52,30,20,2,NA,148,2.89924,1329,1477,0.89979,2,183772,0,2,2,2
2024,2,8476412,Jordan Binnington,Binnington,STL,L,57,55,28,21,5,NA,156,2.8437,1630,1786,0.91265,3,197489,0,3,3,8
2024,2,8475660,Cam Talbot,Talbot,LAK,L,54,52,27,20,6,NA,130,2.50311,1361,1490,0.91342,3,186967,0,3,3,4
2024,2,8480045,Ukko-Pekka Luukkonen,Luukkonen,BUF,L,54,51,27,22,4,NA,132,2.57039,1338,1470,0.9102,5,184874,0,1,1,8
2024,2,8478009,Ilya Sorokin,Sorokin,NYI,L,56,55,25,19,12,NA,167,3.01264,1655,1821,0.90884,2,199559,0,2,2,0
2024,2,8479292,Charlie Lindgren,Lindgren,WSH,R,50,48,25,16,7,NA,127,2.67145,1304,1431,0.91125,6,171143,0,0,0,0
2024,2,8480280,Jeremy Swayman,Swayman,BOS,L,44,43,25,10,8,NA,108,2.52547,1179,1287,0.91608,3,153951,0,1,1,0
2024,2,8480313,Logan Thompson,Thompson,VGK,R,46,42,25,14,5,NA,119,2.69895,1179,1298,0.90832,1,158728,0,3,3,0
2024,2,8474593,Jacob Markstrom,Markstrom,CGY,L,48,48,23,23,2,NA,131,2.77628,1248,1379,0.905,2,169867,0,5,5,0
2024,2,8478492,Ilya Samsonov,Samsonov,TOR,L,40,40,23,7,8,NA,120,3.12911,967,1087,0.8896,3,138058,0,1,1,0
2024,2,8478971,Connor Ingram,Ingram,ARI,L,50,48,23,21,3,NA,136,2.91123,1325,1461,0.90691,6,168176,0,3,3,0
2024,2,8481035,Samuel Ersson,Ersson,PHI,L,51,49,23,19,7,NA,132,2.81904,1072,1204,0.89036,4,168568,0,0,0,4
2024,2,8481611,Pyotr Kochetkov,Kochetkov,CAR,L,42,40,23,13,4,NA,92,2.32765,939,1031,0.91076,4,142289,0,0,0,8
2024,2,8476999,Linus Ullmark,Ullmark,BOS,L,40,39,22,10,7,NA,103,2.57485,1105,1207,0.91549,2,144008,0,1,1,2
2024,2,8476914,Joonas Korpisalo,Korpisalo,OTT,L,55,49,21,26,4,NA,168,3.27223,1354,1522,0.88961,0,184828,0,1,1,0
2024,2,8479312,Alex Lyon,Lyon,DET,L,44,43,21,18,5,NA,127,3.0494,1198,1325,0.90415,2,149931,0,1,1,2
2024,2,8479406,Filip Gustavsson,Gustavsson,MIN,L,45,43,20,18,4,NA,129,3.06346,1154,1283,0.89945,3,151593,0,1,1,0
2024,2,8477465,Tristan Jarry,Jarry,PIT,L,51,48,19,25,5,NA,133,2.91173,1236,1369,0.90284,6,164438,1,0,1,4
2024,2,8478499,Adin Hill,Hill,VGK,L,35,35,19,12,2,NA,89,2.71228,890,979,0.90909,2,118129,0,1,1,0
2024,2,8478916,Joey Daccord,Daccord,SEA,L,50,46,19,18,11,NA,116,2.45694,1258,1374,0.91557,3,169967,0,0,0,0
2024,2,8471734,Jonathan Quick,Quick,NYR,L,27,26,18,6,2,NA,69,2.61572,702,771,0.9105,2,94964,0,1,1,8
2024,2,8475852,Petr Mrazek,Mrazek,CHI,L,56,53,18,31,4,NA,160,3.04504,1565,1724,0.90777,1,189160,0,0,0,14
2024,2,8477968,Alex Nedeljkovic,Nedeljkovic,PIT,L,38,33,18,7,7,NA,102,2.9702,937,1039,0.90182,1,123628,0,0,0,0
2024,2,8470594,Marc-Andre Fleury,Fleury,MIN,L,40,36,17,15,5,NA,111,2.98297,945,1056,0.89488,2,133960,0,1,1,4
2024,2,8477970,Vitek Vanecek,Vanecek,NJD,L,32,29,17,9,3,NA,95,3.18112,767,862,0.88979,0,107509,0,1,1,0
2024,2,8475809,Scott Wedgewood,Wedgewood,DAL,L,32,28,16,7,5,NA,85,2.85054,759,844,0.89928,0,107348,0,0,0,0
2024,2,8476932,Anthony Stolarz,Stolarz,FLA,L,27,24,16,7,2,NA,51,2.03126,633,684,0.92543,2,90387,0,2,2,2
2024,2,8478470,Samuel Montembeault,Montembeault,MTL,L,41,40,16,15,9,NA,127,3.13739,1180,1307,0.90283,0,145726,0,2,2,0
2024,2,8476316,Laurent Brossoit,Brossoit,WPG,L,23,22,15,5,2,NA,45,1.99847,575,620,0.92741,3,81062,0,0,0,2
2024,2,8476341,Anton Forsberg,Forsberg,OTT,L,30,28,15,12,0,NA,84,3.2107,681,765,0.89019,2,94185,0,1,1,2
2024,2,8480981,Joel Hofer,Hofer,STL,L,30,27,15,12,1,NA,72,2.6525,759,830,0.91445,1,97719,0,1,1,4
2024,2,8473575,Semyon Varlamov,Varlamov,NYI,L,28,27,14,8,4,NA,69,2.59604,768,837,0.91756,3,95684,0,0,0,0
2024,2,8475831,Philipp Grubauer,Grubauer,SEA,L,36,34,14,16,2,NA,95,2.85485,846,941,0.89904,2,119796,0,1,1,4
2024,2,8480843,Lukas Dostal,Dostal,ANA,L,44,38,14,23,3,NA,129,3.33216,1181,1310,0.90152,1,139369,0,0,0,8
