season,game_type,team_id,team_full,gp,wins,losses,ot_losses,ties,points,point_pct,wins_regulation,wins_regulation_ot,wins_shootout,goals_for,goals_against,gf_per_game,ga_per_game,shots_for_per_game,shots_against_per_game,pp_pct,pp_net_pct,pk_pct,pk_net_pct,fo_win_pct,shutouts
2022,2,13,Florida Panthers,82,58,18,6,NA,122,0.7439,42,55,3,337,242,4.10975,2.95121,37.34146,30.67073,0.244274,0.21374,0.795367,0.841698,0.48235,5
2022,2,21,Colorado Avalanche,82,56,19,7,NA,119,0.7256,46,52,4,308,232,3.75609,2.82926,35.04878,32.01219,0.240143,0.222222,0.796611,0.822033,0.472749,7
2022,2,12,Carolina Hurricanes,82,54,20,8,NA,116,0.70731,47,53,1,277,200,3.37804,2.43902,34.12195,28.17073,0.219827,0.206896,0.880435,0.894927,0.539048,6
2022,2,10,Toronto Maple Leafs,82,54,21,7,NA,115,0.70121,45,51,3,312,252,3.80487,3.07317,34.57317,30.62195,0.272727,0.255411,0.820513,0.876068,0.550543,7
2022,2,30,Minnesota Wild,82,53,22,7,NA,113,0.68902,37,48,5,305,249,3.71951,3.03658,32.51219,31.42682,0.205426,0.186046,0.761364,0.768939,0.476427,3
2022,2,20,Calgary Flames,82,50,21,11,NA,111,0.67682,44,48,2,291,206,3.54878,2.51219,35.46341,28.95121,0.228813,0.216101,0.832,0.86,0.51086,11
2022,2,3,New York Rangers,82,52,24,6,NA,110,0.67073,44,48,4,250,204,3.04878,2.4878,29.17073,30.82926,0.252293,0.243119,0.823009,0.858407,0.480643,9
2022,2,14,Tampa Bay Lightning,82,51,23,8,NA,110,0.67073,39,49,2,285,228,3.4756,2.78048,30.91463,29.76829,0.239382,0.220077,0.805556,0.833333,0.501177,3
2022,2,19,St. Louis Blues,82,49,22,11,NA,109,0.66463,43,47,2,309,239,3.76829,2.91463,30.39024,31.59756,0.269709,0.248962,0.84091,0.881818,0.502435,4
2022,2,6,Boston Bruins,82,51,26,5,NA,107,0.65243,40,49,2,253,218,3.08536,2.65853,36.12195,28.70731,0.211864,0.18644,0.812978,0.832061,0.541803,4
2022,2,22,Edmonton Oilers,82,49,27,6,NA,104,0.63414,38,44,5,285,251,3.4756,3.06097,34.02439,32.28048,0.259574,0.234042,0.793651,0.837301,0.512744,4
2022,2,5,Pittsburgh Penguins,82,46,25,11,NA,103,0.62804,37,43,3,269,222,3.28048,2.70731,34.7439,31.41463,0.201612,0.169354,0.84434,0.85849,0.511366,7
2022,2,15,Washington Capitals,82,44,26,12,NA,100,0.60975,35,39,5,270,242,3.29268,2.95121,31.42682,29,0.1875,0.152343,0.804445,0.84,0.470999,8
2022,2,26,Los Angeles Kings,82,44,27,11,NA,99,0.60365,35,40,4,235,232,2.86585,2.82926,34.93902,28.54878,0.16129,0.125,0.76652,0.814977,0.521924,5
2022,2,25,Dallas Stars,82,46,30,6,NA,98,0.59756,31,41,5,233,244,2.84146,2.9756,30.31707,31.03658,0.224066,0.203319,0.789955,0.821917,0.548212,2
2022,2,18,Nashville Predators,82,45,30,7,NA,97,0.59146,35,41,4,262,250,3.19512,3.04878,29.7439,32.26829,0.244186,0.224806,0.792254,0.799295,0.512425,4
