season,game_type,team_id,team_full,gp,hits,hits_per60,blocked_shots,blocked_shots_per60,takeaways,takeaways_per60,giveaways,giveaways_per60,missed_shots,total_shot_attempts,shot_attempts_blocked,corsi_pct,empty_net_goals,toi_per_game_5v5
2025,2,13,Florida Panthers,82,2446,29.5092,990,11.9412,410,4.9428,1142,13.7772,1348,5456,1522,0.550709,16,2893.03658
2025,2,23,Vancouver Canucks,82,2213,26.5536,1208,14.4936,356,4.2696,1074,12.8844,1174,4593,1325,0.490884,13,2918.15853
2025,2,6,Boston Bruins,82,2168,26.1504,1254,15.1236,438,5.2812,1310,15.8004,1111,4603,1318,0.474549,17,2928.85365
2025,2,9,Ottawa Senators,82,2106,25.4952,1270,15.3756,398,4.8168,1055,12.7728,1142,4939,1394,0.497704,13,2865.9756
2025,2,3,New York Rangers,82,2031,24.6168,1221,14.7996,405,4.9068,1213,14.7024,1260,4938,1334,0.49007,13,2942.15853
2025,2,19,St. Louis Blues,82,2003,24.1236,1249,15.0408,367,4.4172,1256,15.1272,992,4500,1322,0.486261,11,3013.57317
2025,2,8,Montréal Canadiens,82,1987,23.9292,1424,17.1468,392,4.7196,1145,13.788,1150,4572,1326,0.478456,15,2893.96341
2025,2,10,Toronto Maple Leafs,82,1962,23.7276,1357,16.4124,378,4.572,1208,14.6088,1120,4657,1240,0.476917,22,2935.79268
2025,2,18,Nashville Predators,82,1933,23.4036,1161,14.058,392,4.7448,1224,14.8212,1160,5004,1441,0.501756,18,2907.80487
2025,2,1,New Jersey Devils,82,1929,23.3172,1155,13.9608,342,4.1328,1205,14.5656,1206,4999,1491,0.510002,11,2945.89024
2025,2,20,Calgary Flames,82,1908,22.8852,1316,15.7824,435,5.2164,1261,15.1236,1206,5204,1584,0.516588,17,2933.03658
2025,2,24,Anaheim Ducks,82,1876,22.5576,1380,16.5924,349,4.194,1145,13.7664,1182,4753,1302,0.463186,12,2905.10975
2025,2,28,San Jose Sharks,82,1818,21.9312,1418,17.1072,365,4.4028,1185,14.2956,1089,4628,1336,0.458965,6,2914.86585
2025,2,2,New York Islanders,82,1814,21.8628,1340,16.1496,412,4.9644,1200,14.4612,1229,5031,1384,0.499571,13,2995.32926
2025,2,26,Los Angeles Kings,82,1742,21.0564,1202,14.5296,351,4.2408,1129,13.6476,1322,5053,1428,0.530664,23,2944.30487
2025,2,7,Buffalo Sabres,82,1736,20.9484,1190,14.3568,382,4.608,1187,14.3208,1230,4858,1350,0.498375,13,2887.13414
2025,2,4,Philadelphia Flyers,82,1727,20.7432,1455,17.4744,430,5.1624,1266,15.2064,1122,4579,1246,0.484271,13,2979.96341
2025,2,52,Winnipeg Jets,82,1700,20.5632,1270,15.3612,415,5.0184,1125,13.608,1224,4788,1250,0.497973,21,3002.53658
2025,2,55,Seattle Kraken,82,1697,20.5308,1332,16.1136,418,5.0544,1128,13.6476,1245,4786,1299,0.482732,15,2947.78048
2025,2,5,Pittsburgh Penguins,82,1665,20.0484,1207,14.5332,436,5.2488,1242,14.9544,1230,4961,1408,0.50655,14,2973.43902
2025,2,29,Columbus Blue Jackets,82,1656,19.9476,1327,15.984,391,4.7088,1227,14.7816,1111,4869,1376,0.488603,14,3010.82926
2025,2,30,Minnesota Wild,82,1645,19.8324,1319,15.9012,407,4.9068,1206,14.5404,1109,4645,1275,0.479838,21,2994.09756
2025,2,15,Washington Capitals,82,1580,19.0512,1340,16.1568,362,4.3632,1190,14.3496,1268,4881,1348,0.502115,23,2936.12195
2025,2,17,Detroit Red Wings,82,1570,18.936,1275,15.3792,367,4.4244,1235,14.8968,1155,4679,1275,0.485175,19,3001.40243
2025,2,21,Colorado Avalanche,82,1549,18.7056,1190,14.3712,416,5.022,1224,14.7816,1250,5241,1541,0.537342,27,2943.70731
2025,2,16,Chicago Blackhawks,82,1533,18.5256,1205,14.562,413,4.9896,1169,14.1264,921,4042,1117,0.447704,8,3012.4756
2025,2,54,Vegas Golden Knights,82,1488,17.9712,1267,15.3,401,4.842,1279,15.444,1157,4963,1324,0.514282,22,3091.19512
2025,2,59,Utah Hockey Club,82,1467,17.622,1252,15.0408,384,4.6116,1377,16.542,1291,5080,1448,0.5273,12,2919.34146
2025,2,14,Tampa Bay Lightning,82,1443,17.4348,1177,14.22,348,4.2012,1159,14.0004,1184,4907,1382,0.502844,28,2965.28048
2025,2,12,Carolina Hurricanes,82,1415,17.1468,947,11.4768,452,5.4756,1293,15.6708,1527,5758,1634,0.584326,22,2894.39024
2025,2,25,Dallas Stars,82,1245,15.0552,1153,13.9428,373,4.5108,1323,15.9984,1143,4921,1453,0.494637,20,2909.28048
2025,2,22,Edmonton Oilers,82,1241,15.0156,1150,13.914,443,5.3568,1183,14.3136,1160,5183,1401,0.538812,12,2979.57317
