season,game_type,player_id,player_name,last_name,team_abbrev,position,shoots,gp,goals,assists,points,points_per_game,plus_minus,pim,shots,shooting_pct,toi_per_game,ev_goals,ev_points,pp_goals,pp_points,sh_goals,sh_points,ot_goals,gw_goals,fo_win_pct
2024,2,8476453,Nikita Kucherov,Kucherov,TBL,R,L,81,44,100,144,1.77777,8,22,306,0.14379,1300.1234,31,91,13,53,0,0,1,6,0.5
2024,2,8477492,Nathan MacKinnon,MacKinnon,COL,C,R,82,51,89,140,1.70731,35,42,405,0.12592,1368.8536,41,92,10,48,0,0,2,9,0.46194
2024,2,8478402,Connor McDavid,McDavid,EDM,C,L,76,32,100,132,1.73684,35,30,263,0.12167,1281.5526,24,87,7,44,1,1,1,5,0.51098
2024,2,8478550,Artemi Panarin,Panarin,NYR,L,R,82,49,71,120,1.46341,18,24,303,0.16171,1207.1341,38,75,11,44,0,1,1,5,0.1
2024,2,8477956,David Pastrnak,Pastrnak,BOS,R,R,82,47,63,110,1.34146,21,47,382,0.12303,1195.7804,35,75,12,35,0,0,0,5,0.33333
2024,2,8479318,Auston Matthews,Matthews,TOR,C,L,81,69,38,107,1.32098,31,20,369,0.18699,1257.9876,51,77,18,29,0,1,3,8,0.53449
2024,2,8477934,Leon Draisaitl,Draisaitl,EDM,C,L,81,41,65,106,1.30864,26,76,217,0.18894,1241.7283,20,65,21,39,0,2,2,7,0.56926
2024,2,8478420,Mikko Rantanen,Rantanen,COL,R,L,80,42,62,104,1.3,19,50,271,0.15498,1374.3375,28,64,14,40,0,0,0,9,0.53816
2024,2,8476468,J.T. Miller,Miller,VAN,C,L,81,37,66,103,1.2716,32,58,194,0.19072,1169.395,25,61,10,40,2,2,2,9,0.56331
2024,2,8477939,William Nylander,Nylander,TOR,R,R,82,40,58,98,1.19512,1,24,316,0.12658,1194.817,26,59,11,35,3,4,2,7,0.47058
2024,2,8478864,Kirill Kaprizov,Kaprizov,MIN,L,L,75,46,50,96,1.28,11,36,277,0.16606,1294.6133,27,55,19,41,0,0,2,8,0
2024,2,8477933,Sam Reinhart,Reinhart,FLA,C,R,82,57,37,94,1.14634,29,31,233,0.24463,1217.9878,25,55,27,34,5,5,3,11,0.4415
2024,2,8476887,Filip Forsberg,Forsberg,NSH,L,R,82,48,46,94,1.14634,16,43,347,0.13832,1134.3292,35,62,13,32,0,0,3,11,0.5
2024,2,8471675,Sidney Crosby,Crosby,PIT,C,L,82,42,52,94,1.14634,7,40,278,0.15107,1205.2073,32,71,10,23,0,0,0,3,0.58226
2024,2,8480800,Quinn Hughes,Hughes,VAN,D,L,82,17,75,92,1.12195,38,38,199,0.08542,1481.0975,12,54,5,38,0,0,1,2,NA
2024,2,8478010,Brayden Point,Point,TBL,C,R,81,46,44,90,1.11111,-16,14,227,0.20264,1202.3456,31,58,15,32,0,0,0,12,0.45652
2024,2,8480069,Cale Makar,Makar,COL,D,R,77,21,69,90,1.16883,15,16,231,0.0909,1486.1818,13,47,7,39,1,4,0,1,NA
2024,2,8478427,Sebastian Aho,Aho,CAR,C,L,78,36,53,89,1.14102,34,36,216,0.16666,1177.6538,24,55,11,32,1,2,2,10,0.54123
2024,2,8480012,Elias Pettersson,Pettersson,VAN,C,L,82,34,55,89,1.08536,20,12,207,0.16425,1179.0243,21,56,13,31,0,2,2,10,0.50813
2024,2,8479314,Matthew Tkachuk,Tkachuk,FLA,L,L,80,26,62,88,1.1,19,88,280,0.09285,1118.4,19,55,6,32,1,1,0,2,0.33333
2024,2,8480023,Robert Thomas,Thomas,STL,C,R,82,26,60,86,1.04878,9,48,170,0.15294,1257.9878,17,56,8,27,1,3,0,3,0.53123
2024,2,8478483,Mitch Marner,Marner,TOR,R,R,69,26,59,85,1.23188,21,18,158,0.16455,1276.5942,17,57,8,27,1,1,0,2,0.25
2024,2,8474600,Roman Josi,Josi,NSH,D,L,82,23,62,85,1.03658,12,45,268,0.08582,1477.8658,14,51,9,33,0,1,2,5,NA
2024,2,8479407,Jesper Bratt,Bratt,NJD,L,L,82,27,56,83,1.01219,-6,12,248,0.10887,1158.439,20,55,7,27,0,1,0,7,0.36363
2024,2,8480803,Evan Bouchard,Bouchard,EDM,D,R,81,18,64,82,1.01234,34,32,220,0.08181,1379.8271,10,47,8,35,0,0,2,7,NA
2024,2,8474564,Steven Stamkos,Stamkos,TBL,C,R,79,40,41,81,1.02531,-21,34,262,0.15267,1093.7088,21,42,19,39,0,0,0,6,0.56043
2024,2,8480027,Jason Robertson,Robertson,DAL,L,L,82,29,51,80,0.9756,19,22,231,0.12554,1099.4878,20,52,9,28,0,0,0,4,NA
2024,2,8477493,Aleksander Barkov,Barkov,FLA,C,L,73,23,57,80,1.09589,33,24,193,0.11917,1178.2054,18,49,5,29,0,2,0,4,0.57272
2024,2,8478445,Mathew Barzal,Barzal,NYI,C,R,80,23,57,80,1,-4,34,240,0.09583,1207.95,18,55,5,25,0,0,2,4,0.42982
2024,2,8475786,Zach Hyman,Hyman,EDM,L,R,80,54,23,77,0.9625,36,48,290,0.1862,1170.025,39,57,15,20,0,0,1,7,0.4375
