season,game_type,player_id,player_name,last_name,team_abbrev,shoots_catches,gp,gs,wins,losses,ot_losses,ties,goals_against,gaa,saves,shots_against,sv_pct,shutouts,toi_sec,goals,assists,points,pim
2022,2,8475683,Sergei Bobrovsky,Bobrovsky,FLA,L,54,53,39,7,3,NA,137,2.66695,1429,1566,0.91251,3,184930,0,0,0,4
2022,2,8476883,Andrei Vasilevskiy,Vasilevskiy,TBL,L,63,63,39,18,5,NA,156,2.48886,1712,1868,0.91648,2,225645,0,1,1,6
2022,2,8477424,Juuse Saros,Saros,NSH,L,67,67,38,25,3,NA,173,2.64007,1934,2107,0.91789,4,235902,0,0,0,0
2022,2,8474593,Jacob Markstrom,Markstrom,CGY,L,63,63,37,15,9,NA,137,2.22412,1617,1754,0.92189,9,221750,0,3,3,10
2022,2,8475311,Darcy Kuemper,Kuemper,COL,L,57,57,37,12,4,NA,138,2.54085,1616,1754,0.92132,5,195525,0,0,0,2
2022,2,8478048,Igor Shesterkin,Shesterkin,NYR,L,53,52,36,13,4,NA,106,2.0713,1516,1622,0.93464,6,184232,0,1,1,2
2022,2,8475883,Frederik Andersen,Andersen,CAR,L,52,51,35,14,3,NA,111,2.16875,1320,1431,0.92243,4,184253,0,4,4,0
2022,2,8477465,Tristan Jarry,Jarry,PIT,L,58,56,34,18,6,NA,138,2.42446,1573,1711,0.91934,4,204911,0,2,2,2
2022,2,8477967,Thatcher Demko,Demko,VAN,L,64,61,33,22,7,NA,168,2.72384,1799,1967,0.91459,1,222039,0,2,2,2
2022,2,8475660,Cam Talbot,Talbot,MIN,L,49,48,32,12,4,NA,132,2.76499,1356,1488,0.91129,3,171863,0,1,1,2
2022,2,8475789,Jack Campbell,Campbell,TOR,L,49,47,31,9,6,NA,123,2.64005,1307,1430,0.91398,5,167724,0,1,1,0
2022,2,8479979,Jake Oettinger,Oettinger,DAL,L,48,46,30,15,1,NA,114,2.52622,1217,1331,0.91435,1,162456,0,2,2,0
2022,2,8476945,Connor Hellebuyck,Hellebuyck,WPG,L,66,66,29,27,10,NA,193,2.96656,1962,2155,0.91044,4,234210,0,2,2,0
2022,2,8470594,Marc-Andre Fleury,Fleury,"CHI,MIN",L,56,56,28,23,5,NA,159,2.90422,1573,1732,0.90819,4,197092,0,2,2,2
2022,2,8475156,Mikko Koskinen,Koskinen,EDM,L,45,43,27,12,4,NA,136,3.10427,1261,1397,0.90264,1,157718,0,0,0,4
2022,2,8478007,Elvis Merzlikins,Merzlikins,CBJ,L,59,56,27,23,7,NA,178,3.21675,1742,1920,0.90729,2,199207,0,2,2,8
2022,2,8476999,Linus Ullmark,Ullmark,BOS,L,41,39,26,10,2,NA,95,2.44589,1045,1140,0.91666,1,139826,0,1,1,4
2022,2,8478009,Ilya Sorokin,Sorokin,NYI,L,52,52,26,18,8,NA,123,2.40212,1520,1643,0.92513,7,184337,0,0,0,0
2022,2,8478024,Ville Husso,Husso,STL,L,40,38,25,7,6,NA,100,2.56275,1136,1236,0.91909,2,140474,0,0,0,0
2022,2,8471734,Jonathan Quick,Quick,LAK,L,46,46,23,13,9,NA,116,2.59134,1168,1284,0.90965,2,161152,0,1,1,6
2022,2,8475215,Robin Lehner,Lehner,VGK,L,44,44,23,17,2,NA,120,2.82724,1168,1288,0.90683,1,152799,0,1,1,10
2022,2,8478492,Ilya Samsonov,Samsonov,WSH,L,44,39,23,12,5,NA,119,3.02375,1026,1145,0.89606,3,141678,0,0,0,0
2022,2,8480280,Jeremy Swayman,Swayman,BOS,L,41,39,23,14,3,NA,96,2.4098,1015,1111,0.91359,3,143414,0,0,0,6
2022,2,8476341,Anton Forsberg,Forsberg,OTT,L,46,44,22,17,4,NA,121,2.8233,1336,1457,0.91695,1,154287,0,0,0,2
2022,2,8477361,Calvin Petersen,Petersen,LAK,R,37,35,20,14,2,NA,105,2.89455,897,1002,0.8952,3,130590,0,0,0,2
2022,2,8477968,Alex Nedeljkovic,Nedeljkovic,DET,L,59,52,20,24,9,NA,178,3.30568,1618,1796,0.90089,4,193848,0,2,2,2
2022,2,8477970,Vitek Vanecek,Vanecek,WSH,L,42,39,20,12,6,NA,103,2.6668,1014,1117,0.90778,4,139043,0,0,0,0
2022,2,8473503,James Reimer,Reimer,SJS,L,48,46,19,17,10,NA,129,2.89596,1321,1450,0.91103,1,160361,0,0,0,0
2022,2,8481519,Spencer Knight,Knight,FLA,L,32,27,19,9,3,NA,81,2.79272,795,876,0.90753,2,104414,0,0,0,0
2022,2,8475831,Philipp Grubauer,Grubauer,SEA,L,55,54,18,31,5,NA,164,3.16254,1315,1479,0.88911,2,186685,0,1,1,0
