season,game_type,team_id,team_full,gp,hits,hits_per60,blocked_shots,blocked_shots_per60,takeaways,takeaways_per60,giveaways,giveaways_per60,missed_shots,total_shot_attempts,shot_attempts_blocked,corsi_pct,empty_net_goals,toi_per_game_5v5
2024,2,13,Florida Panthers,82,2339,28.2312,1044,12.6,563,6.7932,629,7.5924,1188,5621,1670,0.553955,21,2780
2024,2,10,Toronto Maple Leafs,82,2277,27.3456,1352,16.236,621,7.4556,757,9.09,1140,5246,1435,0.507763,12,2934.2317
2024,2,6,Boston Bruins,82,2259,27.09,1299,15.5772,516,6.1884,677,8.118,984,4609,1227,0.475542,13,2877.35365
2024,2,23,Vancouver Canucks,82,2178,26.3196,1152,13.9212,498,6.0156,466,5.6304,1149,4836,1359,0.511108,14,2867.53658
2024,2,18,Nashville Predators,82,2149,26.0352,1265,15.3252,648,7.848,716,8.6724,1141,5207,1424,0.511099,18,2859.39024
2024,2,2,New York Islanders,82,2062,24.8256,1552,18.684,526,6.3324,682,8.2116,1055,4821,1296,0.472019,5,2977.7439
2024,2,4,Philadelphia Flyers,82,2024,24.4008,1533,18.4788,496,5.9796,448,5.4,1119,5252,1425,0.515833,9,2868.04878
2024,2,54,Vegas Golden Knights,82,2019,24.346800000000002,1506,18.1584,686,8.2728,544,6.5592,1002,4982,1432,0.485317,18,2939.4756
2024,2,9,Ottawa Senators,82,1994,24.048,1356,16.3512,597,7.2,763,9.2016,1159,5188,1427,0.501773,13,2867
2024,2,14,Tampa Bay Lightning,82,1983,23.9724,1247,15.0732,519,6.2748,572,6.9156,1115,4944,1428,0.502948,23,2913.21951
2024,2,3,New York Rangers,82,1981,23.8932,1289,15.5448,560,6.7536,549,6.6204,1202,5165,1382,0.500884,19,2914.2439
2024,2,24,Anaheim Ducks,82,1915,23.202,1343,16.272,499,6.0444,562,6.8076,960,4329,1175,0.465103,7,2801.20731
2024,2,15,Washington Capitals,82,1878,22.572,1419,17.0568,626,7.524,660,7.9308,1047,4571,1352,0.468313,12,2956.9756
2024,2,28,San Jose Sharks,82,1875,22.6332,1491,17.9964,544,6.5664,423,5.1048,1006,4370,1295,0.441162,4,2944.53658
2024,2,16,Chicago Blackhawks,82,1874,22.7124,1340,16.2396,710,8.604,701,8.496,893,4256,1210,0.440154,6,2931.84146
2024,2,22,Edmonton Oilers,82,1873,22.6152,1103,13.3164,700,8.4492,760,9.1764,1152,5375,1455,0.549916,12,2926.40243
2024,2,52,Winnipeg Jets,82,1853,22.4532,1230,14.904,510,6.1776,518,6.2748,1104,4902,1310,0.511815,24,2932.25609
2024,2,53,Arizona Coyotes,82,1849,22.3452,1228,14.8392,473,5.7168,630,7.614,1094,4648,1281,0.487029,13,2883.12195
2024,2,55,Seattle Kraken,82,1829,21.9744,1218,14.6304,681,8.1792,403,4.8384,1138,5038,1553,0.511187,9,2936.84146
2024,2,8,Montréal Canadiens,82,1808,21.636,1464,17.5212,463,5.5404,750,8.9748,1007,4532,1257,0.462135,7,2877.21951
2024,2,7,Buffalo Sabres,82,1786,21.6108,1201,14.5296,542,6.5556,469,5.6736,1056,4925,1335,0.507424,17,2924.39024
2024,2,26,Los Angeles Kings,82,1764,21.2688,1267,15.2748,423,5.0976,540,6.5088,1189,5194,1389,0.53696,13,2883.67073
2024,2,20,Calgary Flames,82,1752,21.1824,1379,16.6716,619,7.4844,787,9.5148,1198,5256,1486,0.509431,19,2893.87804
2024,2,17,Detroit Red Wings,82,1684,20.286,1360,16.3836,457,5.5044,554,6.6708,1015,4681,1291,0.462732,13,2881.92682
2024,2,21,Colorado Avalanche,82,1670,20.16,1214,14.6556,646,7.7976,554,6.6888,1119,5330,1506,0.522698,19,2861.90243
2024,2,1,New Jersey Devils,82,1667,20.2068,1116,13.5288,563,6.822,620,7.5132,1080,5130,1534,0.520648,14,2890.56097
2024,2,19,St. Louis Blues,82,1654,19.9368,1219,14.6916,723,8.712,573,6.9048,999,4550,1182,0.458241,15,2915.96341
2024,2,5,Pittsburgh Penguins,82,1632,19.6956,1250,15.084,700,8.4456,637,7.686,1157,5357,1518,0.509952,20,2889.07317
2024,2,30,Minnesota Wild,82,1599,19.2456,1305,15.7068,496,5.9688,508,6.1128,1131,5003,1401,0.495989,14,2846.14634
2024,2,29,Columbus Blue Jackets,82,1578,19.0152,1396,16.8228,514,6.192,442,5.3244,1120,5052,1474,0.479094,11,2942.32926
2024,2,25,Dallas Stars,82,1458,17.5572,1225,14.7492,558,6.7176,646,7.7796,1210,5301,1503,0.531554,13,2940.86585
2024,2,12,Carolina Hurricanes,82,1383,16.686,937,11.304,621,7.4916,652,7.866,1423,5819,1663,0.590943,20,2899.89024
