season,game_type,player_id,player_name,last_name,team_abbrev,shoots_catches,gp,gs,wins,losses,ot_losses,ties,goals_against,gaa,saves,shots_against,sv_pct,shutouts,toi_sec,goals,assists,points,pim
2025,2,8481529,Trent Miner,Miner,COL,L,2,1,0,1,0,NA,4,2.61913,29,33,0.87878,0,5498,0,0,0,0
2025,2,8482123,Drew Commesso,Commesso,CHI,L,2,1,0,1,0,NA,4,3.3637,22,26,0.84615,0,4281,0,0,0,0
2025,2,8482411,Hunter Shepard,Shepard,WSH,L,1,1,0,1,0,NA,7,7,19,26,0.73076,0,3600,0,0,0,0
2025,2,8482661,Jesper Wallstedt,Wallstedt,MIN,L,2,2,0,2,0,NA,8,4.08742,43,51,0.84313,0,7046,0,0,0,2
2025,2,8482668,Tristan Lennox,Lennox,NYI,L,1,0,0,0,0,NA,1,12.72084,1,2,0.5,0,283,0,0,0,0
2025,2,8483532,Clay Stevenson,Stevenson,WSH,L,1,1,0,1,0,NA,5,5,33,38,0.86842,0,3600,0,0,0,0
2025,2,8483668,Nikke Kokko,Kokko,SEA,L,1,0,0,0,0,NA,2,4.00667,4,6,0.66666,0,1797,0,0,0,0
2025,2,8484293,Yaniv Perets,Perets,CAR,L,1,0,0,0,0,NA,1,7.31707,6,7,0.85714,0,492,0,0,0,0
2025,2,8484312,Georgii Romanov,Romanov,SJS,L,8,6,0,6,0,NA,27,3.88551,192,219,0.87671,0,25016,0,0,0,0
2025,2,8484910,Victor Ostman,Ostman,SEA,L,1,0,0,0,0,NA,0,0,12,12,1,0,1200,0,0,0,0
