"team_abbrev","gp_onice","cf_5v5","ca_5v5","gf_5v5","ga_5v5","pp_goals","pp_shots","pk_goals_against","pk_shots_against","xg_for","xg_against","toi_5v5_sec","toi_pp_sec","toi_pk_sec","cf_pct_5v5","gf_per60_5v5","ga_per60_5v5","pp_goals_per60","pk_ga_per60"
"BUF",82,3828,3866,185,184,42,603,57,104,155.705135543947,171.860412797774,240832,20684,22511,49.8,2.77,2.75,7.31,9.12
"NJD",87,4211,4082,159,161,59,702,44,97,178.126043475757,167.030143650423,261008,21459,22769,50.8,2.19,2.22,9.9,6.96
"SEA",82,3842,4179,168,183,39,547,44,78,149.29355396668,171.587776406668,245658,20225,17502,47.9,2.46,2.68,6.94,9.05
"STL",89,3983,4255,196,160,47,570,53,72,167.321980372653,165.808783276239,273414,19662,18357,48.3,2.58,2.11,8.61,10.39
"FLA",105,5454,4458,218,177,74,948,56,129,224.615239592793,184.550241203746,310220,27859,29937,55,2.53,2.05,9.56,6.73
"BOS",82,3600,3946,152,164,35,636,55,92,150.077895109484,160.72789741063,243818,21999,20485,47.7,2.24,2.42,5.73,9.67
"UTA",82,4182,3676,158,150,57,595,52,62,181.393074029387,155.898558524379,243440,21030,22480,53.2,2.34,2.22,9.76,8.33
"CHI",82,3352,4250,150,207,47,414,44,89,142.463065915392,188.989141351893,250742,15852,21447,44.1,2.15,2.97,10.67,7.39
"MTL",87,3972,4314,165,192,52,593,50,98,176.981069915288,194.28062232089,257206,21609,24658,47.9,2.31,2.69,8.66,7.3
"TOR",95,4246,4875,196,164,60,714,58,88,184.218169471656,187.016837828152,285686,22347,23962,46.6,2.47,2.07,9.67,8.71
"PIT",82,4063,3952,157,195,55,641,48,61,171.413497817644,176.268324977136,247685,20583,20840,50.7,2.28,2.83,9.62,8.29
"NYR",82,3887,4069,180,172,37,665,46,133,162.619068634172,183.858397897391,244005,19766,22032,48.9,2.66,2.54,6.74,7.52
"EDM",104,5460,4778,221,214,66,759,67,107,245.341575695609,209.604747921461,318189,24326,25197,53.3,2.5,2.42,9.77,9.57
"WPG",95,4575,4532,190,148,71,691,51,76,192.722889768542,180.414953804167,288798,22281,22385,50.2,2.37,1.84,11.47,8.2
"VAN",82,3634,3771,151,162,49,595,38,95,148.150057857973,153.594389253354,243847,20521,21667,49.1,2.23,2.39,8.6,6.31
"CGY",82,4211,3928,140,142,48,653,52,87,152.936435643758,161.47606541909,244764,22323,21812,51.7,2.06,2.09,7.74,8.58
"VGK",93,4842,4585,201,183,60,597,43,78,211.411589231982,188.27910218903,291694,19165,18191,51.4,2.48,2.26,11.27,8.51
"COL",89,4683,3909,179,167,60,669,47,91,196.33447481686,165.59739324142,266786,23023,20907,54.5,2.42,2.25,9.38,8.09
"LAK",88,4442,4020,191,140,44,636,47,87,178.970946823189,158.046337061445,264378,21134,22410,52.5,2.6,1.91,7.5,7.55
"OTT",88,4144,4072,147,169,63,783,55,93,163.579306917323,163.199358743324,258630,24943,21800,50.4,2.05,2.35,9.09,9.08
"DET",82,3737,4055,143,162,64,675,55,57,158.832954011392,173.893905687961,249515,20185,16267,48,2.06,2.34,11.41,12.17
"NYI",82,4079,4090,162,161,25,585,47,94,169.244564827997,170.549469433492,248718,22213,16329,49.9,2.34,2.33,4.05,10.36
"NSH",82,3891,3796,130,190,49,686,44,86,158.724407191272,165.283365675132,241279,20265,21845,50.6,1.94,2.83,8.7,7.25
"DAL",100,4735,4888,206,190,71,889,53,104,216.057517262176,212.586088332115,295598,29153,26009,49.2,2.51,2.31,8.77,7.34
"MIN",88,4097,4527,155,158,45,634,59,67,160.838646976219,166.449844850518,268135,20897,20162,47.5,2.08,2.12,7.75,10.53
"CBJ",82,4009,4241,201,179,35,502,48,96,168.165045488277,180.319445678848,249945,16554,20513,48.6,2.9,2.58,7.61,8.42
"SJS",82,3635,4346,143,203,36,613,66,85,143.42557729152,187.446550056513,242444,21393,23352,45.5,2.12,3.01,6.06,10.17
"CAR",97,5553,3880,200,197,58,883,45,147,229.475184802781,184.941578094556,286134,29021,26863,58.9,2.52,2.48,7.19,6.03
"TBL",87,4110,4043,194,156,58,683,42,113,180.767770915583,170.216679097386,260443,22698,20248,50.4,2.68,2.16,9.2,7.47
"PHI",82,3705,4021,166,195,30,500,40,78,166.222151850641,151.735855919775,247351,19649,18200,48,2.42,2.84,5.5,7.91
"WSH",92,4371,4456,205,176,57,667,48,105,198.403278307989,191.571007080434,274427,22425,23780,49.5,2.69,2.31,9.15,7.27
"ANA",82,3772,4445,156,164,25,636,64,88,153.885352868179,194.634247208771,242967,21538,21865,45.9,2.31,2.43,4.18,10.54
