"player_id","gp_onice","shots_5v5","ga_5v5","shots_pk","ga_pk","xg_faced","sv_pct_5v5","sv_pct_pk","actual_ga_tracked","gsax"
"8479361",49,1730,94,276,30,100.584829444502,0.9457,0.8913,124,-23.42
"8482783",17,513,38,70,8,31.2650380185805,0.9259,0.8857,46,-14.73
"8478039",1,27,4,4,0,1.97095882508438,0.8519,1,4,-2.03
"8477484",8,215,20,45,5,14.5849752023933,0.907,0.8889,25,-10.42
"8476434",29,982,48,143,21,60.6593916002894,0.9511,0.8531,69,-8.34
"8481033",6,130,4,24,1,6.50392664462561,0.9692,0.9583,5,1.5
"8481529",2,46,4,1,0,2.29223949620791,0.913,1,4,-1.71
"8482137",13,445,27,75,8,28.1025153533119,0.9393,0.8933,35,-6.9
"8481707",1,38,1,8,0,1.8932113191695,0.9737,1,1,0.89
"8484293",1,6,0,3,1,0.286229462362826,1,0.6667,1,-0.71
"8483530",6,183,15,30,2,12.2391658338893,0.918,0.9333,17,-4.76
"8477405",15,435,30,55,6,26.3652219295036,0.931,0.8909,36,-9.63
"8482657",1,18,2,3,0,1.24423781549558,0.8889,1,2,-0.76
"8477967",23,703,38,104,13,44.9078198081406,0.9459,0.875,51,-6.09
"8482982",11,457,16,29,1,30.0839684058737,0.965,0.9655,17,13.08
"8482123",2,39,4,8,0,2.52583951730048,0.8974,1,4,-1.47
"8474682",6,162,12,26,1,8.87884736957494,0.9259,0.9615,13,-4.12
"8482661",2,69,5,8,3,3.84681297047064,0.9275,0.625,8,-4.15
"8476899",3,77,5,13,2,3.62036207225174,0.9351,0.8462,7,-3.38
"8482447",12,328,17,56,3,17.0116725728149,0.9482,0.9464,20,-2.99
"8482487",19,611,33,112,9,36.614835794011,0.946,0.9196,42,-5.39
"8475839",1,33,2,1,0,1.75077071902342,0.9394,1,2,-0.25
"8482076",5,144,5,33,0,7.96771387307672,0.9653,1,5,2.97
"8480819",2,43,4,5,1,2.56883226148784,0.907,0.8,5,-2.43
"8478848",1,40,2,0,0,2.54186753509566,0.95,NA,2,0.54
"8483668",1,9,2,1,0,0.509619419462979,0.7778,1,2,-1.49
"8484312",8,266,21,58,6,14.9932762830867,0.9211,0.8966,27,-12.01
"8477990",1,29,5,2,0,2.69564262055792,0.8276,1,5,-2.3
"8480885",2,37,4,8,0,2.19036560412496,0.8919,1,4,-1.81
"8484910",1,15,0,0,0,1.22641084436327,1,NA,0,1.23
"8482668",1,2,1,0,0,0.068055281531997,0.5,NA,1,-0.93
"8482411",1,34,7,4,0,3.02116706717061,0.7941,1,7,-3.98
"8480191",1,34,2,10,1,1.68281624937663,0.9412,0.9,3,-1.32
"8484268",2,35,2,9,1,1.83537233213428,0.9429,0.8889,3,-1.16
"8483532",1,45,3,5,1,2.93846379424213,0.9333,0.8,4,-1.06
