"player_id","team_abbrev","gp_onice","cf_5v5","ca_5v5","gf_5v5","ga_5v5","ev_goals","ev_assists","pp_goals","pp_assists","pk_ga","pp_shots","pk_shots_against","pp_gf_onice","pk_ga_onice","xg_for_5v5","xg_against_5v5","pen_taken","pen_drawn","toi_5v5_sec","toi_pp_sec","toi_pk_sec","cf_pct_5v5","gf_per60_5v5","ga_per60_5v5","ev_points_per60","pp_points_per60","pk_ga_per60","pk_save_pct","pp_gf_onice_per60","pk_ga_onice_per60","xg_for_per60_5v5","xg_against_per60_5v5","toi_all_tracked_sec","pen_taken_per60","pen_drawn_per60","penalty_diff_per60"
"8466139","TOR",89,1300,1270,53,52,11,13,3,6,5,249,2,16,1,0,0,15,8,73947,8250,1195,50.6,2.58,2.53,1.17,3.93,15.06,-1.5,6.98,3.01,0,0,83392,0.65,0.35,-0.3
"8468493","TOR",88,1557,1603,81,60,3,15,0,0,0,6,394,1,35,0,0,9,2,90980,928,11363,49.3,3.21,2.37,0.71,0,0,1,3.88,11.09,0,0,103271,0.31,0.07,-0.24
"8471679","MTL",66,3455,2861,141,116,0,1,0,0,3,487,512,23,28,0,0,1,0,188994,17717,18295,54.7,2.69,2.21,0.02,0,0.59,0.9941,4.67,5.51,0,0,225006,0.02,0,-0.02
"8473507","MTL",82,1651,1312,73,74,6,22,3,8,2,301,272,16,20,0,0,14,9,87052,10815,10088,55.7,3.02,3.06,1.16,3.66,0.71,0.9926,5.33,7.14,0,0,107955,0.47,0.3,-0.17
"8474038","MTL",56,702,619,33,24,11,11,0,1,0,105,111,6,9,0,0,6,11,38879,3924,4417,53.1,3.06,2.22,2.04,0.92,0,1,5.5,7.34,0,0,47220,0.46,0.84,0.38
"8474581","TOR",69,1327,1234,61,40,3,19,0,5,3,190,11,10,0,0,0,12,3,73359,7219,1379,51.8,2.99,1.96,1.08,2.49,7.83,0.7273,4.99,0,0,0,81957,0.53,0.13,-0.4
"8474589","TOR",56,411,448,17,17,10,5,2,3,3,130,0,7,0,0,0,2,7,27574,4939,25,47.8,2.22,2.22,1.96,3.64,432,NA,5.1,0,0,0,32538,0.22,0.77,0.55
"8474818","MTL",81,1264,1082,60,55,3,17,0,0,0,0,335,0,21,0,0,15,7,74132,794,10891,53.9,2.91,2.67,0.97,0,0,1,0,6.94,0,0,85817,0.63,0.29,-0.34
"8475166","TOR",89,1575,1403,87,61,34,29,10,9,5,487,32,36,3,0,0,16,26,83965,10485,1876,52.9,3.73,2.62,2.7,6.52,9.59,0.8438,12.36,5.76,0,0,96326,0.6,0.97,0.37
"8475172","TOR",75,1080,948,39,34,12,19,4,9,2,402,0,27,0,0,0,16,26,60242,8694,521,53.3,2.33,2.03,1.85,5.38,13.82,NA,11.18,0,0,0,69457,0.83,1.35,0.52
"8475193","MTL",80,1352,944,60,33,20,28,4,4,1,292,0,14,0,0,0,17,12,64946,9362,831,58.9,3.33,1.83,2.66,3.08,4.33,NA,5.38,0,0,0,75139,0.81,0.57,-0.24
"8475786","TOR",78,1272,1158,64,54,15,19,0,0,0,24,315,1,25,0,0,21,24,68194,1449,8013,52.3,3.38,2.85,1.79,0,0,1,2.48,11.23,0,0,77656,0.97,1.11,0.14
"8475848","MTL",82,1374,957,61,46,28,14,4,3,1,319,1,16,0,0,0,22,23,65376,9810,1029,58.9,3.36,2.53,2.31,2.57,3.5,0,5.87,0,0,0,76215,1.04,1.09,0.05
"8475883","TOR",67,3446,3292,166,124,0,1,0,0,6,522,471,39,40,0,0,1,3,196239,15613,16147,51.1,3.05,2.27,0.02,0,1.34,0.9873,8.99,8.92,0,0,227999,0.02,0.05,0.03
"8476285","MTL",39,298,361,6,20,3,5,0,0,0,3,64,0,4,0,0,2,8,20926,447,2839,45.2,1.03,3.44,1.38,0,0,1,0,5.07,0,0,24212,0.3,1.19,0.89
"8476381","MTL",63,876,797,55,35,16,23,3,3,0,198,71,7,5,0,0,18,16,47694,7651,3383,52.4,4.15,2.64,2.94,2.82,0,1,3.29,5.32,0,0,58728,1.1,0.98,-0.12
"8476410","VAN",76,857,761,36,27,11,6,3,3,3,275,0,15,0,0,0,6,8,52336,8931,567,53,2.48,1.86,1.17,2.42,19.05,NA,6.05,0,0,0,61834,0.35,0.47,0.12
