"team_abbrev","gp_onice","cf_5v5","ca_5v5","gf_5v5","ga_5v5","pp_goals","pp_shots","pk_goals_against","pk_shots_against","xg_for","xg_against","toi_5v5_sec","toi_pp_sec","toi_pk_sec","cf_pct_5v5","gf_per60_5v5","ga_per60_5v5","pp_goals_per60","pk_ga_per60"
"TOR",89,4754,4449,218,181,48,711,47,107,208.08181819215,199.17252435314,268801,20942,20621,51.7,2.92,2.42,8.25,8.21
"MTL",82,4356,3694,188,163,31,606,44,109,175.745178862941,153.681305956969,241325,21763,22549,54.1,2.8,2.43,5.13,7.02
"WSH",89,3970,4235,209,177,54,730,58,112,173.235850611003,188.058537095611,261012,25053,26076,48.4,2.88,2.44,7.76,8.01
"BOS",106,4964,4496,198,165,86,823,56,136,211.887381440203,189.625791786704,313909,29661,28661,52.5,2.27,1.89,10.44,7.03
"VAN",82,3549,3863,145,176,42,640,48,104,146.26016503782,174.035711966164,241893,24839,24317,47.9,2.16,2.62,6.09,7.11
"CGY",87,4162,3650,191,157,57,748,53,120,180.884572611132,162.915121134021,252154,26064,25687,53.3,2.73,2.24,7.87,7.43
"SJS",102,5088,4331,227,229,67,886,59,141,219.020420212008,199.379139191471,302174,28985,26830,54,2.7,2.73,8.32,7.92
"ANA",82,3596,3958,137,154,36,548,53,87,149.848858588492,180.787316884031,241402,20871,25493,47.6,2.04,2.3,6.21,7.48
"BUF",82,3754,3759,154,185,46,643,41,72,156.912202618725,169.661741091462,244678,22990,21381,50,2.27,2.72,7.2,6.9
"NYR",82,3381,3958,145,172,44,545,57,112,158.261842704494,177.493285850738,239612,20410,25624,46.1,2.18,2.58,7.76,8.01
"NSH",88,4238,3861,176,155,29,704,48,124,179.688543574011,171.54220082768,256181,25035,24788,52.3,2.47,2.18,4.17,6.97
"PIT",86,4142,4138,186,160,57,585,46,126,191.52992901468,179.064041895792,256620,21800,22830,50,2.61,2.24,9.41,7.25
"CAR",97,5000,4101,190,170,47,827,59,122,228.554386656615,187.864737695141,284362,29402,26198,54.9,2.41,2.15,5.75,8.11
"NYI",90,3899,4274,174,141,38,619,46,67,181.066186706768,179.052838052914,269008,23777,21281,47.7,2.33,1.89,5.75,7.78
"OTT",82,3603,4421,170,219,44,494,43,101,154.935599104792,181.935669510975,246268,20359,19689,44.9,2.49,3.2,7.78,7.86
"CHI",82,3833,3935,183,184,46,608,62,87,167.659656558069,194.189111732529,244366,21130,20637,49.3,2.7,2.71,7.84,10.82
"DET",82,3503,3933,147,177,39,496,55,104,151.688625976443,185.53272313514,243387,19768,24804,47.1,2.17,2.62,7.1,7.98
"CBJ",92,4173,4225,202,189,42,631,35,117,195.578701654566,188.813768421649,279352,24116,20409,49.7,2.6,2.44,6.27,6.17
"STL",108,4886,4640,222,187,61,850,59,116,222.411904305569,200.33847637783,322204,30107,26504,51.3,2.48,2.09,7.29,8.01
"WPG",88,3963,4122,178,173,63,711,56,93,166.941825588176,181.37796018098,258293,23636,24639,49,2.48,2.41,9.6,8.18
"DAL",95,4238,4593,159,160,53,693,39,93,190.737885065028,187.236311695713,285863,22966,24301,48,2,2.01,8.31,5.78
"ARI",82,3732,3907,131,157,41,634,33,124,153.166416012333,159.275188308384,241546,23401,21313,48.9,1.95,2.34,6.31,5.57
"COL",94,4274,4273,178,173,67,810,63,135,182.208339624747,173.432996092481,270054,28863,28675,50,2.37,2.31,8.36,7.91
"MIN",82,3805,3664,140,155,48,601,43,79,162.155192520178,138.899299557612,241160,21964,23012,50.9,2.09,2.31,7.87,6.73
"VGK",89,4546,3837,187,171,46,756,52,149,204.700769713672,167.903358462208,264768,25815,25383,54.2,2.54,2.33,6.41,7.38
"PHI",82,3696,3930,165,190,39,692,50,101,155.589486676326,162.677196704433,241191,22713,21495,48.5,2.46,2.84,6.18,8.37
"LAK",82,3619,3908,140,170,34,572,53,89,152.273444614199,166.925931883045,245805,21412,21641,48.1,2.05,2.49,5.72,8.82
"TBL",86,4007,3740,212,165,74,616,44,95,181.217579824908,165.382444055285,250488,23554,27857,51.7,3.05,2.37,11.31,5.69
"FLA",82,3641,3727,162,189,71,726,40,117,157.850024612271,165.827708464523,241237,24559,19841,49.4,2.42,2.82,10.41,7.26
"NJD",82,3383,3833,146,184,44,642,39,134,157.988316976989,170.188048096723,237469,24733,25258,46.9,2.21,2.79,6.4,5.56
"EDM",82,3550,3850,146,178,47,579,60,102,157.864812009793,173.675431207754,244360,19545,22439,48,2.15,2.62,8.66,9.63
